{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.8364 -0.6746 -0.5000
  -4.889 -4.716  5  10  121    0.7137 -0.0531  0.5000
  -4.716 -4.538  5  10  145    0.7717  0.2142  0.4197
  -4.538 -4.363  5  10  173    0.8142 -0.1722 -0.2506
  -4.363 -4.191  5  10  205    0.7647  0.0483  0.2525
  -4.191 -4.013  5  10  245    0.8120  0.0328  0.1745
  -4.013 -3.839  5  10  292    0.8185  0.0423  0.2946
  -3.839 -3.664  5  10  348    0.8778 -0.0127  0.1746
  -3.664 -3.489  5  10  414    0.8816  0.0693  0.5000
  -3.489 -3.314  5  10  493    0.9507  0.0313  0.2092
  -3.314 -3.139  5  10  588    0.8991  0.1080  0.5000
  -3.139 -2.964  5  10  700    0.8283  0.1307  0.5000
  -2.964 -2.853  5  10  781    0.6716  0.2606  0.2640
  -2.853 -2.650  5  10  956    0.7062  0.1339  0.3309
  -2.650 -2.500  5  10 1108    0.8088  0.0709 -0.4887
  -2.500 -2.322  5  10 1321    0.8645  0.0957  0.2145
  -2.322 -2.172  5  10 1529    0.9654  0.0181 -0.2091
  -2.172 -2.043  5  10 1733    0.9577  0.0195 -0.0491
  -2.043 -1.930  5  10 1933    0.9633  0.0271 -0.0317
  -1.930 -1.830  5  10 2126    0.9692  0.0396 -0.0327
  -1.830 -1.740  5  10 2315    0.9817  0.0261 -0.1388
  -1.740 -1.653  5  10 2511    0.9729  0.0377 -0.0644
  -1.653 -1.566  5  10 2721    0.9681  0.0481  0.0058
  -1.566 -1.479  5  10 2946    0.9715  0.0158 -0.0622
  -1.479 -1.392  5  10 3183    1.0346 -0.0677 -0.5000
  -1.392 -1.305  5  10 3435    1.0207 -0.0370 -0.2423
  -1.305 -1.218  5  10 3699    1.0231 -0.0288 -0.2338
  -1.218 -1.131  5  10 3974    1.0028 -0.0113 -0.0877
  -1.131 -1.044  5  10 4259    0.9954 -0.0115 -0.0389
  -1.044 -0.957  5  10 4551    1.0026 -0.0085 -0.0662
  -0.957 -0.879  5  10 4816    1.0006 -0.0060 -0.0208
  -0.879 -0.783  5  10 5141    1.0015 -0.0035 -0.0147
  -0.783 -0.696  5  10 5430    1.0020 -0.0004  0.0040
  -0.696 -0.609  5  10 5708    1.0083 -0.0032 -0.0121
  -0.609 -0.522  5  10 5968    1.0050 -0.0052 -0.0106
  -0.522 -0.435  5  10 6203    0.9954  0.0053  0.0426
  -0.435 -0.348  5  10 6408    0.9958  0.0029  0.0317
  -0.348 -0.261  5  10 6574    1.0000  0.0042  0.0338
  -0.261 -0.174  5  10 6698    1.0018  0.0077  0.0330
  -0.174 -0.087  5  10 6774    0.9907  0.0169  0.1007
  -0.087 -0.000  5  10 6800    0.9884  0.0128  0.0984
  +0.000 +0.087  5  10 6800    0.9884  0.0128  0.0984
  +0.087 +0.174  5  10 6774    0.9907  0.0169  0.1007
  +0.174 +0.261  5  10 6698    1.0018  0.0077  0.0330
  +0.261 +0.348  5  10 6574    1.0000  0.0042  0.0338
  +0.348 +0.435  5  10 6408    0.9958  0.0029  0.0317
  +0.435 +0.522  5  10 6203    0.9954  0.0053  0.0426
  +0.522 +0.609  5  10 5968    1.0050 -0.0052 -0.0106
  +0.609 +0.696  5  10 5708    1.0083 -0.0032 -0.0121
  +0.696 +0.783  5  10 5430    1.0020 -0.0004  0.0040
  +0.783 +0.879  5  10 5141    1.0015 -0.0035 -0.0147
  +0.879 +0.957  5  10 4816    1.0006 -0.0060 -0.0208
  +0.957 +1.044  5  10 4551    1.0026 -0.0085 -0.0662
  +1.044 +1.131  5  10 4259    0.9954 -0.0115 -0.0389
  +1.131 +1.218  5  10 3974    1.0028 -0.0113 -0.0877
  +1.218 +1.305  5  10 3699    1.0231 -0.0288 -0.2338
  +1.305 +1.392  5  10 3435    1.0207 -0.0370 -0.2423
  +1.392 +1.479  5  10 3183    1.0346 -0.0677 -0.5000
  +1.479 +1.566  5  10 2946    0.9715  0.0158 -0.0622
  +1.566 +1.653  5  10 2721    0.9681  0.0481  0.0058
  +1.653 +1.740  5  10 2511    0.9729  0.0377 -0.0644
  +1.740 +1.830  5  10 2315    0.9817  0.0261 -0.1388
  +1.830 +1.930  5  10 2126    0.9692  0.0396 -0.0327
  +1.930 +2.043  5  10 1933    0.9633  0.0271 -0.0317
  +2.043 +2.172  5  10 1733    0.9577  0.0195 -0.0491
  +2.172 +2.322  5  10 1529    0.9654  0.0181 -0.2091
  +2.322 +2.500  5  10 1321    0.8645  0.0957  0.2145
  +2.500 +2.650  5  10 1108    0.8088  0.0709 -0.4887
  +2.650 +2.853  5  10  956    0.7062  0.1339  0.3309
  +2.853 +2.964  5  10  781    0.6716  0.2606  0.2640
  +2.964 +3.139  5  10  700    0.8283  0.1307  0.5000
  +3.139 +3.314  5  10  588    0.8991  0.1080  0.5000
  +3.314 +3.489  5  10  493    0.9507  0.0313  0.2092
  +3.489 +3.664  5  10  414    0.8816  0.0693  0.5000
  +3.664 +3.839  5  10  348    0.8778 -0.0127  0.1746
  +3.839 +4.013  5  10  292    0.8185  0.0423  0.2946
  +4.013 +4.191  5  10  245    0.8120  0.0328  0.1745
  +4.191 +4.363  5  10  205    0.7647  0.0483  0.2525
  +4.363 +4.538  5  10  173    0.8142 -0.1722 -0.2506
  +4.538 +4.716  5  10  145    0.7717  0.2142  0.4197
  +4.716 +4.889  5  10  121    0.7137 -0.0531  0.5000
