{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.5440 -0.5542 -0.0132
  -4.889 -4.716  5  10  121    0.5988  0.0175  0.5000
  -4.716 -4.538  5  10  145    0.6523 -0.1832  0.5000
  -4.538 -4.363  5  10  173    0.7022 -0.0790  0.5000
  -4.363 -4.191  5  10  205    0.7062 -0.1175  0.5000
  -4.191 -4.013  5  10  245    0.7414 -0.1142  0.5000
  -4.013 -3.839  5  10  292    0.7799 -0.0668  0.5000
  -3.839 -3.664  5  10  348    0.8440 -0.0673  0.4676
  -3.664 -3.489  5  10  414    0.8789 -0.0145  0.5000
  -3.489 -3.314  5  10  493    0.9316  0.0022  0.5000
  -3.314 -3.139  5  10  588    0.9211  0.0201  0.5000
  -3.139 -2.964  5  10  700    0.8419  0.0970  0.5000
  -2.964 -2.853  5  10  781    0.7735  0.1224  0.0169
  -2.853 -2.650  5  10  956    0.7249  0.1507  0.2907
  -2.650 -2.500  5  10 1108    0.7400  0.1664  0.2697
  -2.500 -2.322  5  10 1321    0.8645  0.0892  0.1248
  -2.322 -2.172  5  10 1529    0.9475  0.0239 -0.0971
  -2.172 -2.043  5  10 1733    0.9488  0.0209 -0.0344
  -2.043 -1.930  5  10 1933    0.9524  0.0253 -0.0133
  -1.930 -1.830  5  10 2126    0.9708  0.0273 -0.0819
  -1.830 -1.740  5  10 2315    0.9706  0.0347 -0.0713
  -1.740 -1.653  5  10 2511    0.9729  0.0308 -0.0858
  -1.653 -1.566  5  10 2721    0.9792  0.0330 -0.0984
  -1.566 -1.479  5  10 2946    0.9733  0.0149 -0.0879
  -1.479 -1.392  5  10 3183    0.9936 -0.0228 -0.1111
  -1.392 -1.305  5  10 3435    1.0084 -0.0195 -0.1112
  -1.305 -1.218  5  10 3699    1.0129 -0.0160 -0.1255
  -1.218 -1.131  5  10 3974    0.9960 -0.0026 -0.0316
  -1.131 -1.044  5  10 4259    0.9932 -0.0070 -0.0291
  -1.044 -0.957  5  10 4551    0.9936  0.0024  0.0019
  -0.957 -0.879  5  10 4816    0.9932  0.0056  0.0290
  -0.879 -0.783  5  10 5141    1.0025 -0.0061 -0.0227
  -0.783 -0.696  5  10 5430    1.0025  0.0013 -0.0034
  -0.696 -0.609  5  10 5708    1.0068 -0.0047 -0.0180
  -0.609 -0.522  5  10 5968    1.0029 -0.0028  0.0013
  -0.522 -0.435  5  10 6203    1.0029 -0.0037 -0.0095
  -0.435 -0.348  5  10 6408    0.9931  0.0045  0.0476
  -0.348 -0.261  5  10 6574    1.0025  0.0023  0.0244
  -0.261 -0.174  5  10 6698    1.0066  0.0014 -0.0012
  -0.174 -0.087  5  10 6774    0.9992  0.0069  0.0360
  -0.087 -0.000  5  10 6800    0.9989  0.0002  0.0282
  +0.000 +0.087  5  10 6800    0.9989  0.0002  0.0282
  +0.087 +0.174  5  10 6774    0.9992  0.0069  0.0360
  +0.174 +0.261  5  10 6698    1.0066  0.0014 -0.0012
  +0.261 +0.348  5  10 6574    1.0025  0.0023  0.0244
  +0.348 +0.435  5  10 6408    0.9931  0.0045  0.0476
  +0.435 +0.522  5  10 6203    1.0029 -0.0037 -0.0095
  +0.522 +0.609  5  10 5968    1.0029 -0.0028  0.0013
  +0.609 +0.696  5  10 5708    1.0068 -0.0047 -0.0180
  +0.696 +0.783  5  10 5430    1.0025  0.0013 -0.0034
  +0.783 +0.879  5  10 5141    1.0025 -0.0061 -0.0227
  +0.879 +0.957  5  10 4816    0.9932  0.0056  0.0290
  +0.957 +1.044  5  10 4551    0.9936  0.0024  0.0019
  +1.044 +1.131  5  10 4259    0.9932 -0.0070 -0.0291
  +1.131 +1.218  5  10 3974    0.9960 -0.0026 -0.0316
  +1.218 +1.305  5  10 3699    1.0129 -0.0160 -0.1255
  +1.305 +1.392  5  10 3435    1.0084 -0.0195 -0.1112
  +1.392 +1.479  5  10 3183    0.9936 -0.0228 -0.1111
  +1.479 +1.566  5  10 2946    0.9733  0.0149 -0.0879
  +1.566 +1.653  5  10 2721    0.9792  0.0330 -0.0984
  +1.653 +1.740  5  10 2511    0.9729  0.0308 -0.0858
  +1.740 +1.830  5  10 2315    0.9706  0.0347 -0.0713
  +1.830 +1.930  5  10 2126    0.9708  0.0273 -0.0819
  +1.930 +2.043  5  10 1933    0.9524  0.0253 -0.0133
  +2.043 +2.172  5  10 1733    0.9488  0.0209 -0.0344
  +2.172 +2.322  5  10 1529    0.9475  0.0239 -0.0971
  +2.322 +2.500  5  10 1321    0.8645  0.0892  0.1248
  +2.500 +2.650  5  10 1108    0.7400  0.1664  0.2697
  +2.650 +2.853  5  10  956    0.7249  0.1507  0.2907
  +2.853 +2.964  5  10  781    0.7735  0.1224  0.0169
  +2.964 +3.139  5  10  700    0.8419  0.0970  0.5000
  +3.139 +3.314  5  10  588    0.9211  0.0201  0.5000
  +3.314 +3.489  5  10  493    0.9316  0.0022  0.5000
  +3.489 +3.664  5  10  414    0.8789 -0.0145  0.5000
  +3.664 +3.839  5  10  348    0.8440 -0.0673  0.4676
  +3.839 +4.013  5  10  292    0.7799 -0.0668  0.5000
  +4.013 +4.191  5  10  245    0.7414 -0.1142  0.5000
  +4.191 +4.363  5  10  205    0.7062 -0.1175  0.5000
  +4.363 +4.538  5  10  173    0.7022 -0.0790  0.5000
  +4.538 +4.716  5  10  145    0.6523 -0.1832  0.5000
  +4.716 +4.889  5  10  121    0.5988  0.0175  0.5000
  +4.889 +5.191  5  10  102    0.5440 -0.5542 -0.0132
