{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.4797 -0.3588  0.5000
  -4.889 -4.716  5  10  121    0.6880 -0.0316  0.2541
  -4.716 -4.538  5  10  145    0.7907  0.0608  0.2700
  -4.538 -4.363  5  10  173    0.7672  0.0629  0.5000
  -4.363 -4.191  5  10  205    0.7774 -0.1366  0.3724
  -4.191 -4.013  5  10  245    0.7889 -0.0421  0.5000
  -4.013 -3.839  5  10  292    0.8159 -0.0770  0.5000
  -3.839 -3.664  5  10  348    0.8719 -0.2004  0.3563
  -3.664 -3.489  5  10  414    0.9155 -0.1886  0.3948
  -3.489 -3.314  5  10  493    0.9936 -0.1588  0.1706
  -3.314 -3.139  5  10  588    0.9532 -0.1062  0.5000
  -3.139 -2.964  5  10  700    0.8328  0.0689  0.5000
  -2.964 -2.853  5  10  781    0.7169  0.2072  0.0802
  -2.853 -2.650  5  10  956    0.7080  0.1280  0.0869
  -2.650 -2.500  5  10 1108    0.7175  0.1469  0.3162
  -2.500 -2.322  5  10 1321    0.8509  0.0720  0.1608
  -2.322 -2.172  5  10 1529    0.9380  0.0267 -0.0702
  -2.172 -2.043  5  10 1733    0.9328  0.0361  0.0248
  -2.043 -1.930  5  10 1933    0.9470  0.0217 -0.0085
  -1.930 -1.830  5  10 2126    0.9622  0.0436 -0.0378
  -1.830 -1.740  5  10 2315    0.9638  0.0420 -0.0484
  -1.740 -1.653  5  10 2511    0.9675  0.0461 -0.0595
  -1.653 -1.566  5  10 2721    0.9730  0.0455 -0.0679
  -1.566 -1.479  5  10 2946    0.9676  0.0236 -0.0642
  -1.479 -1.392  5  10 3183    0.9910 -0.0328 -0.1387
  -1.392 -1.305  5  10 3435    0.9979 -0.0151 -0.0801
  -1.305 -1.218  5  10 3699    0.9993  0.0014 -0.0649
  -1.218 -1.131  5  10 3974    0.9871  0.0077  0.0122
  -1.131 -1.044  5  10 4259    0.9883  0.0005 -0.0023
  -1.044 -0.957  5  10 4551    0.9898  0.0069  0.0094
  -0.957 -0.879  5  10 4816    0.9946  0.0049  0.0379
  -0.879 -0.783  5  10 5141    1.0037 -0.0092 -0.0242
  -0.783 -0.696  5  10 5430    1.0020  0.0008 -0.0045
  -0.696 -0.609  5  10 5708    1.0012  0.0030  0.0179
  -0.609 -0.522  5  10 5968    1.0028 -0.0068 -0.0066
  -0.522 -0.435  5  10 6203    1.0045 -0.0087 -0.0154
  -0.435 -0.348  5  10 6408    0.9932  0.0055  0.0678
  -0.348 -0.261  5  10 6574    1.0054  0.0008  0.0044
  -0.261 -0.174  5  10 6698    1.0147 -0.0050 -0.0449
  -0.174 -0.087  5  10 6774    0.9998  0.0096  0.0423
  -0.087 -0.000  5  10 6800    1.0058 -0.0079 -0.0126
  +0.000 +0.087  5  10 6800    1.0058 -0.0079 -0.0126
  +0.087 +0.174  5  10 6774    0.9998  0.0096  0.0423
  +0.174 +0.261  5  10 6698    1.0147 -0.0050 -0.0449
  +0.261 +0.348  5  10 6574    1.0054  0.0008  0.0044
  +0.348 +0.435  5  10 6408    0.9932  0.0055  0.0678
  +0.435 +0.522  5  10 6203    1.0045 -0.0087 -0.0154
  +0.522 +0.609  5  10 5968    1.0028 -0.0068 -0.0066
  +0.609 +0.696  5  10 5708    1.0012  0.0030  0.0179
  +0.696 +0.783  5  10 5430    1.0020  0.0008 -0.0045
  +0.783 +0.879  5  10 5141    1.0037 -0.0092 -0.0242
  +0.879 +0.957  5  10 4816    0.9946  0.0049  0.0379
  +0.957 +1.044  5  10 4551    0.9898  0.0069  0.0094
  +1.044 +1.131  5  10 4259    0.9883  0.0005 -0.0023
  +1.131 +1.218  5  10 3974    0.9871  0.0077  0.0122
  +1.218 +1.305  5  10 3699    0.9993  0.0014 -0.0649
  +1.305 +1.392  5  10 3435    0.9979 -0.0151 -0.0801
  +1.392 +1.479  5  10 3183    0.9910 -0.0328 -0.1387
  +1.479 +1.566  5  10 2946    0.9676  0.0236 -0.0642
  +1.566 +1.653  5  10 2721    0.9730  0.0455 -0.0679
  +1.653 +1.740  5  10 2511    0.9675  0.0461 -0.0595
  +1.740 +1.830  5  10 2315    0.9638  0.0420 -0.0484
  +1.830 +1.930  5  10 2126    0.9622  0.0436 -0.0378
  +1.930 +2.043  5  10 1933    0.9470  0.0217 -0.0085
  +2.043 +2.172  5  10 1733    0.9328  0.0361  0.0248
  +2.172 +2.322  5  10 1529    0.9380  0.0267 -0.0702
  +2.322 +2.500  5  10 1321    0.8509  0.0720  0.1608
  +2.500 +2.650  5  10 1108    0.7175  0.1469  0.3162
  +2.650 +2.853  5  10  956    0.7080  0.1280  0.0869
  +2.853 +2.964  5  10  781    0.7169  0.2072  0.0802
  +2.964 +3.139  5  10  700    0.8328  0.0689  0.5000
  +3.139 +3.314  5  10  588    0.9532 -0.1062  0.5000
  +3.314 +3.489  5  10  493    0.9936 -0.1588  0.1706
  +3.489 +3.664  5  10  414    0.9155 -0.1886  0.3948
  +3.664 +3.839  5  10  348    0.8719 -0.2004  0.3563
  +3.839 +4.013  5  10  292    0.8159 -0.0770  0.5000
  +4.013 +4.191  5  10  245    0.7889 -0.0421  0.5000
  +4.191 +4.363  5  10  205    0.7774 -0.1366  0.3724
  +4.363 +4.538  5  10  173    0.7672  0.0629  0.5000
  +4.538 +4.716  5  10  145    0.7907  0.0608  0.2700
  +4.716 +4.889  5  10  121    0.6880 -0.0316  0.2541
  +4.889 +5.191  5  10  102    0.4797 -0.3588  0.5000
