{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.5510 -0.2075  0.5000
  -4.889 -4.716  5  10  121    0.6377 -0.0498  0.4999
  -4.716 -4.538  5  10  145    0.7997 -0.2068 -0.1719
  -4.538 -4.363  5  10  173    0.7333 -0.0824  0.5000
  -4.363 -4.191  5  10  205    0.7257 -0.1982  0.5000
  -4.191 -4.013  5  10  245    0.7848 -0.1413  0.5000
  -4.013 -3.839  5  10  292    0.8143 -0.1288  0.5000
  -3.839 -3.664  5  10  348    0.8629 -0.0696  0.5000
  -3.664 -3.489  5  10  414    0.9069 -0.0639  0.5000
  -3.489 -3.314  5  10  493    0.9529 -0.0240  0.5000
  -3.314 -3.139  5  10  588    0.9449  0.0050  0.5000
  -3.139 -2.964  5  10  700    0.8248  0.1150  0.5000
  -2.964 -2.853  5  10  781    0.7796  0.0602 -0.5000
  -2.853 -2.650  5  10  956    0.7701  0.0500 -0.4437
  -2.650 -2.500  5  10 1108    0.8102  0.0599 -0.5000
  -2.500 -2.322  5  10 1321    0.9073  0.0362 -0.1827
  -2.322 -2.172  5  10 1529    0.9636  0.0130 -0.1594
  -2.172 -2.043  5  10 1733    0.9552  0.0161 -0.0273
  -2.043 -1.930  5  10 1933    0.9662  0.0126 -0.0574
  -1.930 -1.830  5  10 2126    0.9716  0.0266 -0.0584
  -1.830 -1.740  5  10 2315    1.0246 -0.0306 -0.4768
  -1.740 -1.653  5  10 2511    1.0033 -0.0070 -0.2953
  -1.653 -1.566  5  10 2721    0.9853  0.0198 -0.1431
  -1.566 -1.479  5  10 2946    0.9761  0.0046 -0.1004
  -1.479 -1.392  5  10 3183    0.9948 -0.0033 -0.1107
  -1.392 -1.305  5  10 3435    1.0049  0.0005 -0.1026
  -1.305 -1.218  5  10 3699    0.9966  0.0188 -0.0055
  -1.218 -1.131  5  10 3974    0.9903  0.0171  0.0106
  -1.131 -1.044  5  10 4259    0.9835  0.0127  0.0602
  -1.044 -0.957  5  10 4551    0.9927  0.0139  0.0251
  -0.957 -0.879  5  10 4816    0.9921  0.0130  0.0581
  -0.879 -0.783  5  10 5141    0.9960  0.0058  0.0179
  -0.783 -0.696  5  10 5430    1.0006  0.0032  0.0184
  -0.696 -0.609  5  10 5708    1.0082 -0.0041 -0.0249
  -0.609 -0.522  5  10 5968    1.0054 -0.0067 -0.0106
  -0.522 -0.435  5  10 6203    1.0020 -0.0070 -0.0114
  -0.435 -0.348  5  10 6408    0.9989 -0.0088  0.0019
  -0.348 -0.261  5  10 6574    1.0041 -0.0063 -0.0006
  -0.261 -0.174  5  10 6698    1.0082 -0.0046 -0.0300
  -0.174 -0.087  5  10 6774    1.0022 -0.0037  0.0000
  -0.087 -0.000  5  10 6800    1.0021 -0.0138 -0.0236
  +0.000 +0.087  5  10 6800    1.0021 -0.0138 -0.0236
  +0.087 +0.174  5  10 6774    1.0022 -0.0037  0.0000
  +0.174 +0.261  5  10 6698    1.0082 -0.0046 -0.0300
  +0.261 +0.348  5  10 6574    1.0041 -0.0063 -0.0006
  +0.348 +0.435  5  10 6408    0.9989 -0.0088  0.0019
  +0.435 +0.522  5  10 6203    1.0020 -0.0070 -0.0114
  +0.522 +0.609  5  10 5968    1.0054 -0.0067 -0.0106
  +0.609 +0.696  5  10 5708    1.0082 -0.0041 -0.0249
  +0.696 +0.783  5  10 5430    1.0006  0.0032  0.0184
  +0.783 +0.879  5  10 5141    0.9960  0.0058  0.0179
  +0.879 +0.957  5  10 4816    0.9921  0.0130  0.0581
  +0.957 +1.044  5  10 4551    0.9927  0.0139  0.0251
  +1.044 +1.131  5  10 4259    0.9835  0.0127  0.0602
  +1.131 +1.218  5  10 3974    0.9903  0.0171  0.0106
  +1.218 +1.305  5  10 3699    0.9966  0.0188 -0.0055
  +1.305 +1.392  5  10 3435    1.0049  0.0005 -0.1026
  +1.392 +1.479  5  10 3183    0.9948 -0.0033 -0.1107
  +1.479 +1.566  5  10 2946    0.9761  0.0046 -0.1004
  +1.566 +1.653  5  10 2721    0.9853  0.0198 -0.1431
  +1.653 +1.740  5  10 2511    1.0033 -0.0070 -0.2953
  +1.740 +1.830  5  10 2315    1.0246 -0.0306 -0.4768
  +1.830 +1.930  5  10 2126    0.9716  0.0266 -0.0584
  +1.930 +2.043  5  10 1933    0.9662  0.0126 -0.0574
  +2.043 +2.172  5  10 1733    0.9552  0.0161 -0.0273
  +2.172 +2.322  5  10 1529    0.9636  0.0130 -0.1594
  +2.322 +2.500  5  10 1321    0.9073  0.0362 -0.1827
  +2.500 +2.650  5  10 1108    0.8102  0.0599 -0.5000
  +2.650 +2.853  5  10  956    0.7701  0.0500 -0.4437
  +2.853 +2.964  5  10  781    0.7796  0.0602 -0.5000
  +2.964 +3.139  5  10  700    0.8248  0.1150  0.5000
  +3.139 +3.314  5  10  588    0.9449  0.0050  0.5000
  +3.314 +3.489  5  10  493    0.9529 -0.0240  0.5000
  +3.489 +3.664  5  10  414    0.9069 -0.0639  0.5000
  +3.664 +3.839  5  10  348    0.8629 -0.0696  0.5000
  +3.839 +4.013  5  10  292    0.8143 -0.1288  0.5000
  +4.013 +4.191  5  10  245    0.7848 -0.1413  0.5000
  +4.191 +4.363  5  10  205    0.7257 -0.1982  0.5000
  +4.363 +4.538  5  10  173    0.7333 -0.0824  0.5000
  +4.538 +4.716  5  10  145    0.7997 -0.2068 -0.1719
  +4.716 +4.889  5  10  121    0.6377 -0.0498  0.4999
  +4.889 +5.191  5  10  102    0.5510 -0.2075  0.5000
