{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.6776 -0.3042 -0.2787
  -4.889 -4.716  5  10  121    0.6282 -0.1360  0.5000
  -4.716 -4.538  5  10  145    0.7234 -0.0241  0.5000
  -4.538 -4.363  5  10  173    0.7374 -0.0540  0.5000
  -4.363 -4.191  5  10  205    0.7346 -0.1360  0.5000
  -4.191 -4.013  5  10  245    0.7944 -0.1018  0.4174
  -4.013 -3.839  5  10  292    0.8158 -0.0733  0.5000
  -3.839 -3.664  5  10  348    0.8676 -0.0756  0.5000
  -3.664 -3.489  5  10  414    0.9085 -0.0486  0.5000
  -3.489 -3.314  5  10  493    0.9554 -0.0357  0.5000
  -3.314 -3.139  5  10  588    0.9495 -0.0156  0.5000
  -3.139 -2.964  5  10  700    0.8300  0.0985  0.5000
  -2.964 -2.853  5  10  781    0.7673  0.0823 -0.3846
  -2.853 -2.650  5  10  956    0.7107  0.1285  0.1343
  -2.650 -2.500  5  10 1108    0.7342  0.1510  0.3061
  -2.500 -2.322  5  10 1321    0.8753  0.0755  0.1172
  -2.322 -2.172  5  10 1529    0.9686  0.0087 -0.2109
  -2.172 -2.043  5  10 1733    0.9565  0.0177 -0.0484
  -2.043 -1.930  5  10 1933    0.9597  0.0258 -0.0267
  -1.930 -1.830  5  10 2126    0.9678  0.0376 -0.0477
  -1.830 -1.740  5  10 2315    0.9788  0.0324 -0.1114
  -1.740 -1.653  5  10 2511    0.9744  0.0388 -0.0977
  -1.653 -1.566  5  10 2721    0.9741  0.0434 -0.0605
  -1.566 -1.479  5  10 2946    0.9752  0.0095 -0.1007
  -1.479 -1.392  5  10 3183    1.0180 -0.0528 -0.2853
  -1.392 -1.305  5  10 3435    1.0190 -0.0347 -0.1903
  -1.305 -1.218  5  10 3699    1.0102 -0.0124 -0.0935
  -1.218 -1.131  5  10 3974    1.0008 -0.0077 -0.0530
  -1.131 -1.044  5  10 4259    0.9919 -0.0059 -0.0092
  -1.044 -0.957  5  10 4551    0.9996 -0.0040 -0.0189
  -0.957 -0.879  5  10 4816    1.0000 -0.0032 -0.0152
  -0.879 -0.783  5  10 5141    0.9990  0.0001 -0.0030
  -0.783 -0.696  5  10 5430    1.0020  0.0004  0.0096
  -0.696 -0.609  5  10 5708    1.0072 -0.0036 -0.0140
  -0.609 -0.522  5  10 5968    1.0068 -0.0077 -0.0220
  -0.522 -0.435  5  10 6203    0.9991  0.0006  0.0078
  -0.435 -0.348  5  10 6408    0.9962 -0.0003  0.0215
  -0.348 -0.261  5  10 6574    1.0026  0.0014  0.0127
  -0.261 -0.174  5  10 6698    1.0017  0.0089  0.0218
  -0.174 -0.087  5  10 6774    0.9930  0.0160  0.0629
  -0.087 -0.000  5  10 6800    0.9928  0.0060  0.0436
  +0.000 +0.087  5  10 6800    0.9928  0.0060  0.0436
  +0.087 +0.174  5  10 6774    0.9930  0.0160  0.0629
  +0.174 +0.261  5  10 6698    1.0017  0.0089  0.0218
  +0.261 +0.348  5  10 6574    1.0026  0.0014  0.0127
  +0.348 +0.435  5  10 6408    0.9962 -0.0003  0.0215
  +0.435 +0.522  5  10 6203    0.9991  0.0006  0.0078
  +0.522 +0.609  5  10 5968    1.0068 -0.0077 -0.0220
  +0.609 +0.696  5  10 5708    1.0072 -0.0036 -0.0140
  +0.696 +0.783  5  10 5430    1.0020  0.0004  0.0096
  +0.783 +0.879  5  10 5141    0.9990  0.0001 -0.0030
  +0.879 +0.957  5  10 4816    1.0000 -0.0032 -0.0152
  +0.957 +1.044  5  10 4551    0.9996 -0.0040 -0.0189
  +1.044 +1.131  5  10 4259    0.9919 -0.0059 -0.0092
  +1.131 +1.218  5  10 3974    1.0008 -0.0077 -0.0530
  +1.218 +1.305  5  10 3699    1.0102 -0.0124 -0.0935
  +1.305 +1.392  5  10 3435    1.0190 -0.0347 -0.1903
  +1.392 +1.479  5  10 3183    1.0180 -0.0528 -0.2853
  +1.479 +1.566  5  10 2946    0.9752  0.0095 -0.1007
  +1.566 +1.653  5  10 2721    0.9741  0.0434 -0.0605
  +1.653 +1.740  5  10 2511    0.9744  0.0388 -0.0977
  +1.740 +1.830  5  10 2315    0.9788  0.0324 -0.1114
  +1.830 +1.930  5  10 2126    0.9678  0.0376 -0.0477
  +1.930 +2.043  5  10 1933    0.9597  0.0258 -0.0267
  +2.043 +2.172  5  10 1733    0.9565  0.0177 -0.0484
  +2.172 +2.322  5  10 1529    0.9686  0.0087 -0.2109
  +2.322 +2.500  5  10 1321    0.8753  0.0755  0.1172
  +2.500 +2.650  5  10 1108    0.7342  0.1510  0.3061
  +2.650 +2.853  5  10  956    0.7107  0.1285  0.1343
  +2.853 +2.964  5  10  781    0.7673  0.0823 -0.3846
  +2.964 +3.139  5  10  700    0.8300  0.0985  0.5000
  +3.139 +3.314  5  10  588    0.9495 -0.0156  0.5000
  +3.314 +3.489  5  10  493    0.9554 -0.0357  0.5000
  +3.489 +3.664  5  10  414    0.9085 -0.0486  0.5000
  +3.664 +3.839  5  10  348    0.8676 -0.0756  0.5000
  +3.839 +4.013  5  10  292    0.8158 -0.0733  0.5000
  +4.013 +4.191  5  10  245    0.7944 -0.1018  0.4174
  +4.191 +4.363  5  10  205    0.7346 -0.1360  0.5000
  +4.363 +4.538  5  10  173    0.7374 -0.0540  0.5000
  +4.538 +4.716  5  10  145    0.7234 -0.0241  0.5000
  +4.716 +4.889  5  10  121    0.6282 -0.1360  0.5000
  +4.889 +5.191  5  10  102    0.6776 -0.3042 -0.2787
