{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.5700 -0.1234  0.5000
  -4.889 -4.716  5  10  121    0.6495 -0.0295  0.4981
  -4.716 -4.538  5  10  145    0.7360  0.1885  0.5000
  -4.538 -4.363  5  10  173    0.7219 -0.1167  0.5000
  -4.363 -4.191  5  10  205    0.7273 -0.1083  0.5000
  -4.191 -4.013  5  10  245    0.7833 -0.0599  0.5000
  -4.013 -3.839  5  10  292    0.8050 -0.0785  0.5000
  -3.839 -3.664  5  10  348    0.8567 -0.0697  0.5000
  -3.664 -3.489  5  10  414    0.9093 -0.0590  0.5000
  -3.489 -3.314  5  10  493    0.9533 -0.0288  0.5000
  -3.314 -3.139  5  10  588    0.9504 -0.0266  0.5000
  -3.139 -2.964  5  10  700    0.8240  0.1096  0.5000
  -2.964 -2.853  5  10  781    0.7551  0.0920 -0.3767
  -2.853 -2.650  5  10  956    0.7048  0.1357  0.1443
  -2.650 -2.500  5  10 1108    0.7252  0.1674  0.3514
  -2.500 -2.322  5  10 1321    0.8798  0.0808  0.1325
  -2.322 -2.172  5  10 1529    0.9744  0.0149 -0.2135
  -2.172 -2.043  5  10 1733    0.9577  0.0276 -0.0327
  -2.043 -1.930  5  10 1933    0.9627  0.0325 -0.0117
  -1.930 -1.830  5  10 2126    0.9715  0.0417 -0.0591
  -1.830 -1.740  5  10 2315    0.9837  0.0292 -0.1344
  -1.740 -1.653  5  10 2511    0.9759  0.0401 -0.0953
  -1.653 -1.566  5  10 2721    0.9754  0.0419 -0.0678
  -1.566 -1.479  5  10 2946    0.9738  0.0126 -0.0905
  -1.479 -1.392  5  10 3183    1.0186 -0.0465 -0.2916
  -1.392 -1.305  5  10 3435    1.0157 -0.0284 -0.1813
  -1.305 -1.218  5  10 3699    1.0096 -0.0091 -0.0987
  -1.218 -1.131  5  10 3974    0.9944 -0.0006 -0.0147
  -1.131 -1.044  5  10 4259    0.9926 -0.0055 -0.0191
  -1.044 -0.957  5  10 4551    0.9942  0.0023 -0.0001
  -0.957 -0.879  5  10 4816    0.9956  0.0024  0.0068
  -0.879 -0.783  5  10 5141    0.9986  0.0007 -0.0031
  -0.783 -0.696  5  10 5430    1.0007  0.0030  0.0126
  -0.696 -0.609  5  10 5708    1.0076 -0.0046 -0.0170
  -0.609 -0.522  5  10 5968    1.0035 -0.0038  0.0037
  -0.522 -0.435  5  10 6203    1.0028 -0.0056 -0.0174
  -0.435 -0.348  5  10 6408    0.9978 -0.0021  0.0165
  -0.348 -0.261  5  10 6574    1.0011  0.0029  0.0251
  -0.261 -0.174  5  10 6698    1.0066  0.0020 -0.0029
  -0.174 -0.087  5  10 6774    0.9949  0.0140  0.0605
  -0.087 -0.000  5  10 6800    0.9965  0.0020  0.0302
  +0.000 +0.087  5  10 6800    0.9965  0.0020  0.0302
  +0.087 +0.174  5  10 6774    0.9949  0.0140  0.0605
  +0.174 +0.261  5  10 6698    1.0066  0.0020 -0.0029
  +0.261 +0.348  5  10 6574    1.0011  0.0029  0.0251
  +0.348 +0.435  5  10 6408    0.9978 -0.0021  0.0165
  +0.435 +0.522  5  10 6203    1.0028 -0.0056 -0.0174
  +0.522 +0.609  5  10 5968    1.0035 -0.0038  0.0037
  +0.609 +0.696  5  10 5708    1.0076 -0.0046 -0.0170
  +0.696 +0.783  5  10 5430    1.0007  0.0030  0.0126
  +0.783 +0.879  5  10 5141    0.9986  0.0007 -0.0031
  +0.879 +0.957  5  10 4816    0.9956  0.0024  0.0068
  +0.957 +1.044  5  10 4551    0.9942  0.0023 -0.0001
  +1.044 +1.131  5  10 4259    0.9926 -0.0055 -0.0191
  +1.131 +1.218  5  10 3974    0.9944 -0.0006 -0.0147
  +1.218 +1.305  5  10 3699    1.0096 -0.0091 -0.0987
  +1.305 +1.392  5  10 3435    1.0157 -0.0284 -0.1813
  +1.392 +1.479  5  10 3183    1.0186 -0.0465 -0.2916
  +1.479 +1.566  5  10 2946    0.9738  0.0126 -0.0905
  +1.566 +1.653  5  10 2721    0.9754  0.0419 -0.0678
  +1.653 +1.740  5  10 2511    0.9759  0.0401 -0.0953
  +1.740 +1.830  5  10 2315    0.9837  0.0292 -0.1344
  +1.830 +1.930  5  10 2126    0.9715  0.0417 -0.0591
  +1.930 +2.043  5  10 1933    0.9627  0.0325 -0.0117
  +2.043 +2.172  5  10 1733    0.9577  0.0276 -0.0327
  +2.172 +2.322  5  10 1529    0.9744  0.0149 -0.2135
  +2.322 +2.500  5  10 1321    0.8798  0.0808  0.1325
  +2.500 +2.650  5  10 1108    0.7252  0.1674  0.3514
  +2.650 +2.853  5  10  956    0.7048  0.1357  0.1443
  +2.853 +2.964  5  10  781    0.7551  0.0920 -0.3767
  +2.964 +3.139  5  10  700    0.8240  0.1096  0.5000
  +3.139 +3.314  5  10  588    0.9504 -0.0266  0.5000
  +3.314 +3.489  5  10  493    0.9533 -0.0288  0.5000
  +3.489 +3.664  5  10  414    0.9093 -0.0590  0.5000
  +3.664 +3.839  5  10  348    0.8567 -0.0697  0.5000
  +3.839 +4.013  5  10  292    0.8050 -0.0785  0.5000
  +4.013 +4.191  5  10  245    0.7833 -0.0599  0.5000
  +4.191 +4.363  5  10  205    0.7273 -0.1083  0.5000
  +4.363 +4.538  5  10  173    0.7219 -0.1167  0.5000
  +4.538 +4.716  5  10  145    0.7360  0.1885  0.5000
  +4.716 +4.889  5  10  121    0.6495 -0.0295  0.4981
  +4.889 +5.191  5  10  102    0.5700 -0.1234  0.5000
