{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    1.0505 -0.1162 -0.0733
  -4.889 -4.716  5  10  121    1.0159 -0.1636  0.0415
  -4.716 -4.538  5  10  145    1.0567  0.0276  0.0241
  -4.538 -4.363  5  10  173    1.0013  0.0869  0.1242
  -4.363 -4.191  5  10  205    0.9814  0.0657  0.0824
  -4.191 -4.013  5  10  245    0.9813  0.0643  0.1355
  -4.013 -3.839  5  10  292    0.9394  0.1584  0.3465
  -3.839 -3.664  5  10  348    0.9622  0.1033  0.2647
  -3.664 -3.489  5  10  414    0.9890  0.0408  0.0570
  -3.489 -3.314  5  10  493    0.9969  0.0315  0.0602
  -3.314 -3.139  5  10  588    0.9430  0.1070  0.3045
  -3.139 -2.964  5  10  700    0.8511  0.1435  0.5000
  -2.964 -2.853  5  10  781    0.7426  0.1600 -0.2611
  -2.853 -2.650  5  10  956    0.7319  0.1443  0.2812
  -2.650 -2.500  5  10 1108    0.7856  0.1308  0.1119
  -2.500 -2.322  5  10 1321    0.8862  0.0912  0.1552
  -2.322 -2.172  5  10 1529    0.9682  0.0315 -0.1628
  -2.172 -2.043  5  10 1733    0.9615  0.0255 -0.0379
  -2.043 -1.930  5  10 1933    0.9657  0.0347 -0.0068
  -1.930 -1.830  5  10 2126    0.9716  0.0478 -0.0181
  -1.830 -1.740  5  10 2315    0.9793  0.0384 -0.0711
  -1.740 -1.653  5  10 2511    0.9723  0.0428 -0.0484
  -1.653 -1.566  5  10 2721    0.9666  0.0525  0.0102
  -1.566 -1.479  5  10 2946    0.9661  0.0235 -0.0140
  -1.479 -1.392  5  10 3183    1.0279 -0.0563 -0.4347
  -1.392 -1.305  5  10 3435    1.0123 -0.0270 -0.2004
  -1.305 -1.218  5  10 3699    1.0147 -0.0201 -0.1611
  -1.218 -1.131  5  10 3974    0.9965 -0.0055 -0.0532
  -1.131 -1.044  5  10 4259    0.9944 -0.0106 -0.0377
  -1.044 -0.957  5  10 4551    0.9975 -0.0026 -0.0327
  -0.957 -0.879  5  10 4816    0.9999 -0.0073 -0.0226
  -0.879 -0.783  5  10 5141    1.0054 -0.0086 -0.0483
  -0.783 -0.696  5  10 5430    0.9977  0.0067  0.0304
  -0.696 -0.609  5  10 5708    1.0057 -0.0013  0.0030
  -0.609 -0.522  5  10 5968    1.0062 -0.0076 -0.0298
  -0.522 -0.435  5  10 6203    0.9954  0.0047  0.0398
  -0.435 -0.348  5  10 6408    0.9995 -0.0016  0.0101
  -0.348 -0.261  5  10 6574    0.9992  0.0057  0.0464
  -0.261 -0.174  5  10 6698    1.0038  0.0087  0.0120
  -0.174 -0.087  5  10 6774    0.9985  0.0093  0.0520
  -0.087 -0.000  5  10 6800    0.9932  0.0072  0.0898
  +0.000 +0.087  5  10 6800    0.9932  0.0072  0.0898
  +0.087 +0.174  5  10 6774    0.9985  0.0093  0.0520
  +0.174 +0.261  5  10 6698    1.0038  0.0087  0.0120
  +0.261 +0.348  5  10 6574    0.9992  0.0057  0.0464
  +0.348 +0.435  5  10 6408    0.9995 -0.0016  0.0101
  +0.435 +0.522  5  10 6203    0.9954  0.0047  0.0398
  +0.522 +0.609  5  10 5968    1.0062 -0.0076 -0.0298
  +0.609 +0.696  5  10 5708    1.0057 -0.0013  0.0030
  +0.696 +0.783  5  10 5430    0.9977  0.0067  0.0304
  +0.783 +0.879  5  10 5141    1.0054 -0.0086 -0.0483
  +0.879 +0.957  5  10 4816    0.9999 -0.0073 -0.0226
  +0.957 +1.044  5  10 4551    0.9975 -0.0026 -0.0327
  +1.044 +1.131  5  10 4259    0.9944 -0.0106 -0.0377
  +1.131 +1.218  5  10 3974    0.9965 -0.0055 -0.0532
  +1.218 +1.305  5  10 3699    1.0147 -0.0201 -0.1611
  +1.305 +1.392  5  10 3435    1.0123 -0.0270 -0.2004
  +1.392 +1.479  5  10 3183    1.0279 -0.0563 -0.4347
  +1.479 +1.566  5  10 2946    0.9661  0.0235 -0.0140
  +1.566 +1.653  5  10 2721    0.9666  0.0525  0.0102
  +1.653 +1.740  5  10 2511    0.9723  0.0428 -0.0484
  +1.740 +1.830  5  10 2315    0.9793  0.0384 -0.0711
  +1.830 +1.930  5  10 2126    0.9716  0.0478 -0.0181
  +1.930 +2.043  5  10 1933    0.9657  0.0347 -0.0068
  +2.043 +2.172  5  10 1733    0.9615  0.0255 -0.0379
  +2.172 +2.322  5  10 1529    0.9682  0.0315 -0.1628
  +2.322 +2.500  5  10 1321    0.8862  0.0912  0.1552
  +2.500 +2.650  5  10 1108    0.7856  0.1308  0.1119
  +2.650 +2.853  5  10  956    0.7319  0.1443  0.2812
  +2.853 +2.964  5  10  781    0.7426  0.1600 -0.2611
  +2.964 +3.139  5  10  700    0.8511  0.1435  0.5000
  +3.139 +3.314  5  10  588    0.9430  0.1070  0.3045
  +3.314 +3.489  5  10  493    0.9969  0.0315  0.0602
  +3.489 +3.664  5  10  414    0.9890  0.0408  0.0570
  +3.664 +3.839  5  10  348    0.9622  0.1033  0.2647
  +3.839 +4.013  5  10  292    0.9394  0.1584  0.3465
  +4.013 +4.191  5  10  245    0.9813  0.0643  0.1355
  +4.191 +4.363  5  10  205    0.9814  0.0657  0.0824
  +4.363 +4.538  5  10  173    1.0013  0.0869  0.1242
  +4.538 +4.716  5  10  145    1.0567  0.0276  0.0241
  +4.716 +4.889  5  10  121    1.0159 -0.1636  0.0415
  +4.889 +5.191  5  10  102    1.0505 -0.1162 -0.0733
