{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.8707  0.1307  0.5000
  -4.889 -4.716  5  10  121    0.9238  0.1153  0.5000
  -4.716 -4.538  5  10  145    0.9675  0.1719  0.2616
  -4.538 -4.363  5  10  173    0.9819 -0.0694 -0.1387
  -4.363 -4.191  5  10  205    1.0312 -0.1962 -0.5000
  -4.191 -4.013  5  10  245    1.0296 -0.1029 -0.5000
  -4.013 -3.839  5  10  292    0.9221  0.1366  0.3555
  -3.839 -3.664  5  10  348    0.9350  0.1259  0.3195
  -3.664 -3.489  5  10  414    0.9570  0.0546  0.1865
  -3.489 -3.314  5  10  493    0.9778  0.0530  0.1451
  -3.314 -3.139  5  10  588    0.9574  0.0745  0.2363
  -3.139 -2.964  5  10  700    0.8530  0.1298  0.4610
  -2.964 -2.853  5  10  781    0.6949  0.2615  0.2170
  -2.853 -2.650  5  10  956    0.7874  0.1054 -0.5000
  -2.650 -2.500  5  10 1108    0.7965  0.1381 -0.1539
  -2.500 -2.322  5  10 1321    0.9064  0.0475 -0.2833
  -2.322 -2.172  5  10 1529    0.9470  0.0513 -0.1576
  -2.172 -2.043  5  10 1733    0.9414  0.0419 -0.0746
  -2.043 -1.930  5  10 1933    0.9395  0.0412 -0.0576
  -1.930 -1.830  5  10 2126    0.9365  0.0419 -0.0613
  -1.830 -1.740  5  10 2315    0.9459  0.0395 -0.1985
  -1.740 -1.653  5  10 2511    0.9334  0.0501 -0.0680
  -1.653 -1.566  5  10 2721    0.9298  0.0522 -0.0084
  -1.566 -1.479  5  10 2946    0.9350  0.0209 -0.0500
  -1.479 -1.392  5  10 3183    0.9520  0.0259 -0.0274
  -1.392 -1.305  5  10 3435    0.9683  0.0521  0.0348
  -1.305 -1.218  5  10 3699    0.9747  0.0508  0.0509
  -1.218 -1.131  5  10 3974    0.9725  0.0327  0.0663
  -1.131 -1.044  5  10 4259    0.9773  0.0189  0.0277
  -1.044 -0.957  5  10 4551    0.9773  0.0218  0.0466
  -0.957 -0.879  5  10 4816    0.9812  0.0114  0.0585
  -0.879 -0.783  5  10 5141    0.9938  0.0025 -0.0115
  -0.783 -0.696  5  10 5430    0.9948  0.0130  0.0358
  -0.696 -0.609  5  10 5708    1.0031 -0.0048  0.0014
  -0.609 -0.522  5  10 5968    1.0070 -0.0080 -0.0213
  -0.522 -0.435  5  10 6203    1.0101 -0.0085 -0.0125
  -0.435 -0.348  5  10 6408    1.0156 -0.0124 -0.0302
  -0.348 -0.261  5  10 6574    1.0131 -0.0158 -0.0167
  -0.261 -0.174  5  10 6698    1.0150 -0.0193 -0.0369
  -0.174 -0.087  5  10 6774    1.0134 -0.0091  0.0150
  -0.087 -0.000  5  10 6800    1.0153 -0.0255 -0.0203
  +0.000 +0.087  5  10 6800    1.0153 -0.0255 -0.0203
  +0.087 +0.174  5  10 6774    1.0134 -0.0091  0.0150
  +0.174 +0.261  5  10 6698    1.0150 -0.0193 -0.0369
  +0.261 +0.348  5  10 6574    1.0131 -0.0158 -0.0167
  +0.348 +0.435  5  10 6408    1.0156 -0.0124 -0.0302
  +0.435 +0.522  5  10 6203    1.0101 -0.0085 -0.0125
  +0.522 +0.609  5  10 5968    1.0070 -0.0080 -0.0213
  +0.609 +0.696  5  10 5708    1.0031 -0.0048  0.0014
  +0.696 +0.783  5  10 5430    0.9948  0.0130  0.0358
  +0.783 +0.879  5  10 5141    0.9938  0.0025 -0.0115
  +0.879 +0.957  5  10 4816    0.9812  0.0114  0.0585
  +0.957 +1.044  5  10 4551    0.9773  0.0218  0.0466
  +1.044 +1.131  5  10 4259    0.9773  0.0189  0.0277
  +1.131 +1.218  5  10 3974    0.9725  0.0327  0.0663
  +1.218 +1.305  5  10 3699    0.9747  0.0508  0.0509
  +1.305 +1.392  5  10 3435    0.9683  0.0521  0.0348
  +1.392 +1.479  5  10 3183    0.9520  0.0259 -0.0274
  +1.479 +1.566  5  10 2946    0.9350  0.0209 -0.0500
  +1.566 +1.653  5  10 2721    0.9298  0.0522 -0.0084
  +1.653 +1.740  5  10 2511    0.9334  0.0501 -0.0680
  +1.740 +1.830  5  10 2315    0.9459  0.0395 -0.1985
  +1.830 +1.930  5  10 2126    0.9365  0.0419 -0.0613
  +1.930 +2.043  5  10 1933    0.9395  0.0412 -0.0576
  +2.043 +2.172  5  10 1733    0.9414  0.0419 -0.0746
  +2.172 +2.322  5  10 1529    0.9470  0.0513 -0.1576
  +2.322 +2.500  5  10 1321    0.9064  0.0475 -0.2833
  +2.500 +2.650  5  10 1108    0.7965  0.1381 -0.1539
  +2.650 +2.853  5  10  956    0.7874  0.1054 -0.5000
  +2.853 +2.964  5  10  781    0.6949  0.2615  0.2170
  +2.964 +3.139  5  10  700    0.8530  0.1298  0.4610
  +3.139 +3.314  5  10  588    0.9574  0.0745  0.2363
  +3.314 +3.489  5  10  493    0.9778  0.0530  0.1451
  +3.489 +3.664  5  10  414    0.9570  0.0546  0.1865
  +3.664 +3.839  5  10  348    0.9350  0.1259  0.3195
  +3.839 +4.013  5  10  292    0.9221  0.1366  0.3555
  +4.013 +4.191  5  10  245    1.0296 -0.1029 -0.5000
  +4.191 +4.363  5  10  205    1.0312 -0.1962 -0.5000
