#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
391668:10590,05/05/25 14:57:04,236,236,0.000261364,0.000247804
391670:10590,05/05/25 16:45:51,128,128,0.000212394,0.000193569
391671:10590,05/05/25 17:43:18,331,331,0.000604322,0.000552457
391688:10590,05/05/25 23:19:31,112,112,0.000150004,0.000147491
391698:10591,05/06/25 01:51:41,132,132,0.000196868,0.000192002
391699:10591,05/06/25 02:48:49,839,839,0.001330371,0.001303469
391700:10591,05/06/25 08:39:31,186,186,0.000294664,0.000286733
391825:10606,05/09/25 02:35:35,588,588,0.000889594,0.000826222
391826:10606,05/09/25 06:39:59,236,236,0.000397157,0.000385600
391869:10611,05/10/25 06:29:21,76,76,0.000558194,0.000500174
391870:10611,05/10/25 07:03:27,12,12,0.000167094,0.000130549
391871:10611,05/10/25 07:11:38,25,25,0.000372121,0.000362848
391873:10611,05/10/25 07:26:29,19,19,0.000288266,0.000281454
391874:10611,05/10/25 07:40:00,370,370,0.005467620,0.005265669
391884:10611,05/10/25 10:27:44,192,192,0.002814129,0.002740993
391906:10612,05/10/25 16:15:52,99,99,0.000808314,0.000761493
391909:10612,05/10/25 19:09:42,307,307,0.004467871,0.004212157
391910:10612,05/10/25 21:16:48,707,707,0.010086798,0.009826237
391912:10612,05/11/25 02:15:19,339,339,0.003959382,0.003866710
391949:10616,05/11/25 22:55:11,82,82,0.001030809,0.000977961
391950:10616,05/11/25 23:31:33,664,664,0.009633128,0.009372249
391951:10616,05/12/25 04:06:36,18,18,0.000260376,0.000245788
391952:10616,05/12/25 04:17:13,398,398,0.005641870,0.005448690
391953:10616,05/12/25 07:11:36,18,18,0.000169141,0.000147446
392030:10623,05/13/25 17:52:40,6,6,0.000327907,0.000233228
392046:10623,05/13/25 20:25:26,152,151,0.013577729,0.013074886
392052:10623,05/13/25 21:30:14,249,249,0.022953311,0.022154089
392067:10623,05/13/25 23:14:50,95,95,0.008751041,0.008445956
392071:10623,05/13/25 23:56:34,632,632,0.053358824,0.051588974
392109:10628,05/15/25 00:43:36,494,494,0.043206651,0.041235546
392112:10629,05/15/25 06:13:08,986,986,0.088549612,0.084354181
392175:10638,05/16/25 18:54:47,544,544,0.088981278,0.086192026
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#10,32,9272,9271,0.369768202,0.355554651
#Check JSON:
#(run,ls) in json but not in results: []
