#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
391668:10590,05/05/25 15:46:48,1,1,0.000001084,0.000001070
391688:10590,05/05/25 23:19:31,112,112,0.000150095,0.000148003
391698:10591,05/06/25 01:51:41,135,135,0.000201629,0.000193563
391699:10591,05/06/25 02:48:49,887,887,0.001408510,0.001374065
391700:10591,05/06/25 08:39:07,189,189,0.000299530,0.000292269
391825:10606,05/09/25 02:35:58,170,170,0.000241316,0.000232829
391826:10606,05/09/25 06:39:59,238,238,0.000400861,0.000389864
391869:10611,05/10/25 06:30:08,80,80,0.000585309,0.000532510
391870:10611,05/10/25 07:03:27,12,12,0.000167094,0.000130549
391871:10611,05/10/25 07:11:15,27,27,0.000401868,0.000387974
391873:10611,05/10/25 07:26:06,24,24,0.000363922,0.000341883
391874:10611,05/10/25 07:39:36,403,403,0.005956408,0.005409272
391884:10611,05/10/25 10:27:44,201,201,0.002844399,0.002770378
391906:10612,05/10/25 16:16:39,100,100,0.000817583,0.000775119
391909:10612,05/10/25 19:09:42,322,322,0.004686159,0.004370019
391910:10612,05/10/25 21:16:25,746,746,0.010640227,0.010319411
391912:10612,05/11/25 02:14:32,345,345,0.004032203,0.003938423
391953:10616,05/12/25 07:11:36,18,18,0.000169141,0.000147446
392030:10623,05/13/25 17:52:40,6,6,0.000327907,0.000233228
392046:10623,05/13/25 20:25:26,152,151,0.013577729,0.013074886
392052:10623,05/13/25 21:30:14,249,249,0.022953311,0.022154089
392067:10623,05/13/25 23:14:50,95,95,0.008751041,0.008445956
392071:10623,05/13/25 23:56:34,632,632,0.053358824,0.051588974
392109:10628,05/15/25 00:43:36,494,494,0.043206651,0.041235546
392112:10629,05/15/25 06:13:08,986,986,0.088549612,0.084354181
392197:10638,05/17/25 02:29:04,272,272,0.034125646,0.033234144
392203:10639,05/17/25 06:37:32,99,99,0.010615077,0.010308913
392204:10639,05/17/25 07:19:13,340,340,0.055306606,0.052738960
392205:10639,05/17/25 09:42:08,167,167,0.027214545,0.025522509
392206:10639,05/17/25 10:53:44,475,475,0.077130575,0.075109539
392207:10639,05/17/25 14:29:48,130,130,0.018578392,0.017451845
392219:10640,05/17/25 17:48:29,66,66,0.006032065,0.005786939
392220:10640,05/17/25 18:16:42,498,498,0.075538398,0.073824415
392221:10640,05/17/25 21:38:23,926,926,0.147283817,0.143434652
392250:10644,05/19/25 00:53:40,675,675,0.141654470,0.134639335
392251:10644,05/19/25 05:18:59,747,747,0.161911171,0.155787015
392293:10645,05/19/25 15:22:15,3,3,0.000491022,0.000230711
392294:10645,05/19/25 15:26:08,34,34,0.003314263,0.003233394
392295:10645,05/19/25 15:41:39,694,694,0.167318689,0.162773828
392296:10645,05/19/25 20:28:13,881,881,0.196498120,0.190107775
392301:10647,05/20/25 04:52:56,266,266,0.053715765,0.051791819
392358:10649,05/20/25 17:44:14,164,164,0.050469825,0.046707541
392359:10649,05/20/25 18:52:47,37,37,0.014748928,0.012576559
392360:10649,05/20/25 19:11:33,217,217,0.086346763,0.079567618
392361:10649,05/20/25 20:40:01,268,268,0.106706993,0.100365002
392362:10649,05/20/25 22:57:05,3,3,0.001190442,0.001146487
392363:10649,05/20/25 23:10:20,982,982,0.317345816,0.305831724
392382:10650,05/21/25 08:38:32,110,110,0.024801214,0.023902522
392431:10653,05/22/25 13:28:08,191,191,0.061552367,0.058450301
392432:10653,05/22/25 14:51:02,72,72,0.028809604,0.027524836
392440:10656,05/23/25 00:45:04,260,260,0.088848965,0.084580245
392441:10656,05/23/25 02:32:44,460,460,0.183220103,0.175996302
392442:10656,05/23/25 05:41:32,889,889,0.294377392,0.282858811
392473:10659,05/23/25 19:47:26,118,118,0.036570393,0.033470946
392476:10659,05/23/25 20:40:29,98,98,0.047872993,0.045073404
392477:10659,05/23/25 21:22:12,726,726,0.354908800,0.339839000
392517:10663,05/24/25 13:27:29,49,49,0.011335986,0.010747924
392524:10665,05/24/25 20:46:03,379,379,0.170854416,0.163133858
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#22,58,17920,17919,3.320782037,3.180590381
#Check JSON:
#(run,ls) in json but not in results: []
