#Data tag : online , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
391668:10590,05/05/25 14:57:04,236,HLT_DiPFJetAve100_HFJEC_v30,0.000008431,0.000007994
391670:10590,05/05/25 16:45:51,128,HLT_DiPFJetAve100_HFJEC_v30,0.000006851,0.000006244
391671:10590,05/05/25 17:43:18,331,HLT_DiPFJetAve100_HFJEC_v30,0.000019494,0.000017821
391688:10590,05/05/25 23:19:31,112,HLT_DiPFJetAve100_HFJEC_v30,0.000004839,0.000004758
391698:10591,05/06/25 01:51:41,132,HLT_DiPFJetAve100_HFJEC_v30,0.000006351,0.000006194
391699:10591,05/06/25 02:48:49,839,HLT_DiPFJetAve100_HFJEC_v30,0.000042915,0.000042047
391700:10591,05/06/25 08:39:31,186,HLT_DiPFJetAve100_HFJEC_v30,0.000009505,0.000009249
391825:10606,05/09/25 02:35:35,588,HLT_DiPFJetAve100_HFJEC_v30,0.000028697,0.000026652
391826:10606,05/09/25 06:39:59,236,HLT_DiPFJetAve100_HFJEC_v30,0.000012812,0.000012439
391869:10611,05/10/25 06:29:21,76,HLT_DiPFJetAve100_HFJEC_v30,0.000002114,0.000001895
391870:10611,05/10/25 07:03:27,12,HLT_DiPFJetAve100_HFJEC_v30,0.000000633,0.000000495
391871:10611,05/10/25 07:11:38,25,HLT_DiPFJetAve100_HFJEC_v30,0.000001410,0.000001374
391873:10611,05/10/25 07:26:29,19,HLT_DiPFJetAve100_HFJEC_v30,0.000001092,0.000001066
391874:10611,05/10/25 07:40:00,370,HLT_DiPFJetAve100_HFJEC_v30,0.000020711,0.000019946
391884:10611,05/10/25 10:27:44,192,HLT_DiPFJetAve100_HFJEC_v30,0.000010660,0.000010383
391906:10612,05/10/25 16:15:52,99,HLT_DiPFJetAve100_HFJEC_v30,0.000003062,0.000002884
391909:10612,05/10/25 19:09:42,307,HLT_DiPFJetAve100_HFJEC_v30,0.000016924,0.000015955
391910:10612,05/10/25 21:16:48,707,HLT_DiPFJetAve100_HFJEC_v30,0.000038208,0.000037221
391912:10612,05/11/25 02:15:19,339,HLT_DiPFJetAve100_HFJEC_v30,0.000014998,0.000014647
391949:10616,05/11/25 22:55:11,82,HLT_DiPFJetAve100_HFJEC_v30,0.000003905,0.000003704
391950:10616,05/11/25 23:31:33,664,HLT_DiPFJetAve100_HFJEC_v30,0.000036489,0.000035501
391951:10616,05/12/25 04:06:36,18,HLT_DiPFJetAve100_HFJEC_v30,0.000000986,0.000000931
391952:10616,05/12/25 04:17:13,398,HLT_DiPFJetAve100_HFJEC_v30,0.000021371,0.000020639
391953:10616,05/12/25 07:11:36,18,HLT_DiPFJetAve100_HFJEC_v30,0.000000641,0.000000559
392030:10623,05/13/25 17:52:40,6,HLT_DiPFJetAve100_HFJEC_v30,0.000001242,0.000000883
392046:10623,05/13/25 20:25:26,151,HLT_DiPFJetAve100_HFJEC_v30,0.000051087,0.000049192
392052:10623,05/13/25 21:30:14,249,HLT_DiPFJetAve100_HFJEC_v30,0.000086944,0.000083917
392067:10623,05/13/25 23:14:50,95,HLT_DiPFJetAve100_HFJEC_v30,0.000033148,0.000031992
392071:10623,05/13/25 23:56:34,632,HLT_DiPFJetAve100_HFJEC_v30,0.000202117,0.000195413
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_DiPFJetAve100_HFJEC_v30,7,29,7247,0.000687634,0.000661994
#
#Sum delivered  : 0.000687634
#Sum recorded : 0.000661994
#Check JSON:
#(run,ls) in json but not in results: [(392046, 112)]
