#Data tag : online , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
391668:10590,05/05/25 15:46:48,1,HLT_DiPFJetAve220_HFJEC_v29,0.000000136,0.000000134
391688:10590,05/05/25 23:19:31,112,HLT_DiPFJetAve220_HFJEC_v29,0.000018762,0.000018500
391698:10591,05/06/25 01:51:41,135,HLT_DiPFJetAve220_HFJEC_v29,0.000025204,0.000024195
391699:10591,05/06/25 02:48:49,887,HLT_DiPFJetAve220_HFJEC_v29,0.000176064,0.000171758
391700:10591,05/06/25 08:39:07,189,HLT_DiPFJetAve220_HFJEC_v29,0.000037441,0.000036534
391825:10606,05/09/25 02:35:58,170,HLT_DiPFJetAve220_HFJEC_v29,0.000030165,0.000029104
391826:10606,05/09/25 06:39:59,238,HLT_DiPFJetAve220_HFJEC_v29,0.000050108,0.000048733
391869:10611,05/10/25 06:30:08,80,HLT_DiPFJetAve220_HFJEC_v29,0.000073164,0.000066564
391870:10611,05/10/25 07:03:27,12,HLT_DiPFJetAve220_HFJEC_v29,0.000020887,0.000016319
391871:10611,05/10/25 07:11:15,27,HLT_DiPFJetAve220_HFJEC_v29,0.000050234,0.000048497
391873:10611,05/10/25 07:26:06,24,HLT_DiPFJetAve220_HFJEC_v29,0.000045490,0.000042735
391874:10611,05/10/25 07:39:36,403,HLT_DiPFJetAve220_HFJEC_v29,0.000744551,0.000676159
391884:10611,05/10/25 10:27:44,201,HLT_DiPFJetAve220_HFJEC_v29,0.000355550,0.000346297
391906:10612,05/10/25 16:16:39,100,HLT_DiPFJetAve220_HFJEC_v29,0.000102198,0.000096890
391909:10612,05/10/25 19:09:42,322,HLT_DiPFJetAve220_HFJEC_v29,0.000585770,0.000546252
391910:10612,05/10/25 21:16:25,746,HLT_DiPFJetAve220_HFJEC_v29,0.001330028,0.001289926
391912:10612,05/11/25 02:14:32,345,HLT_DiPFJetAve220_HFJEC_v29,0.000504025,0.000492303
392030:10623,05/13/25 17:53:03,10,HLT_DiPFJetAve220_HFJEC_v29,0.000069051,0.000060199
392046:10623,05/13/25 20:24:40,156,HLT_DiPFJetAve220_HFJEC_v29,0.001743936,0.001657915
392052:10623,05/13/25 21:29:51,260,HLT_DiPFJetAve220_HFJEC_v29,0.002996194,0.002879388
392067:10623,05/13/25 23:14:50,100,HLT_DiPFJetAve220_HFJEC_v29,0.001152097,0.001096320
392071:10623,05/13/25 23:56:34,655,HLT_DiPFJetAve220_HFJEC_v29,0.006863191,0.006637466
392109:10628,05/15/25 00:44:23,496,HLT_DiPFJetAve220_HFJEC_v29,0.005461111,0.005195441
392112:10629,05/15/25 06:13:55,1021,HLT_DiPFJetAve220_HFJEC_v29,0.011484256,0.010898883
392251:10644,05/19/25 05:18:59,747,HLT_DiPFJetAve220_HFJEC_v30,0.020238896,0.019473377
392293:10645,05/19/25 15:22:15,3,HLT_DiPFJetAve220_HFJEC_v30,0.000061378,0.000028839
392294:10645,05/19/25 15:26:08,34,HLT_DiPFJetAve220_HFJEC_v30,0.000414283,0.000404174
392295:10645,05/19/25 15:41:39,694,HLT_DiPFJetAve220_HFJEC_v30,0.020914836,0.020346729
392296:10645,05/19/25 20:28:13,881,HLT_DiPFJetAve220_HFJEC_v30,0.024562265,0.023763472
392301:10647,05/20/25 04:52:56,266,HLT_DiPFJetAve220_HFJEC_v30,0.006714471,0.006473977
392358:10649,05/20/25 17:44:14,164,HLT_DiPFJetAve220_HFJEC_v30,0.006308728,0.005838443
392359:10649,05/20/25 18:52:47,37,HLT_DiPFJetAve220_HFJEC_v30,0.001843616,0.001572070
392360:10649,05/20/25 19:11:33,217,HLT_DiPFJetAve220_HFJEC_v30,0.010793345,0.009945952
392361:10649,05/20/25 20:40:01,268,HLT_DiPFJetAve220_HFJEC_v30,0.013338374,0.012545625
392362:10649,05/20/25 22:57:05,3,HLT_DiPFJetAve220_HFJEC_v30,0.000148805,0.000143311
392363:10649,05/20/25 23:10:20,982,HLT_DiPFJetAve220_HFJEC_v30,0.039668227,0.038228966
392382:10650,05/21/25 08:38:32,110,HLT_DiPFJetAve220_HFJEC_v30,0.003100152,0.002987815
392431:10653,05/22/25 13:28:08,191,HLT_DiPFJetAve220_HFJEC_v30,0.007694046,0.007306288
392432:10653,05/22/25 14:51:02,72,HLT_DiPFJetAve220_HFJEC_v30,0.003601201,0.003440604
392440:10656,05/23/25 00:45:04,260,HLT_DiPFJetAve220_HFJEC_v30,0.011106121,0.010572531
392441:10656,05/23/25 02:32:44,460,HLT_DiPFJetAve220_HFJEC_v30,0.022902513,0.021999538
392442:10656,05/23/25 05:41:32,889,HLT_DiPFJetAve220_HFJEC_v30,0.036797174,0.035357351
