#Data tag : online , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
391668:10590,05/05/25 15:46:48,1,HLT_DiPFJetAve320_v27,0.000000023,0.000000022
391688:10590,05/05/25 23:19:31,112,HLT_DiPFJetAve320_v27,0.000003127,0.000003083
391698:10591,05/06/25 01:51:41,135,HLT_DiPFJetAve320_v27,0.000004201,0.000004033
391699:10591,05/06/25 02:48:49,887,HLT_DiPFJetAve320_v27,0.000029344,0.000028626
391700:10591,05/06/25 08:39:07,189,HLT_DiPFJetAve320_v27,0.000006240,0.000006089
391825:10606,05/09/25 02:35:58,170,HLT_DiPFJetAve320_v27,0.000005027,0.000004851
391826:10606,05/09/25 06:39:59,238,HLT_DiPFJetAve320_v27,0.000008351,0.000008122
391869:10611,05/10/25 06:30:08,80,HLT_DiPFJetAve320_v27,0.000012194,0.000011094
391870:10611,05/10/25 07:03:27,12,HLT_DiPFJetAve320_v27,0.000003481,0.000002720
391871:10611,05/10/25 07:11:15,27,HLT_DiPFJetAve320_v27,0.000008372,0.000008083
391873:10611,05/10/25 07:26:06,24,HLT_DiPFJetAve320_v27,0.000007582,0.000007123
391874:10611,05/10/25 07:39:36,403,HLT_DiPFJetAve320_v27,0.000124092,0.000112693
391884:10611,05/10/25 10:27:44,201,HLT_DiPFJetAve320_v27,0.000059258,0.000057716
391906:10612,05/10/25 16:16:39,100,HLT_DiPFJetAve320_v27,0.000017033,0.000016148
391909:10612,05/10/25 19:09:42,322,HLT_DiPFJetAve320_v27,0.000097628,0.000091042
391910:10612,05/10/25 21:16:25,746,HLT_DiPFJetAve320_v27,0.000221671,0.000214988
391912:10612,05/11/25 02:14:32,345,HLT_DiPFJetAve320_v27,0.000084004,0.000082050
392030:10623,05/13/25 17:53:03,10,HLT_DiPFJetAve320_v27,0.000011509,0.000010033
392046:10623,05/13/25 20:24:40,156,HLT_DiPFJetAve320_v27,0.000290656,0.000276319
392052:10623,05/13/25 21:29:51,260,HLT_DiPFJetAve320_v27,0.000499366,0.000479898
392067:10623,05/13/25 23:14:50,100,HLT_DiPFJetAve320_v27,0.000192016,0.000182720
392071:10623,05/13/25 23:56:34,655,HLT_DiPFJetAve320_v27,0.001143865,0.001106244
392109:10628,05/15/25 00:44:23,496,HLT_DiPFJetAve320_v27,0.000910185,0.000865907
392112:10629,05/15/25 06:13:55,1021,HLT_DiPFJetAve320_v27,0.001914043,0.001816480
392251:10644,05/19/25 05:18:59,747,HLT_DiPFJetAve320_v28,0.003373149,0.003245563
392293:10645,05/19/25 15:22:15,3,HLT_DiPFJetAve320_v28,0.000010230,0.000004806
392294:10645,05/19/25 15:26:08,34,HLT_DiPFJetAve320_v28,0.000069047,0.000067362
392295:10645,05/19/25 15:41:39,694,HLT_DiPFJetAve320_v28,0.003485806,0.003391121
392296:10645,05/19/25 20:28:13,881,HLT_DiPFJetAve320_v28,0.004093711,0.003960579
392301:10647,05/20/25 04:52:56,266,HLT_DiPFJetAve320_v28,0.001119078,0.001078996
392358:10649,05/20/25 17:44:14,164,HLT_DiPFJetAve320_v28,0.001051455,0.000973074
392359:10649,05/20/25 18:52:47,37,HLT_DiPFJetAve320_v28,0.000307269,0.000262012
392360:10649,05/20/25 19:11:33,217,HLT_DiPFJetAve320_v28,0.001798891,0.001657659
392361:10649,05/20/25 20:40:01,268,HLT_DiPFJetAve320_v28,0.002223062,0.002090938
