#Data tag : online , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
391668:10590,05/05/25 14:57:04,236,HLT_DiPFJetAve320_v27,0.000005445,0.000005163
391670:10590,05/05/25 16:45:51,128,HLT_DiPFJetAve320_v27,0.000004425,0.000004033
391671:10590,05/05/25 17:43:18,331,HLT_DiPFJetAve320_v27,0.000012590,0.000011510
391688:10590,05/05/25 23:19:31,112,HLT_DiPFJetAve320_v27,0.000003125,0.000003073
391698:10591,05/06/25 01:51:41,132,HLT_DiPFJetAve320_v27,0.000004101,0.000004000
391699:10591,05/06/25 02:48:49,839,HLT_DiPFJetAve320_v27,0.000027716,0.000027156
391700:10591,05/06/25 08:39:31,186,HLT_DiPFJetAve320_v27,0.000006139,0.000005974
391825:10606,05/09/25 02:35:35,588,HLT_DiPFJetAve320_v27,0.000018533,0.000017213
391826:10606,05/09/25 06:39:59,236,HLT_DiPFJetAve320_v27,0.000008274,0.000008033
391869:10611,05/10/25 06:29:21,76,HLT_DiPFJetAve320_v27,0.000011629,0.000010420
391870:10611,05/10/25 07:03:27,12,HLT_DiPFJetAve320_v27,0.000003481,0.000002720
391871:10611,05/10/25 07:11:38,25,HLT_DiPFJetAve320_v27,0.000007753,0.000007559
391873:10611,05/10/25 07:26:29,19,HLT_DiPFJetAve320_v27,0.000006006,0.000005864
391874:10611,05/10/25 07:40:00,370,HLT_DiPFJetAve320_v27,0.000113909,0.000109701
391884:10611,05/10/25 10:27:44,192,HLT_DiPFJetAve320_v27,0.000058628,0.000057104
391906:10612,05/10/25 16:15:52,99,HLT_DiPFJetAve320_v27,0.000016840,0.000015864
391909:10612,05/10/25 19:09:42,307,HLT_DiPFJetAve320_v27,0.000093081,0.000087753
391910:10612,05/10/25 21:16:48,707,HLT_DiPFJetAve320_v27,0.000210142,0.000204713
391912:10612,05/11/25 02:15:19,339,HLT_DiPFJetAve320_v27,0.000082487,0.000080556
391949:10616,05/11/25 22:55:11,82,HLT_DiPFJetAve320_v27,0.000021475,0.000020374
391950:10616,05/11/25 23:31:33,664,HLT_DiPFJetAve320_v27,0.000200690,0.000195255
391951:10616,05/12/25 04:06:36,18,HLT_DiPFJetAve320_v27,0.000005424,0.000005121
391952:10616,05/12/25 04:17:13,398,HLT_DiPFJetAve320_v27,0.000117539,0.000113514
391953:10616,05/12/25 07:11:36,18,HLT_DiPFJetAve320_v27,0.000003524,0.000003072
392030:10623,05/13/25 17:52:40,6,HLT_DiPFJetAve320_v27,0.000006831,0.000004859
392046:10623,05/13/25 20:25:26,151,HLT_DiPFJetAve320_v27,0.000280980,0.000270557
392052:10623,05/13/25 21:30:14,249,HLT_DiPFJetAve320_v27,0.000478194,0.000461544
392067:10623,05/13/25 23:14:50,95,HLT_DiPFJetAve320_v27,0.000182313,0.000175957
392071:10623,05/13/25 23:56:34,632,HLT_DiPFJetAve320_v27,0.001111642,0.001074770
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_DiPFJetAve320_v27,7,29,7247,0.003102916,0.002993432
#
#Sum delivered  : 0.003102916
#Sum recorded : 0.002993432
#Check JSON:
#(run,ls) in json but not in results: [(392046, 112)]
