#Data tag : online , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
391668:10590,05/05/25 14:57:04,236,HLT_PFJet140_v32,0.000000174,0.000000165
391670:10590,05/05/25 16:45:51,128,HLT_PFJet140_v32,0.000000142,0.000000129
391671:10590,05/05/25 17:43:18,331,HLT_PFJet140_v32,0.000000403,0.000000368
391688:10590,05/05/25 23:19:31,112,HLT_PFJet140_v32,0.000000100,0.000000098
391698:10591,05/06/25 01:51:41,132,HLT_PFJet140_v32,0.000000131,0.000000128
391699:10591,05/06/25 02:48:49,839,HLT_PFJet140_v32,0.000000887,0.000000869
391700:10591,05/06/25 08:39:31,186,HLT_PFJet140_v32,0.000000196,0.000000191
391825:10606,05/09/25 02:35:35,588,HLT_PFJet140_v32,0.000000593,0.000000551
391826:10606,05/09/25 06:39:59,236,HLT_PFJet140_v32,0.000000265,0.000000257
391869:10611,05/10/25 06:29:21,76,HLT_PFJet140_v32,0.000000372,0.000000333
391870:10611,05/10/25 07:03:27,12,HLT_PFJet140_v32,0.000000111,0.000000087
391871:10611,05/10/25 07:11:38,25,HLT_PFJet140_v32,0.000000248,0.000000242
391873:10611,05/10/25 07:26:29,19,HLT_PFJet140_v32,0.000000192,0.000000188
391874:10611,05/10/25 07:40:00,370,HLT_PFJet140_v32,0.000003645,0.000003510
391884:10611,05/10/25 10:27:44,192,HLT_PFJet140_v32,0.000001876,0.000001827
391906:10612,05/10/25 16:15:52,99,HLT_PFJet140_v32,0.000000539,0.000000508
391909:10612,05/10/25 19:09:42,307,HLT_PFJet140_v32,0.000002979,0.000002808
391910:10612,05/10/25 21:16:48,707,HLT_PFJet140_v32,0.000006725,0.000006551
391912:10612,05/11/25 02:15:19,339,HLT_PFJet140_v32,0.000002640,0.000002578
391949:10616,05/11/25 22:55:11,82,HLT_PFJet140_v32,0.000000687,0.000000652
391950:10616,05/11/25 23:31:33,664,HLT_PFJet140_v32,0.000006422,0.000006248
391951:10616,05/12/25 04:06:36,18,HLT_PFJet140_v32,0.000000174,0.000000164
391952:10616,05/12/25 04:17:13,398,HLT_PFJet140_v32,0.000003761,0.000003632
391953:10616,05/12/25 07:11:36,18,HLT_PFJet140_v32,0.000000113,0.000000098
392030:10623,05/13/25 17:52:40,6,HLT_PFJet140_v32,0.000000219,0.000000155
392046:10623,05/13/25 20:25:26,151,HLT_PFJet140_v32,0.000008991,0.000008658
392052:10623,05/13/25 21:30:14,249,HLT_PFJet140_v32,0.000015302,0.000014769
392067:10623,05/13/25 23:14:50,95,HLT_PFJet140_v32,0.000005834,0.000005631
392071:10623,05/13/25 23:56:34,632,HLT_PFJet140_v32,0.000035573,0.000034393
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_PFJet140_v32,7,29,7247,0.000099293,0.000095790
#
#Sum delivered  : 0.000099293
#Sum recorded : 0.000095790
#Check JSON:
#(run,ls) in json but not in results: [(392046, 112)]
