#Data tag : online , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
391668:10590,05/05/25 15:46:48,1,HLT_PFJet400_v33,0.000000068,0.000000067
391688:10590,05/05/25 23:19:31,112,HLT_PFJet400_v33,0.000009381,0.000009250
391698:10591,05/06/25 01:51:41,135,HLT_PFJet400_v33,0.000012602,0.000012098
391699:10591,05/06/25 02:48:49,887,HLT_PFJet400_v33,0.000088032,0.000085879
391700:10591,05/06/25 08:39:07,189,HLT_PFJet400_v33,0.000018721,0.000018267
391825:10606,05/09/25 02:35:58,170,HLT_PFJet400_v33,0.000015082,0.000014552
391826:10606,05/09/25 06:39:59,238,HLT_PFJet400_v33,0.000025054,0.000024366
391869:10611,05/10/25 06:30:08,80,HLT_PFJet400_v33,0.000036582,0.000033282
391870:10611,05/10/25 07:03:27,12,HLT_PFJet400_v33,0.000010443,0.000008159
391871:10611,05/10/25 07:11:15,27,HLT_PFJet400_v33,0.000025117,0.000024248
391873:10611,05/10/25 07:26:06,24,HLT_PFJet400_v33,0.000022745,0.000021368
391874:10611,05/10/25 07:39:36,403,HLT_PFJet400_v33,0.000372276,0.000338080
391884:10611,05/10/25 10:27:44,201,HLT_PFJet400_v33,0.000177775,0.000173149
391906:10612,05/10/25 16:16:39,100,HLT_PFJet400_v33,0.000051099,0.000048445
391909:10612,05/10/25 19:09:42,322,HLT_PFJet400_v33,0.000292885,0.000273126
391910:10612,05/10/25 21:16:25,746,HLT_PFJet400_v33,0.000665014,0.000644963
391912:10612,05/11/25 02:14:32,345,HLT_PFJet400_v33,0.000252013,0.000246151
392030:10623,05/13/25 17:53:03,10,HLT_PFJet400_v33,0.000034526,0.000030100
392046:10623,05/13/25 20:24:40,156,HLT_PFJet400_v33,0.000871968,0.000828958
392052:10623,05/13/25 21:29:51,260,HLT_PFJet400_v33,0.001498097,0.001439694
392067:10623,05/13/25 23:14:50,100,HLT_PFJet400_v33,0.000576049,0.000548160
392071:10623,05/13/25 23:56:34,655,HLT_PFJet400_v33,0.003431596,0.003318733
392109:10628,05/15/25 00:44:23,496,HLT_PFJet400_v33,0.002730555,0.002597720
392112:10629,05/15/25 06:13:55,1021,HLT_PFJet400_v33,0.005742128,0.005449441
392251:10644,05/19/25 05:18:59,747,HLT_PFJet400_v34,0.010119448,0.009736688
392293:10645,05/19/25 15:22:15,3,HLT_PFJet400_v34,0.000030689,0.000014419
392294:10645,05/19/25 15:26:08,34,HLT_PFJet400_v34,0.000207141,0.000202087
392295:10645,05/19/25 15:41:39,694,HLT_PFJet400_v34,0.010457418,0.010173364
392296:10645,05/19/25 20:28:13,881,HLT_PFJet400_v34,0.012281132,0.011881736
392301:10647,05/20/25 04:52:56,266,HLT_PFJet400_v34,0.003357235,0.003236989
392358:10649,05/20/25 17:44:14,164,HLT_PFJet400_v34,0.003154364,0.002919221
392359:10649,05/20/25 18:52:47,37,HLT_PFJet400_v34,0.000921808,0.000786035
392360:10649,05/20/25 19:11:33,217,HLT_PFJet400_v34,0.005396673,0.004972976
392361:10649,05/20/25 20:40:01,268,HLT_PFJet400_v34,0.006669187,0.006272813
392362:10649,05/20/25 22:57:05,3,HLT_PFJet400_v34,0.000074403,0.000071655
392363:10649,05/20/25 23:10:20,982,HLT_PFJet400_v34,0.019834114,0.019114483
392382:10650,05/21/25 08:38:32,110,HLT_PFJet400_v34,0.001550076,0.001493908
392431:10653,05/22/25 13:28:08,191,HLT_PFJet400_v34,0.003847023,0.003653144
392432:10653,05/22/25 14:51:02,72,HLT_PFJet400_v34,0.001800600,0.001720302
392440:10656,05/23/25 00:45:04,260,HLT_PFJet400_v34,0.005553060,0.005286265
392441:10656,05/23/25 02:32:44,460,HLT_PFJet400_v34,0.011451256,0.010999769
392442:10656,05/23/25 05:41:32,889,HLT_PFJet400_v34,0.018398587,0.017678676
392473:10659,05/23/25 19:47:26,118,HLT_PFJet400_v34,0.002285650,0.002091934
392476:10659,05/23/25 20:40:29,98,HLT_PFJet400_v34,0.002992062,0.002817088
392477:10659,05/23/25 21:22:12,726,HLT_PFJet400_v34,0.022181800,0.021239937
392517:10663,05/24/25 13:27:29,49,HLT_PFJet400_v34,0.000708499,0.000671745
392524:10665,05/24/25 20:46:03,379,HLT_PFJet400_v34,0.010678401,0.010195866
392526:10665,05/24/25 23:26:57,1589,HLT_PFJet400_v34,0.040353278,0.038946653
392538:10666,05/25/25 12:19:48,538,HLT_PFJet400_v34,0.015141730,0.014572100
392540:10666,05/25/25 16:04:21,13,HLT_PFJet400_v34,0.000400219,0.000372270
392541:10666,05/25/25 16:14:54,4,HLT_PFJet400_v34,0.000120889,0.000094656
392542:10666,05/25/25 16:20:06,1847,HLT_PFJet400_v34,0.043267985,0.041665182
392633:10670,05/27/25 17:35:17,160,HLT_PFJet400_v34,0.001298415,0.001238996
392634:10670,05/27/25 18:43:41,154,HLT_PFJet400_v34,0.001716043,0.001637967
392635:10670,05/27/25 19:48:37,79,HLT_PFJet400_v34,0.000767082,0.000718374
392642:10671,05/27/25 22:30:47,1839,HLT_PFJet400_v34,0.052298210,0.050019938
392668:10672,05/28/25 13:38:25,84,HLT_PFJet400_v34,0.002082386,0.001864979
392669:10672,05/28/25 14:16:29,1950,HLT_PFJet400_v34,0.054479335,0.052161058
392672:10673,05/29/25 05:38:28,1750,HLT_PFJet400_v34,0.048846766,0.046468609
392674:10673,05/29/25 17:31:50,4,HLT_PFJet400_v34,0.000081104,0.000000015
392676:10673,05/29/25 17:42:49,126,HLT_PFJet400_v34,0.002316063,0.002227989
392700:10674,05/29/25 21:24:02,284,HLT_PFJet400_v34,0.008414704,0.007932972
392701:10674,05/29/25 23:32:10,3,HLT_PFJet400_v34,0.001500539,0.001429115
392702:10674,05/29/25 23:50:41,4,HLT_PFJet400_v34,0.002046659,0.001948569
392705:10674,05/30/25 00:43:59,427,HLT_PFJet400_v34,0.013444642,0.012700460
392710:10675,05/30/25 07:52:36,1884,HLT_PFJet400_v34,0.049081816,0.046905610
392732:10676,05/30/25 22:29:41,932,HLT_PFJet400_v34,0.029141725,0.027517507
392733:10676,05/31/25 04:46:15,1322,HLT_PFJet400_v34,0.034930162,0.033481499
392751:10677,05/31/25 15:37:51,336,HLT_PFJet400_v34,0.009519675,0.009083090
392787:10678,06/01/25 12:13:13,175,HLT_PFJet400_v34,0.004979499,0.004730108
