#Data tag : online , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
391668:10590,05/05/25 14:57:04,236,HLT_PFJetFwd400_v32,0.000261364,0.000247804
391670:10590,05/05/25 16:45:51,128,HLT_PFJetFwd400_v32,0.000212394,0.000193569
391671:10590,05/05/25 17:43:18,331,HLT_PFJetFwd400_v32,0.000604322,0.000552457
391688:10590,05/05/25 23:19:31,112,HLT_PFJetFwd400_v32,0.000150004,0.000147491
391698:10591,05/06/25 01:51:41,132,HLT_PFJetFwd400_v32,0.000196868,0.000192002
391699:10591,05/06/25 02:48:49,839,HLT_PFJetFwd400_v32,0.001330371,0.001303469
391700:10591,05/06/25 08:39:31,186,HLT_PFJetFwd400_v32,0.000294664,0.000286733
391825:10606,05/09/25 02:35:35,588,HLT_PFJetFwd400_v32,0.000889594,0.000826222
391826:10606,05/09/25 06:39:59,236,HLT_PFJetFwd400_v32,0.000397157,0.000385600
391869:10611,05/10/25 06:29:21,76,HLT_PFJetFwd400_v32,0.000558194,0.000500174
391870:10611,05/10/25 07:03:27,12,HLT_PFJetFwd400_v32,0.000167094,0.000130549
391871:10611,05/10/25 07:11:38,25,HLT_PFJetFwd400_v32,0.000372121,0.000362848
391873:10611,05/10/25 07:26:29,19,HLT_PFJetFwd400_v32,0.000288266,0.000281454
391874:10611,05/10/25 07:40:00,370,HLT_PFJetFwd400_v32,0.005467620,0.005265669
391884:10611,05/10/25 10:27:44,192,HLT_PFJetFwd400_v32,0.002814129,0.002740993
391906:10612,05/10/25 16:15:52,99,HLT_PFJetFwd400_v32,0.000808314,0.000761493
391909:10612,05/10/25 19:09:42,307,HLT_PFJetFwd400_v32,0.004467871,0.004212157
391910:10612,05/10/25 21:16:48,707,HLT_PFJetFwd400_v32,0.010086798,0.009826237
391912:10612,05/11/25 02:15:19,339,HLT_PFJetFwd400_v32,0.003959382,0.003866710
391949:10616,05/11/25 22:55:11,82,HLT_PFJetFwd400_v32,0.001030809,0.000977961
391950:10616,05/11/25 23:31:33,664,HLT_PFJetFwd400_v32,0.009633128,0.009372249
391951:10616,05/12/25 04:06:36,18,HLT_PFJetFwd400_v32,0.000260376,0.000245788
391952:10616,05/12/25 04:17:13,398,HLT_PFJetFwd400_v32,0.005641870,0.005448690
391953:10616,05/12/25 07:11:36,18,HLT_PFJetFwd400_v32,0.000169141,0.000147446
392030:10623,05/13/25 17:52:40,6,HLT_PFJetFwd400_v32,0.000327907,0.000233228
392046:10623,05/13/25 20:25:26,151,HLT_PFJetFwd400_v32,0.013487055,0.012986722
392052:10623,05/13/25 21:30:14,249,HLT_PFJetFwd400_v32,0.022953311,0.022154089
392067:10623,05/13/25 23:14:50,95,HLT_PFJetFwd400_v32,0.008751041,0.008445956
392071:10623,05/13/25 23:56:34,632,HLT_PFJetFwd400_v32,0.053358824,0.051588974
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_PFJetFwd400_v32,7,29,7247,0.148939988,0.143684734
#
#Sum delivered  : 0.148939988
#Sum recorded : 0.143684734
#Check JSON:
#(run,ls) in json but not in results: [(392046, 112)]
