#Data tag : online , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
391668:10590,05/05/25 15:46:48,1,HLT_PFJetFwd60_v32,0.000000017,0.000000017
391688:10590,05/05/25 23:19:31,112,HLT_PFJetFwd60_v32,0.000002421,0.000002387
391698:10591,05/06/25 01:51:41,135,HLT_PFJetFwd60_v32,0.000003252,0.000003122
391699:10591,05/06/25 02:48:49,887,HLT_PFJetFwd60_v32,0.000022718,0.000022162
391700:10591,05/06/25 08:39:07,189,HLT_PFJetFwd60_v32,0.000004831,0.000004714
391825:10606,05/09/25 02:35:58,170,HLT_PFJetFwd60_v32,0.000003892,0.000003755
391826:10606,05/09/25 06:39:59,238,HLT_PFJetFwd60_v32,0.000006465,0.000006288
391869:10611,05/10/25 06:30:08,80,HLT_PFJetFwd60_v32,0.000001041,0.000000948
391870:10611,05/10/25 07:03:27,12,HLT_PFJetFwd60_v32,0.000000297,0.000000232
391871:10611,05/10/25 07:11:15,27,HLT_PFJetFwd60_v32,0.000000715,0.000000690
391873:10611,05/10/25 07:26:06,24,HLT_PFJetFwd60_v32,0.000000648,0.000000608
391874:10611,05/10/25 07:39:36,403,HLT_PFJetFwd60_v32,0.000010599,0.000009625
391884:10611,05/10/25 10:27:44,201,HLT_PFJetFwd60_v32,0.000005061,0.000004929
391906:10612,05/10/25 16:16:39,100,HLT_PFJetFwd60_v32,0.000001455,0.000001379
391909:10612,05/10/25 19:09:42,322,HLT_PFJetFwd60_v32,0.000008338,0.000007776
391910:10612,05/10/25 21:16:25,746,HLT_PFJetFwd60_v32,0.000018933,0.000018362
391912:10612,05/11/25 02:14:32,345,HLT_PFJetFwd60_v32,0.000007175,0.000007008
392030:10623,05/13/25 17:53:03,10,HLT_PFJetFwd60_v32,0.000000170,0.000000148
392046:10623,05/13/25 20:24:40,156,HLT_PFJetFwd60_v32,0.000004287,0.000004076
392052:10623,05/13/25 21:29:51,260,HLT_PFJetFwd60_v32,0.000007366,0.000007079
392067:10623,05/13/25 23:14:50,100,HLT_PFJetFwd60_v32,0.000002832,0.000002695
392071:10623,05/13/25 23:56:34,655,HLT_PFJetFwd60_v32,0.000016873,0.000016318
392109:10628,05/15/25 00:44:23,496,HLT_PFJetFwd60_v32,0.000013340,0.000012688
392112:10629,05/15/25 06:13:55,1021,HLT_PFJetFwd60_v32,0.000028234,0.000026795
392251:10644,05/19/25 05:18:59,747,HLT_PFJetFwd60_v33,0.000006237,0.000006002
392293:10645,05/19/25 15:22:15,3,HLT_PFJetFwd60_v33,0.000000019,0.000000009
