#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
378981:9473,04/05/24 16:26:33,99,99,0.000021460,0.000021248
378985:9474,04/06/24 00:24:34,768,768,0.000256997,0.000253446
378993:9475,04/06/24 08:01:17,80,79,0.000082038,0.000078608
379006:9475,04/06/24 10:52:20,23,23,0.000036231,0.000035499
379011:9475,04/06/24 11:58:18,399,399,0.000528650,0.000478000
379012:9475,04/06/24 14:37:43,73,73,0.000086414,0.000085233
379028:9476,04/06/24 19:56:15,534,534,0.000794943,0.000776391
379031:9476,04/07/24 00:02:34,289,289,0.000397055,0.000388769
379058:9479,04/07/24 09:34:30,826,826,0.010204197,0.009938545
379075:9483,04/08/24 02:29:09,375,375,0.004270156,0.004171347
379154:9485,04/08/24 22:13:02,1049,1049,0.011836209,0.011546364
379238:9496,04/10/24 16:44:48,285,285,0.017720756,0.017105389
379243:9497,04/10/24 20:30:21,297,297,0.019732809,0.019406267
379252:9499,04/11/24 01:57:11,644,644,0.046225276,0.045144755
379253:9499,04/11/24 06:08:54,104,104,0.007978453,0.007869393
379338:9510,04/12/24 14:27:21,170,170,0.013040238,0.011799243
379355:9512,04/13/24 03:39:10,20,20,0.003057203,0.002905896
379416:9517,04/14/24 17:34:19,195,195,0.042902828,0.040302501
379420:9518,04/14/24 21:02:55,516,516,0.113962603,0.107586549
379425:9519,04/15/24 02:03:52,203,203,0.039595383,0.037268225
379433:9520,04/15/24 05:13:11,21,21,0.001476618,0.001344870
379442:9521,04/15/24 07:07:46,269,269,0.056998984,0.053648142
379454:9523,04/15/24 11:25:22,498,498,0.110289146,0.100276063
379456:9523,04/15/24 14:47:09,1199,1199,0.217334035,0.204192337
379470:9525,04/16/24 00:38:26,800,800,0.180785035,0.170022690
379530:9530,04/17/24 01:12:13,593,593,0.200431865,0.187257478
379613:9537,04/18/24 03:20:17,120,120,0.033399973,0.031550400
379617:9537,04/18/24 04:23:35,664,664,0.235947998,0.221560724
379618:9537,04/18/24 08:43:50,360,360,0.107196602,0.103251304
379660:9539,04/18/24 16:49:04,1507,1507,0.455714067,0.439301490
379661:9539,04/19/24 02:37:20,406,406,0.084385782,0.083255560
379729:9543,04/19/24 17:38:45,1465,1465,0.480533076,0.465819077
379765:9548,04/20/24 14:03:25,1695,1695,0.582417591,0.553435732
379774:9549,04/21/24 03:13:58,156,156,0.054006386,0.051479327
379866:9559,04/23/24 20:37:55,1337,1337,0.294892908,0.287087338
379984:9562,04/25/24 11:47:58,913,913,0.250092388,0.243144293
380001:9564,04/25/24 20:39:17,691,691,0.250835917,0.242086382
380005:9565,04/26/24 03:10:19,1062,1062,0.385150316,0.369179456
380007:9565,04/26/24 10:12:08,129,129,0.038643370,0.036735563
380029:9566,04/26/24 15:02:20,55,55,0.011765688,0.010839112
380030:9566,04/26/24 15:37:30,346,346,0.152797828,0.144993969
380032:9566,04/26/24 19:11:02,19,19,0.007650902,0.007194099
380033:9566,04/26/24 19:21:25,53,53,0.021829642,0.020831051
380043:9567,04/26/24 22:44:31,900,900,0.376897324,0.358520102
380049:9568,04/27/24 07:10:37,871,871,0.370451150,0.349494195
380051:9568,04/27/24 12:55:48,735,735,0.236899386,0.228284619
380052:9568,04/27/24 17:45:43,12,12,0.003212423,0.003003406
380053:9568,04/27/24 17:57:47,128,128,0.033046245,0.032014859
380056:9568,04/27/24 18:55:05,168,168,0.038948617,0.037457802
380066:9569,04/27/24 22:17:19,552,552,0.231329437,0.220076174
380074:9570,04/28/24 06:24:04,1306,1306,0.510346669,0.488461146
380115:9573,04/29/24 09:42:28,1792,1792,0.662936570,0.637059154
380126:9574,04/29/24 23:29:59,952,952,0.425555225,0.398272125
380127:9574,04/30/24 05:43:19,535,535,0.183360766,0.177429061
380128:9574,04/30/24 09:15:03,387,387,0.107354045,0.104621949
380195:9575,04/30/24 23:30:14,7,7,0.003344750,0.003073462
380197:9575,05/01/24 00:09:50,357,357,0.171579560,0.162289516
380235:9579,05/01/24 17:29:48,256,256,0.106773836,0.100038192
380236:9579,05/01/24 19:12:09,57,57,0.027401858,0.024484343
380306:9585,05/02/24 19:54:33,246,246,0.103374844,0.095691192
380308:9585,05/02/24 21:44:37,35,35,0.016818357,0.014110894
380309:9585,05/02/24 22:01:22,351,351,0.168256628,0.156540485
380310:9585,05/03/24 00:19:19,1131,1131,0.399579668,0.386098864
380346:9593,05/03/24 16:31:34,566,566,0.253074580,0.237659983
380348:9593,05/03/24 20:21:14,341,341,0.143470527,0.136094991
380349:9593,05/03/24 22:39:03,695,695,0.221464212,0.214653658
380360:9594,05/04/24 06:56:16,1928,1928,0.710996945,0.684320769
380377:9602,05/04/24 23:50:36,416,416,0.187999131,0.177767596
380384:9603,05/05/24 06:57:47,751,751,0.343321668,0.325147853
380385:9603,05/05/24 11:54:10,1247,1247,0.413084439,0.398777569
380399:9604,05/05/24 23:17:17,494,494,0.217455255,0.206823125
380403:9604,05/06/24 03:21:24,251,251,0.111127245,0.105922095
380444:9605,05/06/24 15:21:13,325,325,0.151034032,0.140439453
380446:9605,05/06/24 17:33:05,1028,1028,0.428594759,0.410498227
380447:9605,05/07/24 00:20:04,810,810,0.217344080,0.212308711
380466:9606,05/07/24 09:21:16,504,504,0.228136158,0.211845536
380470:9606,05/07/24 13:06:34,1634,1634,0.547146213,0.530609771
380481:9608,05/08/24 05:37:58,860,860,0.392413229,0.370216749
380513:9609,05/08/24 20:35:34,1158,1158,0.509701720,0.484174126
380517:9609,05/09/24 04:20:58,39,39,0.013859417,0.013120192
380531:9610,05/09/24 07:02:24,1024,1023,0.458361822,0.431243390
380534:9610,05/09/24 13:56:20,746,746,0.236282163,0.229415127
380537:9610,05/09/24 19:09:12,58,58,0.014954832,0.014419230
380538:9610,05/09/24 19:36:56,144,144,0.033875438,0.033179485
