#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_DiPFJetAve100_HFJEC_v24,0.000035948,0.000035451
378993:9475,04/06/24 08:01:17,79,HLT_DiPFJetAve100_HFJEC_v24,0.000002479,0.000002422
379006:9475,04/06/24 10:52:20,23,HLT_DiPFJetAve100_HFJEC_v24,0.000001114,0.000001092
379011:9475,04/06/24 11:58:18,399,HLT_DiPFJetAve100_HFJEC_v24,0.000016277,0.000014718
379012:9475,04/06/24 14:37:43,73,HLT_DiPFJetAve100_HFJEC_v24,0.000002662,0.000002626
379028:9476,04/06/24 19:56:15,534,HLT_DiPFJetAve100_HFJEC_v24,0.000024464,0.000023892
379031:9476,04/07/24 00:02:34,289,HLT_DiPFJetAve100_HFJEC_v24,0.000012227,0.000011972
379058:9479,04/07/24 09:34:30,826,HLT_DiPFJetAve100_HFJEC_v24,0.000042733,0.000041621
379075:9483,04/08/24 02:29:09,375,HLT_DiPFJetAve100_HFJEC_v24,0.000017867,0.000017454
379154:9485,04/08/24 22:13:02,1049,HLT_DiPFJetAve100_HFJEC_v24,0.000049490,0.000048300
379238:9496,04/10/24 16:44:48,286,HLT_DiPFJetAve100_HFJEC_v24,0.000066606,0.000064288
379243:9497,04/10/24 20:30:21,299,HLT_DiPFJetAve100_HFJEC_v24,0.000073895,0.000072673
379252:9499,04/11/24 01:57:11,644,HLT_DiPFJetAve100_HFJEC_v24,0.000173162,0.000169115
379253:9499,04/11/24 06:08:54,104,HLT_DiPFJetAve100_HFJEC_v24,0.000029900,0.000029491
379338:9510,04/12/24 14:27:21,170,HLT_DiPFJetAve100_HFJEC_v24,0.000048867,0.000044217
379774:9549,04/21/24 03:13:58,157,HLT_DiPFJetAve100_HFJEC_v24,0.000197364,0.000188161
379355:9512,04/13/24 03:39:10,20,HLT_DiPFJetAve100_HFJEC_v24,0.000011427,0.000010862
379416:9517,04/14/24 17:34:18,195,HLT_DiPFJetAve100_HFJEC_v24,0.000159939,0.000150247
379420:9518,04/14/24 21:02:55,516,HLT_DiPFJetAve100_HFJEC_v24,0.000424845,0.000401195
379425:9519,04/15/24 02:03:52,203,HLT_DiPFJetAve100_HFJEC_v24,0.000147538,0.000138873
379433:9520,04/15/24 05:13:11,21,HLT_DiPFJetAve100_HFJEC_v24,0.000005477,0.000004990
379442:9521,04/15/24 07:07:46,269,HLT_DiPFJetAve100_HFJEC_v24,0.000212592,0.000200102
379454:9523,04/15/24 11:25:22,498,HLT_DiPFJetAve100_HFJEC_v24,0.000411363,0.000374097
379456:9523,04/15/24 14:47:09,1199,HLT_DiPFJetAve100_HFJEC_v24,0.000810105,0.000761099
379470:9525,04/16/24 00:38:26,800,HLT_DiPFJetAve100_HFJEC_v24,0.000674668,0.000634559
379530:9530,04/17/24 01:12:13,593,HLT_DiPFJetAve100_HFJEC_v24,0.000727048,0.000679375
379618:9537,04/18/24 08:43:50,360,HLT_DiPFJetAve100_HFJEC_v24,0.000388842,0.000374532
