#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_DiPFJetAve100_HFJEC_v24,0.000036714,0.000036207
378993:9475,04/06/24 08:01:17,79,HLT_DiPFJetAve100_HFJEC_v24,0.000002596,0.000002536
379011:9475,04/06/24 11:58:18,399,HLT_DiPFJetAve100_HFJEC_v24,0.000017053,0.000015419
379012:9475,04/06/24 14:37:43,73,HLT_DiPFJetAve100_HFJEC_v24,0.000002788,0.000002749
379028:9476,04/06/24 19:56:15,534,HLT_DiPFJetAve100_HFJEC_v24,0.000025643,0.000025045
379031:9476,04/07/24 00:02:34,289,HLT_DiPFJetAve100_HFJEC_v24,0.000012808,0.000012541
379058:9479,04/07/24 09:34:30,826,HLT_DiPFJetAve100_HFJEC_v24,0.000043795,0.000042655
379075:9483,04/08/24 02:29:09,375,HLT_DiPFJetAve100_HFJEC_v24,0.000018327,0.000017903
379154:9485,04/08/24 22:13:02,1049,HLT_DiPFJetAve100_HFJEC_v24,0.000050799,0.000049555
379238:9496,04/10/24 16:44:24,286,HLT_DiPFJetAve100_HFJEC_v24,0.000067272,0.000064940
379243:9497,04/10/24 20:30:21,297,HLT_DiPFJetAve100_HFJEC_v24,0.000074745,0.000073509
379252:9499,04/11/24 01:57:11,644,HLT_DiPFJetAve100_HFJEC_v24,0.000175096,0.000171003
379253:9499,04/11/24 06:08:54,104,HLT_DiPFJetAve100_HFJEC_v24,0.000030221,0.000029808
379338:9510,04/12/24 14:27:21,170,HLT_DiPFJetAve100_HFJEC_v24,0.000049395,0.000044694
379355:9512,04/13/24 03:39:10,20,HLT_DiPFJetAve100_HFJEC_v24,0.000011580,0.000011007
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_DiPFJetAve100_HFJEC_v24,11,15,5913,0.000618833,0.000599570
#
#Sum delivered  : 0.000618833
#Sum recorded : 0.000599570
#Check JSON:
#(run,ls) in json but not in results: [(378993, 200), (379243, 336), (379243, 337)]
