#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378981:9473,04/05/24 16:26:33,99,HLT_DiPFJetAve140_v20,0.000000014,0.000000014
378985:9474,04/06/24 00:24:34,768,HLT_DiPFJetAve140_v20,0.000000168,0.000000165
378993:9475,04/06/24 08:01:17,79,HLT_DiPFJetAve140_v20,0.000000051,0.000000050
379006:9475,04/06/24 10:52:20,23,HLT_DiPFJetAve140_v20,0.000000023,0.000000023
379011:9475,04/06/24 11:58:18,399,HLT_DiPFJetAve140_v20,0.000000336,0.000000304
379012:9475,04/06/24 14:37:43,73,HLT_DiPFJetAve140_v20,0.000000055,0.000000054
379028:9476,04/06/24 19:56:15,534,HLT_DiPFJetAve140_v20,0.000000506,0.000000494
379031:9476,04/07/24 00:02:34,289,HLT_DiPFJetAve140_v20,0.000000253,0.000000247
379058:9479,04/07/24 09:34:30,826,HLT_DiPFJetAve140_v20,0.000006638,0.000006465
379075:9483,04/08/24 02:29:09,375,HLT_DiPFJetAve140_v20,0.000002775,0.000002711
379154:9485,04/08/24 22:13:02,1049,HLT_DiPFJetAve140_v20,0.000007687,0.000007503
379238:9496,04/10/24 16:44:48,286,HLT_DiPFJetAve140_v20,0.000011723,0.000011315
379243:9497,04/10/24 20:30:21,299,HLT_DiPFJetAve140_v20,0.000013006,0.000012790
379252:9499,04/11/24 01:57:11,644,HLT_DiPFJetAve140_v20,0.000030476,0.000029764
379253:9499,04/11/24 06:08:54,104,HLT_DiPFJetAve140_v20,0.000005262,0.000005190
379338:9510,04/12/24 14:27:21,170,HLT_DiPFJetAve140_v20,0.000008601,0.000007782
379774:9549,04/21/24 03:13:58,157,HLT_DiPFJetAve140_v20,0.000034736,0.000033116
379355:9512,04/13/24 03:39:10,20,HLT_DiPFJetAve140_v20,0.000002011,0.000001912
379416:9517,04/14/24 17:34:18,195,HLT_DiPFJetAve140_v20,0.000028149,0.000026443
379420:9518,04/14/24 21:02:55,516,HLT_DiPFJetAve140_v20,0.000074773,0.000070610
379425:9519,04/15/24 02:03:52,203,HLT_DiPFJetAve140_v20,0.000025967,0.000024442
379433:9520,04/15/24 05:13:11,21,HLT_DiPFJetAve140_v20,0.000000964,0.000000878
379442:9521,04/15/24 07:07:46,269,HLT_DiPFJetAve140_v20,0.000037416,0.000035218
379454:9523,04/15/24 11:25:22,498,HLT_DiPFJetAve140_v20,0.000072400,0.000065841
379456:9523,04/15/24 14:47:09,1199,HLT_DiPFJetAve140_v20,0.000142579,0.000133953
379470:9525,04/16/24 00:38:26,800,HLT_DiPFJetAve140_v20,0.000118742,0.000111682
379530:9530,04/17/24 01:12:13,593,HLT_DiPFJetAve140_v20,0.000127960,0.000119570
379618:9537,04/18/24 08:43:50,360,HLT_DiPFJetAve140_v20,0.000068436,0.000065918
379660:9539,04/18/24 16:49:04,1507,HLT_DiPFJetAve140_v20,0.000290936,0.000280459
379661:9539,04/19/24 02:37:20,406,HLT_DiPFJetAve140_v20,0.000053873,0.000053152
379729:9543,04/19/24 17:38:45,1465,HLT_DiPFJetAve140_v20,0.000306777,0.000297385
379765:9548,04/20/24 14:03:25,1695,HLT_DiPFJetAve140_v20,0.000371827,0.000353325
379866:9559,04/23/24 20:37:55,1347,HLT_DiPFJetAve140_v20,0.000188211,0.000183231
379984:9562,04/25/24 11:47:58,913,HLT_DiPFJetAve140_v20,0.000159665,0.000155232
380001:9564,04/25/24 20:39:17,691,HLT_DiPFJetAve140_v20,0.000160140,0.000154554
380005:9565,04/26/24 03:10:19,1062,HLT_DiPFJetAve140_v20,0.000245889,0.000235691
380007:9565,04/26/24 10:12:08,129,HLT_DiPFJetAve140_v20,0.000024671,0.000023453
380029:9566,04/26/24 15:02:20,55,HLT_DiPFJetAve140_v20,0.000007512,0.000006925
380030:9566,04/26/24 15:37:30,346,HLT_DiPFJetAve140_v20,0.000097549,0.000092566
380032:9566,04/26/24 19:11:02,19,HLT_DiPFJetAve140_v20,0.000004884,0.000004594
380033:9566,04/26/24 19:21:25,53,HLT_DiPFJetAve140_v20,0.000013936,0.000013299
380043:9567,04/26/24 22:44:31,900,HLT_DiPFJetAve140_v20,0.000240619,0.000228887
380049:9568,04/27/24 07:10:37,871,HLT_DiPFJetAve140_v20,0.000236504,0.000223138
380051:9568,04/27/24 12:55:48,735,HLT_DiPFJetAve140_v20,0.000151241,0.000145741
380052:9568,04/27/24 17:45:43,12,HLT_DiPFJetAve140_v20,0.000002051,0.000001917
380053:9568,04/27/24 17:57:47,128,HLT_DiPFJetAve140_v20,0.000021097,0.000020439
380056:9568,04/27/24 18:55:05,168,HLT_DiPFJetAve140_v20,0.000024867,0.000023916
380066:9569,04/27/24 22:17:19,552,HLT_DiPFJetAve140_v20,0.000147686,0.000140555
380074:9570,04/28/24 06:24:04,1306,HLT_DiPFJetAve140_v20,0.000325815,0.000311845
380115:9573,04/29/24 09:42:28,1792,HLT_DiPFJetAve140_v20,0.000423233,0.000406707
380195:9575,04/30/24 23:30:14,7,HLT_DiPFJetAve140_v20,0.000002135,0.000001962
380197:9575,05/01/24 00:09:50,357,HLT_DiPFJetAve140_v20,0.000109540,0.000103608
380235:9579,05/01/24 17:29:48,256,HLT_DiPFJetAve140_v20,0.000068168,0.000063867
380236:9579,05/01/24 19:12:09,57,HLT_DiPFJetAve140_v20,0.000017494,0.000015631
379613:9537,04/18/24 03:20:17,120,HLT_DiPFJetAve140_v21,0.000021323,0.000020144
379617:9537,04/18/24 04:23:35,664,HLT_DiPFJetAve140_v21,0.000150634,0.000141449
380306:9585,05/02/24 19:54:33,246,HLT_DiPFJetAve140_v21,0.000065998,0.000061092
380308:9585,05/02/24 21:44:38,35,HLT_DiPFJetAve140_v21,0.000010737,0.000009008
380309:9585,05/02/24 22:01:23,351,HLT_DiPFJetAve140_v21,0.000107418,0.000099938
380310:9585,05/03/24 00:19:19,1131,HLT_DiPFJetAve140_v21,0.000255099,0.000246493
380346:9593,05/03/24 16:31:34,566,HLT_DiPFJetAve140_v21,0.000161568,0.000151730
380348:9593,05/03/24 20:21:15,341,HLT_DiPFJetAve140_v21,0.000091594,0.000086889
380349:9593,05/03/24 22:39:04,695,HLT_DiPFJetAve140_v21,0.000141387,0.000137039
380360:9594,05/04/24 06:56:16,1928,HLT_DiPFJetAve140_v21,0.000453914,0.000436885
380377:9602,05/04/24 23:50:36,420,HLT_DiPFJetAve140_v21,0.000119877,0.000113348
380384:9603,05/05/24 06:57:47,751,HLT_DiPFJetAve140_v21,0.000219184,0.000207583
380385:9603,05/05/24 11:54:10,1247,HLT_DiPFJetAve140_v21,0.000263721,0.000254587
380399:9604,05/05/24 23:17:17,494,HLT_DiPFJetAve140_v21,0.000138830,0.000132044
380403:9604,05/06/24 03:21:24,251,HLT_DiPFJetAve140_v21,0.000070946,0.000067623
380444:9605,05/06/24 15:21:13,325,HLT_DiPFJetAve140_v21,0.000096423,0.000089662
380446:9605,05/06/24 17:33:05,1028,HLT_DiPFJetAve140_v21,0.000273623,0.000262070
380447:9605,05/07/24 00:20:05,810,HLT_DiPFJetAve140_v21,0.000138758,0.000135544
380466:9606,05/07/24 09:21:16,504,HLT_DiPFJetAve140_v21,0.000145649,0.000135243
380470:9606,05/07/24 13:06:34,1634,HLT_DiPFJetAve140_v21,0.000349308,0.000338751
380481:9608,05/08/24 05:37:58,860,HLT_DiPFJetAve140_v21,0.000250527,0.000236351
380513:9609,05/08/24 20:35:34,1158,HLT_DiPFJetAve140_v21,0.000325403,0.000309106
380517:9609,05/09/24 04:20:58,39,HLT_DiPFJetAve140_v21,0.000008848,0.000008376
380531:9610,05/09/24 07:02:24,1023,HLT_DiPFJetAve140_v21,0.000292385,0.000275309
380534:9610,05/09/24 13:56:20,746,HLT_DiPFJetAve140_v21,0.000150847,0.000146463
380537:9610,05/09/24 19:09:12,58,HLT_DiPFJetAve140_v21,0.000009547,0.000009205
380538:9610,05/09/24 19:36:56,144,HLT_DiPFJetAve140_v21,0.000021630,0.000021186
380564:9611,05/09/24 23:47:54,742,HLT_DiPFJetAve140_v21,0.000217586,0.000205510
380567:9611,05/10/24 04:54:24,1081,HLT_DiPFJetAve140_v21,0.000227423,0.000220964
380623:9614,05/11/24 20:40:52,388,HLT_DiPFJetAve140_v21,0.000109396,0.000102692
380624:9614,05/11/24 23:16:57,809,HLT_DiPFJetAve140_v21,0.000219981,0.000209629
380625:9614,05/12/24 04:34:00,7,HLT_DiPFJetAve140_v21,0.000001534,0.000001428
380626:9614,05/12/24 04:39:38,14,HLT_DiPFJetAve140_v21,0.000003038,0.000002815
380627:9614,05/12/24 04:48:42,808,HLT_DiPFJetAve140_v21,0.000145664,0.000142327
380647:9618,05/12/24 22:28:59,375,HLT_DiPFJetAve140_v21,0.000109327,0.000099233
380649:9618,05/13/24 01:56:15,401,HLT_DiPFJetAve140_v21,0.000112608,0.000106240
380933:9651,05/19/24 16:19:32,773,HLT_DiPFJetAve140_v21,0.000008017,0.000007925
380945:9653,05/20/24 06:39:35,245,HLT_DiPFJetAve140_v21,0.000067108,0.000063323
380947:9653,05/20/24 11:38:49,823,HLT_DiPFJetAve140_v21,0.000176265,0.000170962
380963:9654,05/20/24 20:42:43,922,HLT_DiPFJetAve140_v22,0.000247922,0.000236457
381022:9659,05/21/24 23:53:15,586,HLT_DiPFJetAve140_v22,0.000142778,0.000135017
381053:9661,05/22/24 09:14:55,108,HLT_DiPFJetAve140_v22,0.000022565,0.000021571
381065:9662,05/22/24 12:16:48,791,HLT_DiPFJetAve140_v22,0.000233931,0.000219005
381067:9662,05/22/24 17:33:10,313,HLT_DiPFJetAve140_v22,0.000082472,0.000079241
381113:9664,05/23/24 18:23:22,234,HLT_DiPFJetAve140_v22,0.000061623,0.000058228
381069:9662,05/22/24 20:20:02,307,HLT_DiPFJetAve140_v22,0.000065717,0.000062376
381070:9662,05/22/24 22:21:18,425,HLT_DiPFJetAve140_v22,0.000077234,0.000075532
381075:9663,05/23/24 03:44:42,426,HLT_DiPFJetAve140_v22,0.000122704,0.000115657
381078:9663,05/23/24 06:53:58,334,HLT_DiPFJetAve140_v22,0.000096174,0.000089851
381079:9663,05/23/24 09:06:56,396,HLT_DiPFJetAve140_v22,0.000092686,0.000088351
381080:9663,05/23/24 11:44:26,336,HLT_DiPFJetAve140_v22,0.000065594,0.000062881
381114:9664,05/23/24 20:11:10,458,HLT_DiPFJetAve140_v22,0.000140365,0.000131269
381115:9664,05/23/24 23:12:32,1294,HLT_DiPFJetAve140_v22,0.000271981,0.000263358
381147:9666,05/24/24 11:18:29,186,HLT_DiPFJetAve140_v22,0.000050251,0.000047061
381148:9666,05/24/24 12:38:03,264,HLT_DiPFJetAve140_v22,0.000082795,0.000077419
381149:9666,05/24/24 14:31:15,133,HLT_DiPFJetAve140_v22,0.000041622,0.000038808
381150:9666,05/24/24 15:25:36,41,HLT_DiPFJetAve140_v22,0.000012478,0.000011679
381151:9666,05/24/24 15:45:18,851,HLT_DiPFJetAve140_v22,0.000203495,0.000193921
381152:9666,05/24/24 21:19:14,193,HLT_DiPFJetAve140_v22,0.000035136,0.000034042
381164:9667,05/25/24 00:51:30,1151,HLT_DiPFJetAve140_v22,0.000345986,0.000323529
381190:9670,05/25/24 13:16:44,1098,HLT_DiPFJetAve140_v22,0.000328885,0.000307843
381191:9670,05/25/24 20:25:58,1121,HLT_DiPFJetAve140_v22,0.000223740,0.000216983
381199:9672,05/26/24 09:25:18,150,HLT_DiPFJetAve140_v22,0.000037843,0.000035131
381212:9674,05/27/24 04:02:15,372,HLT_DiPFJetAve140_v22,0.000111442,0.000104492
381286:9677,05/27/24 16:09:15,711,HLT_DiPFJetAve140_v22,0.000217282,0.000200839
381309:9680,05/28/24 06:47:14,425,HLT_DiPFJetAve140_v22,0.000128207,0.000120517
381358:9683,05/28/24 18:58:02,3,HLT_DiPFJetAve140_v22,0.000000429,0.000000304
381364:9684,05/28/24 21:34:05,427,HLT_DiPFJetAve140_v22,0.000125408,0.000116091
381365:9684,05/29/24 00:22:44,595,HLT_DiPFJetAve140_v22,0.000181355,0.000169700
381371:9686,05/29/24 06:46:06,194,HLT_DiPFJetAve140_v22,0.000052712,0.000049894
381379:9687,05/29/24 10:50:00,833,HLT_DiPFJetAve140_v22,0.000250453,0.000233514
381380:9687,05/29/24 16:17:34,1354,HLT_DiPFJetAve140_v22,0.000274018,0.000265368
381384:9691,05/30/24 05:24:04,3482,HLT_DiPFJetAve140_v22,0.000698146,0.000669194
381417:9694,05/31/24 13:50:23,1788,HLT_DiPFJetAve140_v22,0.000475423,0.000450301
381443:9696,06/01/24 12:16:15,1517,HLT_DiPFJetAve140_v22,0.000413815,0.000391336
381477:9700,06/02/24 11:50:04,278,HLT_DiPFJetAve140_v22,0.000077900,0.000073364
381479:9700,06/02/24 13:58:03,434,HLT_DiPFJetAve140_v22,0.000136336,0.000127951
381480:9700,06/02/24 16:48:38,1268,HLT_DiPFJetAve140_v22,0.000279499,0.000268944
381484:9701,06/03/24 03:15:04,820,HLT_DiPFJetAve140_v22,0.000249464,0.000233264
381499:9705,06/03/24 16:18:24,195,HLT_DiPFJetAve140_v22,0.000052439,0.000048923
381500:9705,06/03/24 17:37:39,92,HLT_DiPFJetAve140_v22,0.000028955,0.000026324
381515:9707,06/03/24 22:01:00,514,HLT_DiPFJetAve140_v22,0.000154859,0.000142651
381516:9707,06/04/24 01:22:53,1672,HLT_DiPFJetAve140_v22,0.000389560,0.000370682
381543:9708,06/04/24 14:37:55,512,HLT_DiPFJetAve140_v22,0.000157121,0.000147518
381544:9708,06/04/24 18:12:43,1970,HLT_DiPFJetAve140_v22,0.000425729,0.000409777
382229:9806,06/20/24 09:39:20,313,HLT_DiPFJetAve140_v23,0.000016004,0.000015114
382250:9808,06/20/24 16:24:45,890,HLT_DiPFJetAve140_v23,0.000149912,0.000143506
382255:9810,06/21/24 04:47:31,97,HLT_DiPFJetAve140_v23,0.000020567,0.000018883
382256:9810,06/21/24 05:26:51,67,HLT_DiPFJetAve140_v23,0.000020789,0.000018442
382257:9810,06/21/24 06:11:04,70,HLT_DiPFJetAve140_v23,0.000021721,0.000019352
382258:9810,06/21/24 06:41:16,1147,HLT_DiPFJetAve140_v23,0.000333429,0.000319709
382262:9810,06/21/24 14:31:56,253,HLT_DiPFJetAve140_v23,0.000053019,0.000051138
382298:9812,06/21/24 19:39:36,53,HLT_DiPFJetAve140_v23,0.000009879,0.000009534
382299:9812,06/21/24 20:38:11,808,HLT_DiPFJetAve140_v23,0.000257188,0.000237602
382300:9812,06/22/24 01:55:26,1186,HLT_DiPFJetAve140_v23,0.000255909,0.000247924
382313:9813,06/22/24 11:50:52,389,HLT_DiPFJetAve140_v23,0.000116549,0.000110975
382314:9813,06/22/24 14:26:01,295,HLT_DiPFJetAve140_v23,0.000094514,0.000089592
382328:9816,06/22/24 22:38:19,90,HLT_DiPFJetAve140_v23,0.000022697,0.000020700
382329:9816,06/22/24 23:16:38,150,HLT_DiPFJetAve140_v23,0.000048039,0.000045194
382343:9819,06/23/24 13:01:16,2208,HLT_DiPFJetAve140_v23,0.000658309,0.000620433
382344:9819,06/24/24 03:22:08,355,HLT_DiPFJetAve140_v23,0.000086162,0.000083169
382504:9832,06/27/24 14:22:09,349,HLT_DiPFJetAve140_v23,0.000101466,0.000096069
382568:9838,06/28/24 23:55:16,406,HLT_DiPFJetAve140_v23,0.000120186,0.000113231
382580:9840,06/29/24 07:43:50,1711,HLT_DiPFJetAve140_v23,0.000477299,0.000454906
382594:9842,06/30/24 02:29:05,1406,HLT_DiPFJetAve140_v23,0.000414021,0.000394151
382595:9842,06/30/24 11:37:12,854,HLT_DiPFJetAve140_v23,0.000171134,0.000165877
382617:9843,06/30/24 19:33:03,701,HLT_DiPFJetAve140_v23,0.000203658,0.000194351
382626:9846,07/01/24 07:24:48,359,HLT_DiPFJetAve140_v23,0.000107396,0.000101261
382649:9848,07/01/24 14:36:50,482,HLT_DiPFJetAve140_v23,0.000145036,0.000132431
382650:9848,07/01/24 17:47:17,234,HLT_DiPFJetAve140_v23,0.000075605,0.000071707
382654:9849,07/01/24 21:54:59,1641,HLT_DiPFJetAve140_v23,0.000496492,0.000467310
382655:9849,07/02/24 08:36:08,394,HLT_DiPFJetAve140_v23,0.000084778,0.000081810
382656:9849,07/02/24 11:12:31,294,HLT_DiPFJetAve140_v23,0.000052989,0.000051228
382679:9851,07/02/24 21:51:44,71,HLT_DiPFJetAve140_v23,0.000013798,0.000013453
382684:9852,07/03/24 00:51:55,1164,HLT_DiPFJetAve140_v23,0.000363748,0.000340563
382685:9852,07/03/24 08:26:34,482,HLT_DiPFJetAve140_v23,0.000120099,0.000115294
382686:9852,07/03/24 11:40:25,141,HLT_DiPFJetAve140_v23,0.000029278,0.000028402
382725:9857,07/03/24 21:33:58,369,HLT_DiPFJetAve140_v23,0.000109408,0.000102683
382729:9859,07/04/24 06:43:25,55,HLT_DiPFJetAve140_v23,0.000010550,0.000009898
382730:9859,07/04/24 07:13:29,52,HLT_DiPFJetAve140_v23,0.000015741,0.000014596
382750:9860,07/04/24 11:35:32,530,HLT_DiPFJetAve140_v23,0.000165527,0.000154619
382752:9860,07/04/24 15:08:42,709,HLT_DiPFJetAve140_v23,0.000221719,0.000210008
382769:9861,07/05/24 00:19:42,1534,HLT_DiPFJetAve140_v23,0.000445040,0.000420808
382770:9861,07/05/24 10:19:22,586,HLT_DiPFJetAve140_v23,0.000110055,0.000106687
382791:9862,07/05/24 17:32:53,105,HLT_DiPFJetAve140_v23,0.000021063,0.000019902
382792:9862,07/05/24 18:18:12,80,HLT_DiPFJetAve140_v23,0.000025735,0.000020663
382794:9862,07/05/24 18:54:44,14,HLT_DiPFJetAve140_v23,0.000004509,0.000003447
382795:9862,07/05/24 19:03:19,474,HLT_DiPFJetAve140_v23,0.000152780,0.000143183
382799:9864,07/06/24 01:44:41,615,HLT_DiPFJetAve140_v23,0.000183916,0.000173045
382810:9865,07/06/24 09:09:34,70,HLT_DiPFJetAve140_v23,0.000012506,0.000011895
382811:9865,07/06/24 09:42:19,396,HLT_DiPFJetAve140_v23,0.000127449,0.000119143
382830:9867,07/06/24 23:56:53,75,HLT_DiPFJetAve140_v23,0.000015370,0.000014805
382834:9869,07/07/24 04:03:04,763,HLT_DiPFJetAve140_v23,0.000235012,0.000219800
382856:9871,07/07/24 12:22:27,421,HLT_DiPFJetAve140_v23,0.000129098,0.000119721
382878:9873,07/07/24 20:54:09,853,HLT_DiPFJetAve140_v23,0.000265275,0.000249179
382913:9877,07/08/24 14:41:36,2287,HLT_DiPFJetAve140_v23,0.000582709,0.000554133
382921:9878,07/09/24 08:24:31,1185,HLT_DiPFJetAve140_v23,0.000372260,0.000348637
382922:9878,07/09/24 16:44:19,83,HLT_DiPFJetAve140_v23,0.000022452,0.000019271
382924:9878,07/09/24 17:25:22,247,HLT_DiPFJetAve140_v23,0.000060179,0.000057647
382937:9879,07/09/24 21:42:48,473,HLT_DiPFJetAve140_v23,0.000145031,0.000136866
382960:9883,07/10/24 07:52:18,564,HLT_DiPFJetAve140_v23,0.000174167,0.000162630
383028:9885,07/11/24 01:48:44,89,HLT_DiPFJetAve140_v23,0.000022073,0.000020702
383034:9886,07/11/24 05:08:29,666,HLT_DiPFJetAve140_v23,0.000207596,0.000192426
383036:9886,07/11/24 09:34:23,58,HLT_DiPFJetAve140_v23,0.000018647,0.000017104
383134:9891,07/12/24 19:19:21,110,HLT_DiPFJetAve140_v23,0.000005196,0.000005033
383148:9895,07/13/24 04:50:42,537,HLT_DiPFJetAve140_v23,0.000026524,0.000025810
383153:9896,07/13/24 10:30:17,194,HLT_DiPFJetAve140_v23,0.000054918,0.000044110
383155:9896,07/13/24 11:58:32,1854,HLT_DiPFJetAve140_v23,0.000514099,0.000486628
