#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
355443:7966,07/11/22 18:25:07,240,HLT_DiPFJetAve220_HFJEC_v16,0.000502841,0.000481218
355444:7966,07/11/22 19:59:14,153,HLT_DiPFJetAve220_HFJEC_v16,0.000319667,0.000306781
355445:7966,07/11/22 21:00:53,242,HLT_DiPFJetAve220_HFJEC_v16,0.000390168,0.000377876
355558:7969,07/13/22 00:56:21,288,HLT_DiPFJetAve220_HFJEC_v16,0.003059966,0.002889219
355559:7969,07/13/22 02:50:34,162,HLT_DiPFJetAve220_HFJEC_v16,0.001769267,0.001685985
355679:7978,07/14/22 16:58:45,59,HLT_DiPFJetAve220_HFJEC_v16,0.000287564,0.000277162
355680:7978,07/14/22 17:24:25,1651,HLT_DiPFJetAve220_HFJEC_v16,0.012456301,0.011978751
355768:8007,07/18/22 03:28:57,45,HLT_DiPFJetAve220_HFJEC_v16,0.000333997,0.000301467
355769:8007,07/18/22 03:48:39,541,HLT_DiPFJetAve220_HFJEC_v16,0.004199637,0.003971288
355862:8016,07/19/22 18:12:03,13,HLT_DiPFJetAve220_HFJEC_v17,0.000198114,0.000156548
355863:8016,07/19/22 18:19:43,14,HLT_DiPFJetAve220_HFJEC_v17,0.000210060,0.000184402
355870:8017,07/19/22 23:02:43,37,HLT_DiPFJetAve220_HFJEC_v17,0.000452632,0.000391015
355871:8017,07/19/22 23:17:54,5,HLT_DiPFJetAve220_HFJEC_v17,0.000041848,0.000037156
355872:8017,07/19/22 23:24:45,1197,HLT_DiPFJetAve220_HFJEC_v17,0.019465544,0.017417658
355892:8018,07/20/22 10:25:02,184,HLT_DiPFJetAve220_HFJEC_v17,0.002818028,0.002695939
355942:8023,07/21/22 06:46:45,187,HLT_DiPFJetAve220_HFJEC_v17,0.000362256,0.000341549
355912:8019,07/20/22 14:18:53,158,HLT_DiPFJetAve220_HFJEC_v17,0.002503202,0.002250031
355913:8019,07/20/22 15:22:09,106,HLT_DiPFJetAve220_HFJEC_v17,0.001580384,0.001460463
355921:8020,07/20/22 18:50:02,405,HLT_DiPFJetAve220_HFJEC_v17,0.006148283,0.005700903
355933:8022,07/21/22 02:06:05,374,HLT_DiPFJetAve220_HFJEC_v17,0.000179217,0.000177434
355988:8027,07/21/22 23:03:32,44,HLT_DiPFJetAve220_HFJEC_v17,0.000858732,0.000695535
355989:8027,07/21/22 23:23:47,24,HLT_DiPFJetAve220_HFJEC_v17,0.000569461,0.000317034
355998:8027,07/22/22 01:35:51,35,HLT_DiPFJetAve220_HFJEC_v17,0.000768957,0.000662384
355999:8027,07/22/22 01:51:17,9,HLT_DiPFJetAve220_HFJEC_v17,0.000193690,0.000161583
356004:8027,07/22/22 04:04:14,19,HLT_DiPFJetAve220_HFJEC_v17,0.000353873,0.000339553
356005:8027,07/22/22 04:14:46,187,HLT_DiPFJetAve220_HFJEC_v17,0.003157882,0.003041622
356043:8030,07/22/22 18:00:07,65,HLT_DiPFJetAve220_HFJEC_v17,0.001707061,0.001396868
356071:8033,07/23/22 12:43:15,155,HLT_DiPFJetAve220_HFJEC_v17,0.004358493,0.003824254
356074:8033,07/23/22 15:21:04,26,HLT_DiPFJetAve220_HFJEC_v17,0.000794155,0.000751094
356075:8033,07/23/22 15:57:05,125,HLT_DiPFJetAve220_HFJEC_v17,0.003785814,0.003479503
356076:8033,07/23/22 16:56:57,152,HLT_DiPFJetAve220_HFJEC_v17,0.004664704,0.004286902
356077:8033,07/23/22 17:58:32,472,HLT_DiPFJetAve220_HFJEC_v17,0.012984023,0.012445714
356135:8043,07/25/22 11:06:59,26,HLT_DiPFJetAve220_HFJEC_v17,0.000721236,0.000656212
356309:8057,07/27/22 17:56:02,124,HLT_DiPFJetAve220_HFJEC_v17,0.002947603,0.002736998
356316:8058,07/27/22 21:40:02,141,HLT_DiPFJetAve220_HFJEC_v17,0.002370367,0.002322489
356322:8059,07/28/22 01:35:06,19,HLT_DiPFJetAve220_HFJEC_v17,0.000569926,0.000516211
356323:8059,07/28/22 01:45:01,649,HLT_DiPFJetAve220_HFJEC_v17,0.018959099,0.018021042
356371:8062,07/28/22 16:46:34,16,HLT_DiPFJetAve220_HFJEC_v17,0.000461145,0.000388210
356375:8063,07/28/22 19:04:41,68,HLT_DiPFJetAve220_HFJEC_v17,0.002204476,0.001634803
356378:8063,07/28/22 20:10:25,295,HLT_DiPFJetAve220_HFJEC_v17,0.010809396,0.010396101
356381:8063,07/28/22 22:10:47,1193,HLT_DiPFJetAve220_HFJEC_v17,0.033340658,0.032840107
356383:8063,07/29/22 06:04:41,33,HLT_DiPFJetAve220_HFJEC_v17,0.000727067,0.000716981
356385:8063,07/29/22 06:26:25,30,HLT_DiPFJetAve220_HFJEC_v17,0.000662577,0.000616986
356386:8063,07/29/22 06:41:02,122,HLT_DiPFJetAve220_HFJEC_v17,0.002205628,0.002175686
356426:8067,07/29/22 13:50:08,22,HLT_DiPFJetAve220_HFJEC_v17,0.000778777,0.000642409
356428:8067,07/29/22 14:11:32,300,HLT_DiPFJetAve220_HFJEC_v17,0.011938839,0.011454881
356433:8067,07/29/22 17:20:28,310,HLT_DiPFJetAve220_HFJEC_v17,0.012416181,0.011953859
356434:8067,07/29/22 19:22:54,13,HLT_DiPFJetAve220_HFJEC_v17,0.000487571,0.000429190
356435:8067,07/29/22 19:31:01,4,HLT_DiPFJetAve220_HFJEC_v17,0.000149022,0.000109655
356446:8068,07/29/22 22:05:30,614,HLT_DiPFJetAve220_HFJEC_v17,0.023971499,0.023201446
356523:8076,07/31/22 18:51:42,866,HLT_DiPFJetAve220_HFJEC_v17,0.041009304,0.040236274
356531:8076,08/01/22 02:10:15,56,HLT_DiPFJetAve220_HFJEC_v17,0.002279823,0.002243111
356563:8078,08/01/22 14:49:18,294,HLT_DiPFJetAve220_HFJEC_v17,0.013235340,0.012969194
356568:8079,08/01/22 18:52:46,23,HLT_DiPFJetAve220_HFJEC_v17,0.000928750,0.000799861
356569:8079,08/01/22 19:05:00,250,HLT_DiPFJetAve220_HFJEC_v17,0.011718664,0.011328163
356570:8079,08/01/22 20:47:20,98,HLT_DiPFJetAve220_HFJEC_v17,0.004879566,0.004774081
356576:8081,08/02/22 05:11:08,183,HLT_DiPFJetAve220_HFJEC_v17,0.006793425,0.006503129
356578:8081,08/02/22 06:39:29,865,HLT_DiPFJetAve220_HFJEC_v17,0.039346342,0.038633102
356580:8081,08/02/22 12:21:24,50,HLT_DiPFJetAve220_HFJEC_v17,0.001969818,0.001934295
356582:8081,08/02/22 13:25:57,98,HLT_DiPFJetAve220_HFJEC_v17,0.003600686,0.003566750
356614:8083,08/02/22 18:26:15,50,HLT_DiPFJetAve220_HFJEC_v17,0.002318387,0.001971816
356615:8083,08/02/22 18:53:13,1297,HLT_DiPFJetAve220_HFJEC_v17,0.058901896,0.057752253
356619:8083,08/03/22 03:31:02,173,HLT_DiPFJetAve220_HFJEC_v17,0.006065252,0.005998643
356810:8094,08/05/22 02:20:11,120,HLT_DiPFJetAve220_HFJEC_v17,0.006528084,0.006366918
356811:8094,08/05/22 03:13:06,44,HLT_DiPFJetAve220_HFJEC_v17,0.003342842,0.003219207
356812:8094,08/05/22 03:35:55,107,HLT_DiPFJetAve220_HFJEC_v17,0.007750739,0.007504331
356813:8094,08/05/22 04:22:46,54,HLT_DiPFJetAve220_HFJEC_v17,0.003755272,0.003635227
356814:8094,08/05/22 04:48:52,669,HLT_DiPFJetAve220_HFJEC_v17,0.039790379,0.039027725
356815:8094,08/05/22 09:13:01,98,HLT_DiPFJetAve220_HFJEC_v17,0.004886084,0.004783067
356824:8094,08/05/22 10:39:04,66,HLT_DiPFJetAve220_HFJEC_v17,0.002604710,0.002370062
356908:8098,08/06/22 01:30:07,26,HLT_DiPFJetAve220_HFJEC_v17,0.001911281,0.001783417
356919:8099,08/06/22 03:56:45,88,HLT_DiPFJetAve220_HFJEC_v17,0.005495107,0.005294288
356937:8100,08/06/22 14:02:16,119,HLT_DiPFJetAve220_HFJEC_v17,0.007411522,0.007080050
356946:8102,08/06/22 19:52:44,129,HLT_DiPFJetAve220_HFJEC_v17,0.009663793,0.008623520
356947:8102,08/06/22 20:46:12,350,HLT_DiPFJetAve220_HFJEC_v17,0.023700582,0.022650574
356948:8102,08/06/22 23:03:58,88,HLT_DiPFJetAve220_HFJEC_v17,0.005389933,0.004986473
356949:8102,08/06/22 23:40:25,94,HLT_DiPFJetAve220_HFJEC_v17,0.005503967,0.005345762
356951:8102,08/07/22 00:29:25,274,HLT_DiPFJetAve220_HFJEC_v17,0.014996185,0.014683268
356954:8102,08/07/22 02:28:59,364,HLT_DiPFJetAve220_HFJEC_v17,0.017557308,0.016991095
356955:8102,08/07/22 04:51:58,380,HLT_DiPFJetAve220_HFJEC_v17,0.016139761,0.015827880
356956:8102,08/07/22 07:20:44,109,HLT_DiPFJetAve220_HFJEC_v17,0.003772137,0.003741051
356968:8103,08/07/22 11:00:07,172,HLT_DiPFJetAve220_HFJEC_v17,0.012269474,0.011792571
356969:8103,08/07/22 12:14:36,236,HLT_DiPFJetAve220_HFJEC_v17,0.017427480,0.016562695
356970:8103,08/07/22 13:48:42,366,HLT_DiPFJetAve220_HFJEC_v17,0.024348030,0.023726904
356998:8106,08/08/22 06:36:19,5,HLT_DiPFJetAve220_HFJEC_v17,0.000414988,0.000391302
356999:8106,08/08/22 06:44:07,58,HLT_DiPFJetAve220_HFJEC_v17,0.004677163,0.004192618
357000:8106,08/08/22 07:08:08,50,HLT_DiPFJetAve220_HFJEC_v17,0.002998768,0.002729507
357001:8106,08/08/22 07:29:31,183,HLT_DiPFJetAve220_HFJEC_v17,0.013147529,0.012718372
357079:8112,08/09/22 04:42:08,22,HLT_DiPFJetAve220_HFJEC_v17,0.002112445,0.001852550
357080:8112,08/09/22 04:52:58,616,HLT_DiPFJetAve220_HFJEC_v17,0.049588077,0.047864158
357081:8112,08/09/22 09:12:46,759,HLT_DiPFJetAve220_HFJEC_v17,0.045051686,0.044133089
357101:8113,08/09/22 18:11:07,50,HLT_DiPFJetAve220_HFJEC_v17,0.004500253,0.004287958
357102:8113,08/09/22 18:48:55,105,HLT_DiPFJetAve220_HFJEC_v17,0.009076280,0.008674311
357104:8113,08/09/22 19:59:35,4,HLT_DiPFJetAve220_HFJEC_v17,0.000327484,0.000312800
357106:8113,08/09/22 20:26:05,60,HLT_DiPFJetAve220_HFJEC_v17,0.004701213,0.004255669
357112:8113,08/09/22 21:05:03,519,HLT_DiPFJetAve220_HFJEC_v17,0.035133467,0.033546629
357268:8115,08/10/22 19:34:00,74,HLT_DiPFJetAve220_HFJEC_v17,0.002911812,0.002629708
357271:8115,08/10/22 20:10:57,1569,HLT_DiPFJetAve220_HFJEC_v17,0.079533899,0.073975887
357328:8118,08/11/22 19:45:57,62,HLT_DiPFJetAve220_HFJEC_v17,0.002336920,0.002048401
357329:8118,08/11/22 20:13:21,668,HLT_DiPFJetAve220_HFJEC_v17,0.029668571,0.027732075
357330:8118,08/12/22 00:34:27,157,HLT_DiPFJetAve220_HFJEC_v17,0.007718783,0.007075195
357331:8118,08/12/22 01:38:29,23,HLT_DiPFJetAve220_HFJEC_v17,0.001081487,0.000926921
357332:8118,08/12/22 01:50:29,430,HLT_DiPFJetAve220_HFJEC_v17,0.024882706,0.022026953
357333:8118,08/12/22 04:41:18,207,HLT_DiPFJetAve220_HFJEC_v17,0.011209712,0.010755174
357401:8120,08/12/22 18:57:25,617,HLT_DiPFJetAve220_HFJEC_v17,0.022853338,0.022231265
357406:8121,08/13/22 02:47:20,125,HLT_DiPFJetAve220_HFJEC_v17,0.004965617,0.004710213
357438:8124,08/13/22 14:37:25,196,HLT_DiPFJetAve220_HFJEC_v17,0.008336962,0.007718066
357440:8124,08/13/22 16:04:46,354,HLT_DiPFJetAve220_HFJEC_v17,0.015079949,0.014201298
357441:8124,08/13/22 18:25:23,83,HLT_DiPFJetAve220_HFJEC_v17,0.003176155,0.003089618
357442:8124,08/13/22 19:03:01,1373,HLT_DiPFJetAve220_HFJEC_v17,0.055916866,0.054464720
357447:8125,08/14/22 06:45:20,11,HLT_DiPFJetAve220_HFJEC_v17,0.000396676,0.000348534
357472:8128,08/14/22 18:42:00,27,HLT_DiPFJetAve220_HFJEC_v17,0.000933200,0.000897764
357478:8128,08/15/22 03:49:42,8,HLT_DiPFJetAve220_HFJEC_v17,0.000283106,0.000200845
357479:8128,08/15/22 03:54:43,1046,HLT_DiPFJetAve220_HFJEC_v17,0.043119412,0.040990714
357482:8128,08/15/22 10:48:28,205,HLT_DiPFJetAve220_HFJEC_v17,0.008266163,0.008027962
357538:8132,08/15/22 20:37:19,25,HLT_DiPFJetAve220_HFJEC_v17,0.000824172,0.000677427
357542:8132,08/15/22 20:57:04,251,HLT_DiPFJetAve220_HFJEC_v17,0.011503401,0.010419495
357550:8132,08/15/22 22:37:57,36,HLT_DiPFJetAve220_HFJEC_v17,0.001605702,0.001465661
357610:8136,08/17/22 05:34:23,191,HLT_DiPFJetAve220_HFJEC_v17,0.007227984,0.006802051
357611:8136,08/17/22 06:50:12,412,HLT_DiPFJetAve220_HFJEC_v17,0.014594064,0.013879824
357612:8136,08/17/22 09:32:56,736,HLT_DiPFJetAve220_HFJEC_v17,0.031161541,0.029864212
357613:8136,08/17/22 14:22:26,256,HLT_DiPFJetAve220_HFJEC_v17,0.011665002,0.011379093
357688:8142,08/19/22 01:18:59,380,HLT_DiPFJetAve220_HFJEC_v17,0.017398045,0.016117135
357696:8143,08/19/22 06:53:22,359,HLT_DiPFJetAve220_HFJEC_v17,0.016504847,0.015339139
357697:8143,08/19/22 09:24:42,39,HLT_DiPFJetAve220_HFJEC_v17,0.001739887,0.001576929
357698:8143,08/19/22 09:56:20,63,HLT_DiPFJetAve220_HFJEC_v17,0.002691135,0.002314667
357699:8143,08/19/22 10:23:21,30,HLT_DiPFJetAve220_HFJEC_v17,0.001241424,0.001146375
357700:8143,08/19/22 10:36:51,757,HLT_DiPFJetAve220_HFJEC_v17,0.028248209,0.027476759
357701:8143,08/19/22 15:34:11,310,HLT_DiPFJetAve220_HFJEC_v17,0.011746245,0.011520270
357705:8143,08/19/22 18:48:46,202,HLT_DiPFJetAve220_HFJEC_v17,0.009978625,0.009612682
357706:8143,08/19/22 20:11:20,161,HLT_DiPFJetAve220_HFJEC_v17,0.006853278,0.006703971
357720:8144,08/19/22 23:22:19,61,HLT_DiPFJetAve220_HFJEC_v17,0.002379204,0.002218421
357732:8146,08/20/22 10:01:56,128,HLT_DiPFJetAve220_HFJEC_v17,0.005844688,0.005099934
357734:8146,08/20/22 11:04:44,300,HLT_DiPFJetAve220_HFJEC_v17,0.014630568,0.013558145
357735:8146,08/20/22 13:02:37,1123,HLT_DiPFJetAve220_HFJEC_v17,0.043913346,0.042406556
357754:8147,08/20/22 22:52:35,117,HLT_DiPFJetAve220_HFJEC_v17,0.004727183,0.004157486
357756:8147,08/20/22 23:44:38,425,HLT_DiPFJetAve220_HFJEC_v17,0.019716780,0.018486801
357757:8147,08/21/22 02:31:13,9,HLT_DiPFJetAve220_HFJEC_v17,0.000377437,0.000263867
357758:8147,08/21/22 02:37:20,85,HLT_DiPFJetAve220_HFJEC_v17,0.003474720,0.003146281
357759:8147,08/21/22 03:12:43,70,HLT_DiPFJetAve220_HFJEC_v17,0.002747972,0.002554325
357766:8148,08/21/22 07:27:46,115,HLT_DiPFJetAve220_HFJEC_v17,0.005169860,0.004585704
357777:8148,08/21/22 14:05:36,85,HLT_DiPFJetAve220_HFJEC_v17,0.002978671,0.002897349
357778:8148,08/21/22 14:43:18,358,HLT_DiPFJetAve220_HFJEC_v17,0.013871609,0.013208016
357779:8148,08/21/22 17:05:47,74,HLT_DiPFJetAve220_HFJEC_v17,0.002883716,0.002796584
357781:8148,08/21/22 17:44:36,10,HLT_DiPFJetAve220_HFJEC_v17,0.000373640,0.000346438
357802:8149,08/21/22 20:59:37,164,HLT_DiPFJetAve220_HFJEC_v17,0.007183472,0.006609957
357803:8149,08/21/22 22:05:02,153,HLT_DiPFJetAve220_HFJEC_v17,0.006962985,0.006569767
357804:8149,08/21/22 23:06:52,23,HLT_DiPFJetAve220_HFJEC_v17,0.001049933,0.000959562
357805:8149,08/21/22 23:17:38,88,HLT_DiPFJetAve220_HFJEC_v17,0.003906582,0.003690346
357806:8149,08/21/22 23:53:44,56,HLT_DiPFJetAve220_HFJEC_v17,0.002099000,0.001946257
357807:8149,08/22/22 00:20:46,244,HLT_DiPFJetAve220_HFJEC_v17,0.010186398,0.009720100
357808:8149,08/22/22 01:57:54,17,HLT_DiPFJetAve220_HFJEC_v17,0.000660941,0.000538260
357809:8149,08/22/22 02:06:38,41,HLT_DiPFJetAve220_HFJEC_v17,0.001588236,0.001502262
357812:8149,08/22/22 02:23:37,50,HLT_DiPFJetAve220_HFJEC_v17,0.001902227,0.001815137
357813:8149,08/22/22 02:44:13,293,HLT_DiPFJetAve220_HFJEC_v17,0.010554249,0.010025317
357814:8149,08/22/22 04:39:13,212,HLT_DiPFJetAve220_HFJEC_v17,0.009091861,0.008481209
357815:8149,08/22/22 06:04:22,944,HLT_DiPFJetAve220_HFJEC_v17,0.041768494,0.040693750
357898:8151,08/23/22 02:26:33,313,HLT_DiPFJetAve220_HFJEC_v17,0.014045746,0.013133976
357899:8151,08/23/22 04:29:12,637,HLT_DiPFJetAve220_HFJEC_v17,0.024490818,0.023309186
357900:8151,08/23/22 08:38:20,516,HLT_DiPFJetAve220_HFJEC_v17,0.016505735,0.015708704
359569:8210,09/29/22 14:40:17,83,HLT_DiPFJetAve220_HFJEC_v18,0.000317583,0.000312207
359571:8210,09/29/22 15:29:19,153,HLT_DiPFJetAve220_HFJEC_v18,0.000591521,0.000578122
359575:8210,09/29/22 16:41:25,83,HLT_DiPFJetAve220_HFJEC_v18,0.000321355,0.000316293
359595:8211,09/30/22 00:53:50,273,HLT_DiPFJetAve220_HFJEC_v18,0.001574545,0.001543278
359597:8211,09/30/22 02:45:13,94,HLT_DiPFJetAve220_HFJEC_v18,0.000380814,0.000375918
359602:8212,09/30/22 05:24:24,74,HLT_DiPFJetAve220_HFJEC_v18,0.001411860,0.001296093
359609:8212,09/30/22 08:00:32,25,HLT_DiPFJetAve220_HFJEC_v18,0.000480538,0.000387402
359612:8212,09/30/22 08:31:57,12,HLT_DiPFJetAve220_HFJEC_v18,0.000217157,0.000170200
359661:8214,09/30/22 14:54:53,81,HLT_DiPFJetAve220_HFJEC_v18,0.001193421,0.001133678
359685:8216,09/30/22 22:05:59,132,HLT_DiPFJetAve220_HFJEC_v18,0.002625366,0.002599610
359686:8216,09/30/22 23:11:45,934,HLT_DiPFJetAve220_HFJEC_v18,0.014311349,0.014202585
359691:8220,10/01/22 10:46:50,121,HLT_DiPFJetAve220_HFJEC_v18,0.005635767,0.005379515
359693:8220,10/01/22 12:12:09,604,HLT_DiPFJetAve220_HFJEC_v18,0.032375801,0.031200599
359694:8220,10/01/22 16:13:37,1080,HLT_DiPFJetAve220_HFJEC_v18,0.055097523,0.053836729
359699:8221,10/02/22 02:39:50,1856,HLT_DiPFJetAve220_HFJEC_v18,0.091915200,0.089132131
359718:8222,10/02/22 20:52:32,366,HLT_DiPFJetAve220_HFJEC_v18,0.019700800,0.018925197
359750:8223,10/03/22 11:38:36,135,HLT_DiPFJetAve220_HFJEC_v18,0.006211701,0.005996730
359751:8223,10/03/22 13:00:20,993,HLT_DiPFJetAve220_HFJEC_v18,0.053176079,0.050995195
