#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_DiPFJetAve260_HFJEC_v6,0.000256997,0.000253446
378993:9475,04/06/24 08:01:17,79,HLT_DiPFJetAve260_HFJEC_v6,0.000080483,0.000078608
379011:9475,04/06/24 11:58:18,399,HLT_DiPFJetAve260_HFJEC_v6,0.000528650,0.000478000
379012:9475,04/06/24 14:37:43,73,HLT_DiPFJetAve260_HFJEC_v6,0.000086414,0.000085233
379028:9476,04/06/24 19:56:15,534,HLT_DiPFJetAve260_HFJEC_v6,0.000794943,0.000776391
379031:9476,04/07/24 00:02:34,289,HLT_DiPFJetAve260_HFJEC_v6,0.000397055,0.000388769
379058:9479,04/07/24 09:34:30,826,HLT_DiPFJetAve260_HFJEC_v6,0.010204197,0.009938545
379075:9483,04/08/24 02:29:09,375,HLT_DiPFJetAve260_HFJEC_v6,0.004270156,0.004171347
379154:9485,04/08/24 22:13:02,1049,HLT_DiPFJetAve260_HFJEC_v6,0.011836209,0.011546364
379238:9496,04/10/24 16:44:24,286,HLT_DiPFJetAve260_HFJEC_v6,0.017759758,0.017144085
379243:9497,04/10/24 20:30:21,297,HLT_DiPFJetAve260_HFJEC_v6,0.019732809,0.019406267
379252:9499,04/11/24 01:57:11,644,HLT_DiPFJetAve260_HFJEC_v6,0.046225276,0.045144755
379253:9499,04/11/24 06:08:54,104,HLT_DiPFJetAve260_HFJEC_v6,0.007978453,0.007869393
379338:9510,04/12/24 14:27:21,170,HLT_DiPFJetAve260_HFJEC_v6,0.013040238,0.011799243
379355:9512,04/13/24 03:39:10,20,HLT_DiPFJetAve260_HFJEC_v6,0.003057203,0.002905896
378985:9474,04/06/24 00:24:34,768,HLT_DiPFJetAve260_v21,0.000002008,0.000001980
378993:9475,04/06/24 08:01:17,79,HLT_DiPFJetAve260_v21,0.000000629,0.000000614
379011:9475,04/06/24 11:58:18,399,HLT_DiPFJetAve260_v21,0.000004130,0.000003734
379012:9475,04/06/24 14:37:43,73,HLT_DiPFJetAve260_v21,0.000000675,0.000000666
379028:9476,04/06/24 19:56:15,534,HLT_DiPFJetAve260_v21,0.000006210,0.000006066
379031:9476,04/07/24 00:02:34,289,HLT_DiPFJetAve260_v21,0.000003102,0.000003037
379058:9479,04/07/24 09:34:30,826,HLT_DiPFJetAve260_v21,0.000079720,0.000077645
379075:9483,04/08/24 02:29:09,375,HLT_DiPFJetAve260_v21,0.000033361,0.000032589
379154:9485,04/08/24 22:13:02,1049,HLT_DiPFJetAve260_v21,0.000092470,0.000090206
379238:9496,04/10/24 16:44:24,286,HLT_DiPFJetAve260_v21,0.000138748,0.000133938
379243:9497,04/10/24 20:30:21,297,HLT_DiPFJetAve260_v21,0.000154163,0.000151611
379252:9499,04/11/24 01:57:11,644,HLT_DiPFJetAve260_v21,0.000361135,0.000352693
379253:9499,04/11/24 06:08:54,104,HLT_DiPFJetAve260_v21,0.000062332,0.000061480
379338:9510,04/12/24 14:27:21,170,HLT_DiPFJetAve260_v21,0.000101877,0.000092182
379355:9512,04/13/24 03:39:10,20,HLT_DiPFJetAve260_v21,0.000023884,0.000022702
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_DiPFJetAve260_HFJEC_v6,11,15,5913,0.136248843,0.131986342
#HLT_DiPFJetAve260_v21,11,15,5913,0.001064444,0.001031143
#
#Sum delivered  : 0.137313287
#Sum recorded : 0.133017485
#Check JSON:
#(run,ls) in json but not in results: [(378993, 200), (379243, 336), (379243, 337)]
