#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
366727:8675,04/27/23 22:25:55,107,HLT_DiPFJetAve400_v17,0.001762669,0.001649331
366729:8675,04/28/23 00:38:32,388,HLT_DiPFJetAve400_v17,0.007091295,0.006664917
366801:8685,04/29/23 11:55:15,415,HLT_DiPFJetAve400_v17,0.006453347,0.005986970
366802:8685,04/29/23 14:38:53,22,HLT_DiPFJetAve400_v17,0.000308977,0.000281833
366804:8685,04/29/23 15:00:43,128,HLT_DiPFJetAve400_v17,0.001591836,0.001534411
366820:8686,04/29/23 18:20:25,364,HLT_DiPFJetAve400_v17,0.006207150,0.005632809
366821:8686,04/29/23 20:43:28,967,HLT_DiPFJetAve400_v17,0.014811865,0.013822410
366829:8690,04/30/23 08:56:23,215,HLT_DiPFJetAve400_v17,0.003321320,0.003009368
366832:8690,04/30/23 10:34:41,239,HLT_DiPFJetAve400_v17,0.004838110,0.004319337
366833:8690,04/30/23 12:14:15,613,HLT_DiPFJetAve400_v17,0.008809248,0.008222664
366838:8691,04/30/23 18:25:11,112,HLT_DiPFJetAve400_v17,0.001773703,0.001585887
366840:8691,04/30/23 19:16:50,179,HLT_DiPFJetAve400_v17,0.003685878,0.003104559
366841:8691,04/30/23 20:30:41,258,HLT_DiPFJetAve400_v17,0.004810424,0.004306094
366850:8692,05/01/23 01:02:36,141,HLT_DiPFJetAve400_v17,0.002496825,0.002246761
366933:8701,05/03/23 00:56:24,1170,HLT_DiPFJetAve400_v17,0.054809525,0.051277386
367062:8723,05/05/23 11:39:00,13,HLT_DiPFJetAve400_v17,0.000148323,0.000125519
367063:8723,05/05/23 11:50:57,15,HLT_DiPFJetAve400_v17,0.000190430,0.000161165
367064:8723,05/05/23 12:00:27,323,HLT_DiPFJetAve400_v17,0.005056578,0.004580071
367065:8723,05/05/23 15:09:07,262,HLT_DiPFJetAve400_v17,0.004646956,0.004198930
367070:8724,05/05/23 20:59:27,83,HLT_DiPFJetAve400_v17,0.001835000,0.001778648
367079:8725,05/06/23 03:51:50,713,HLT_DiPFJetAve400_v17,0.032825899,0.030781701
367095:8728,05/06/23 11:29:01,564,HLT_DiPFJetAve400_v17,0.014866964,0.014007391
367100:8729,05/06/23 18:09:21,346,HLT_DiPFJetAve400_v17,0.008938995,0.008397882
367102:8729,05/06/23 20:28:47,75,HLT_DiPFJetAve400_v17,0.002106758,0.001950156
367103:8729,05/06/23 21:02:02,64,HLT_DiPFJetAve400_v17,0.001806532,0.001654235
367104:8729,05/06/23 21:31:29,1082,HLT_DiPFJetAve400_v17,0.024524471,0.023509198
367111:8730,05/07/23 07:24:23,288,HLT_DiPFJetAve400_v17,0.008953101,0.008315596
367112:8730,05/07/23 09:19:35,1438,HLT_DiPFJetAve400_v17,0.032662478,0.031203872
367127:8731,05/07/23 20:42:33,333,HLT_DiPFJetAve400_v17,0.009556104,0.008918705
367128:8731,05/07/23 22:54:19,7,HLT_DiPFJetAve400_v17,0.000207483,0.000185155
367129:8731,05/07/23 23:01:53,3,HLT_DiPFJetAve400_v17,0.000087333,0.000083576
367130:8731,05/07/23 23:05:47,153,HLT_DiPFJetAve400_v17,0.004215848,0.004003205
367131:8731,05/08/23 00:12:33,149,HLT_DiPFJetAve400_v17,0.003391088,0.003240728
367133:8731,05/08/23 01:12:45,275,HLT_DiPFJetAve400_v17,0.007121277,0.006833180
367228:8736,05/08/23 21:46:35,239,HLT_DiPFJetAve400_v17,0.007181940,0.006808786
367229:8736,05/08/23 23:25:47,34,HLT_DiPFJetAve400_v17,0.000998969,0.000934533
367230:8736,05/08/23 23:44:56,1,HLT_DiPFJetAve400_v17,0.000029040,0.000026059
367231:8736,05/08/23 23:48:31,22,HLT_DiPFJetAve400_v17,0.000646778,0.000592901
367232:8736,05/08/23 23:59:29,996,HLT_DiPFJetAve400_v17,0.027706523,0.026522890
367234:8736,05/09/23 06:33:07,501,HLT_DiPFJetAve400_v17,0.014780018,0.014267395
367260:8738,05/09/23 16:06:48,187,HLT_DiPFJetAve400_v17,0.003815488,0.003610280
367262:8738,05/09/23 17:32:02,262,HLT_DiPFJetAve400_v17,0.007608783,0.007096382
367263:8738,05/09/23 19:23:59,12,HLT_DiPFJetAve400_v17,0.000347536,0.000293131
367264:8738,05/09/23 19:31:14,847,HLT_DiPFJetAve400_v17,0.028715463,0.027436433
367267:8739,05/10/23 03:37:29,278,HLT_DiPFJetAve400_v17,0.009266495,0.008760752
367269:8739,05/10/23 05:33:29,33,HLT_DiPFJetAve400_v17,0.000963908,0.000813643
367270:8739,05/10/23 05:48:55,961,HLT_DiPFJetAve400_v17,0.028819202,0.027347985
367271:8739,05/10/23 12:08:09,135,HLT_DiPFJetAve400_v17,0.007754504,0.007440892
367312:8741,05/10/23 19:23:55,216,HLT_DiPFJetAve400_v17,0.005810411,0.005422293
367314:8741,05/10/23 20:54:59,20,HLT_DiPFJetAve400_v17,0.000588440,0.000538657
367315:8741,05/10/23 21:11:42,893,HLT_DiPFJetAve400_v17,0.028808252,0.027606268
367334:8746,05/11/23 09:40:35,299,HLT_DiPFJetAve400_v17,0.008262601,0.007641868
367336:8746,05/11/23 11:40:57,169,HLT_DiPFJetAve400_v17,0.005683909,0.005409756
367337:8746,05/11/23 12:49:41,1046,HLT_DiPFJetAve400_v17,0.040309971,0.038834385
367355:8750,05/12/23 01:30:34,4,HLT_DiPFJetAve400_v17,0.000060341,0.000051822
367406:8754,05/12/23 14:38:10,429,HLT_DiPFJetAve400_v17,0.012355417,0.011619568
367413:8754,05/12/23 18:13:16,1294,HLT_DiPFJetAve400_v17,0.044182022,0.041453262
367415:8754,05/13/23 02:52:02,97,HLT_DiPFJetAve400_v17,0.005639549,0.005458883
367416:8754,05/13/23 03:40:55,55,HLT_DiPFJetAve400_v17,0.003112166,0.002971090
367475:8771,05/14/23 10:33:09,579,HLT_DiPFJetAve400_v17,0.016499325,0.015071418
367477:8771,05/14/23 14:23:21,1289,HLT_DiPFJetAve400_v17,0.040350094,0.038814122
