#Data tag : online , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_DiPFJetAve400_v21,0.000015727,0.000015510
378993:9475,04/06/24 08:01:17,79,HLT_DiPFJetAve400_v21,0.000004804,0.000004692
379006:9475,04/06/24 10:52:20,23,HLT_DiPFJetAve400_v21,0.000002159,0.000002115
379011:9475,04/06/24 11:58:18,399,HLT_DiPFJetAve400_v21,0.000031537,0.000028515
379012:9475,04/06/24 14:37:43,73,HLT_DiPFJetAve400_v21,0.000005158,0.000005088
379028:9476,04/06/24 19:56:15,534,HLT_DiPFJetAve400_v21,0.000047399,0.000046292
379031:9476,04/07/24 00:02:34,289,HLT_DiPFJetAve400_v21,0.000023689,0.000023195
379058:9479,04/07/24 09:34:30,826,HLT_DiPFJetAve400_v21,0.000622307,0.000606110
379075:9483,04/08/24 02:29:09,375,HLT_DiPFJetAve400_v21,0.000260188,0.000254169
379154:9485,04/08/24 22:13:02,1049,HLT_DiPFJetAve400_v21,0.000720700,0.000703369
379238:9496,04/10/24 16:44:48,286,HLT_DiPFJetAve400_v21,0.001099000,0.001060757
379243:9497,04/10/24 20:30:21,299,HLT_DiPFJetAve400_v21,0.001219268,0.001199105
379252:9499,04/11/24 01:57:11,644,HLT_DiPFJetAve400_v21,0.002857170,0.002790393
379253:9499,04/11/24 06:08:54,104,HLT_DiPFJetAve400_v21,0.000493343,0.000486599
379338:9510,04/12/24 14:27:21,170,HLT_DiPFJetAve400_v21,0.000806305,0.000729573
379774:9549,04/21/24 03:13:58,157,HLT_DiPFJetAve400_v21,0.003256507,0.003104664
379355:9512,04/13/24 03:39:10,20,HLT_DiPFJetAve400_v21,0.000188554,0.000179221
379416:9517,04/14/24 17:34:18,195,HLT_DiPFJetAve400_v21,0.002639000,0.002479073
379420:9518,04/14/24 21:02:55,516,HLT_DiPFJetAve400_v21,0.007009944,0.006619710
379425:9519,04/15/24 02:03:52,203,HLT_DiPFJetAve400_v21,0.002434376,0.002291410
379433:9520,04/15/24 05:13:11,21,HLT_DiPFJetAve400_v21,0.000090373,0.000082338
379442:9521,04/15/24 07:07:46,269,HLT_DiPFJetAve400_v21,0.003507775,0.003301677
379454:9523,04/15/24 11:25:22,498,HLT_DiPFJetAve400_v21,0.006787496,0.006172595
379456:9523,04/15/24 14:47:09,1199,HLT_DiPFJetAve400_v21,0.013366735,0.012558127
379470:9525,04/16/24 00:38:26,800,HLT_DiPFJetAve400_v21,0.011132028,0.010470216
379530:9530,04/17/24 01:12:13,593,HLT_DiPFJetAve400_v21,0.011996294,0.011209682
379618:9537,04/18/24 08:43:50,360,HLT_DiPFJetAve400_v21,0.006415900,0.006179771
379660:9539,04/18/24 16:49:04,1507,HLT_DiPFJetAve400_v21,0.027275248,0.026293046
379661:9539,04/19/24 02:37:20,406,HLT_DiPFJetAve400_v21,0.005050634,0.004982990
379729:9543,04/19/24 17:38:45,1465,HLT_DiPFJetAve400_v21,0.028760380,0.027879809
379765:9548,04/20/24 14:03:25,1695,HLT_DiPFJetAve400_v21,0.034858808,0.033124202
379866:9559,04/23/24 20:37:55,1347,HLT_DiPFJetAve400_v21,0.017644813,0.017177931
379984:9562,04/25/24 11:47:58,913,HLT_DiPFJetAve400_v21,0.014968553,0.014553006
380001:9564,04/25/24 20:39:17,691,HLT_DiPFJetAve400_v21,0.015013098,0.014489405
380005:9565,04/26/24 03:10:19,1062,HLT_DiPFJetAve400_v21,0.023052064,0.022096024
380007:9565,04/26/24 10:12:08,129,HLT_DiPFJetAve400_v21,0.002312872,0.002198681
380029:9566,04/26/24 15:02:20,55,HLT_DiPFJetAve400_v21,0.000704254,0.000649215
380030:9566,04/26/24 15:37:30,346,HLT_DiPFJetAve400_v21,0.009145212,0.008678027
380032:9566,04/26/24 19:11:02,19,HLT_DiPFJetAve400_v21,0.000457920,0.000430729
380033:9566,04/26/24 19:21:25,53,HLT_DiPFJetAve400_v21,0.001306541,0.001246769
380043:9567,04/26/24 22:44:31,900,HLT_DiPFJetAve400_v21,0.022558045,0.021458176
380049:9568,04/27/24 07:10:37,871,HLT_DiPFJetAve400_v21,0.022172253,0.020919183
380051:9568,04/27/24 12:55:48,735,HLT_DiPFJetAve400_v21,0.014178835,0.013663230
380052:9568,04/27/24 17:45:43,12,HLT_DiPFJetAve400_v21,0.000192269,0.000179764
380053:9568,04/27/24 17:57:47,128,HLT_DiPFJetAve400_v21,0.001977874,0.001916149
380056:9568,04/27/24 18:55:05,168,HLT_DiPFJetAve400_v21,0.002331278,0.002242140
380066:9569,04/27/24 22:17:19,552,HLT_DiPFJetAve400_v21,0.013845574,0.013177016
380074:9570,04/28/24 06:24:04,1306,HLT_DiPFJetAve400_v21,0.030545191,0.029235466
380115:9573,04/29/24 09:42:28,1792,HLT_DiPFJetAve400_v21,0.039678067,0.038128815
380195:9575,04/30/24 23:30:14,7,HLT_DiPFJetAve400_v21,0.000200189,0.000183953
380197:9575,05/01/24 00:09:50,357,HLT_DiPFJetAve400_v21,0.010269331,0.009713293
380235:9579,05/01/24 17:29:48,256,HLT_DiPFJetAve400_v21,0.006390743,0.005987559
380236:9579,05/01/24 19:12:09,57,HLT_DiPFJetAve400_v21,0.001640048,0.001465437
379613:9537,04/18/24 03:20:17,120,HLT_DiPFJetAve400_v22,0.001999047,0.001888462
379617:9537,04/18/24 04:23:35,664,HLT_DiPFJetAve400_v22,0.014121892,0.013260833
380306:9585,05/02/24 19:54:33,246,HLT_DiPFJetAve400_v22,0.006187273,0.005727339
380308:9585,05/02/24 21:44:38,35,HLT_DiPFJetAve400_v22,0.001006607,0.000844535
380309:9585,05/02/24 22:01:23,351,HLT_DiPFJetAve400_v22,0.010070448,0.009369195
380310:9585,05/03/24 00:19:19,1131,HLT_DiPFJetAve400_v22,0.023915528,0.023108697
380346:9593,05/03/24 16:31:34,566,HLT_DiPFJetAve400_v22,0.015147043,0.014224707
380348:9593,05/03/24 20:21:15,341,HLT_DiPFJetAve400_v22,0.008586957,0.008145814
380349:9593,05/03/24 22:39:04,695,HLT_DiPFJetAve400_v22,0.013255013,0.012847399
380360:9594,05/04/24 06:56:16,1928,HLT_DiPFJetAve400_v22,0.042554462,0.040957949
380377:9602,05/04/24 23:50:36,420,HLT_DiPFJetAve400_v22,0.011238445,0.010626372
380384:9603,05/05/24 06:57:47,751,HLT_DiPFJetAve400_v22,0.020548454,0.019460899
380385:9603,05/05/24 11:54:10,1247,HLT_DiPFJetAve400_v22,0.024723812,0.023867502
380399:9604,05/05/24 23:17:17,494,HLT_DiPFJetAve400_v22,0.013015312,0.012379172
380403:9604,05/06/24 03:21:24,251,HLT_DiPFJetAve400_v22,0.006651156,0.006339610
380444:9605,05/06/24 15:21:13,325,HLT_DiPFJetAve400_v22,0.009039646,0.008405785
380446:9605,05/06/24 17:33:05,1028,HLT_DiPFJetAve400_v22,0.025652131,0.024569058
380447:9605,05/07/24 00:20:05,810,HLT_DiPFJetAve400_v22,0.013008582,0.012707273
380466:9606,05/07/24 09:21:16,504,HLT_DiPFJetAve400_v22,0.013654576,0.012678991
380470:9606,05/07/24 13:06:34,1634,HLT_DiPFJetAve400_v22,0.032747639,0.031757912
380481:9608,05/08/24 05:37:58,860,HLT_DiPFJetAve400_v22,0.023486877,0.022157917
380513:9609,05/08/24 20:35:34,1158,HLT_DiPFJetAve400_v22,0.030506545,0.028978706
380517:9609,05/09/24 04:20:58,39,HLT_DiPFJetAve400_v22,0.000829510,0.000785272
380531:9610,05/09/24 07:02:24,1023,HLT_DiPFJetAve400_v22,0.027411097,0.025810187
380534:9610,05/09/24 13:56:20,746,HLT_DiPFJetAve400_v22,0.014141893,0.013730893
380537:9610,05/09/24 19:09:12,58,HLT_DiPFJetAve400_v22,0.000895072,0.000863014
380538:9610,05/09/24 19:36:56,144,HLT_DiPFJetAve400_v22,0.002027797,0.001986208
380564:9611,05/09/24 23:47:54,742,HLT_DiPFJetAve400_v22,0.020398655,0.019266532
380567:9611,05/10/24 04:54:24,1081,HLT_DiPFJetAve400_v22,0.021320888,0.020715331
380623:9614,05/11/24 20:40:52,388,HLT_DiPFJetAve400_v22,0.010255837,0.009627419
380624:9614,05/11/24 23:16:57,809,HLT_DiPFJetAve400_v22,0.020623200,0.019652761
380625:9614,05/12/24 04:34:00,7,HLT_DiPFJetAve400_v22,0.000143843,0.000133843
380626:9614,05/12/24 04:39:38,14,HLT_DiPFJetAve400_v22,0.000284851,0.000263933
380627:9614,05/12/24 04:48:42,808,HLT_DiPFJetAve400_v22,0.013655999,0.013343129
380647:9618,05/12/24 22:28:59,375,HLT_DiPFJetAve400_v22,0.010249446,0.009303065
380649:9618,05/13/24 01:56:15,401,HLT_DiPFJetAve400_v22,0.010557042,0.009959966
380933:9651,05/19/24 16:19:32,773,HLT_DiPFJetAve400_v22,0.000751630,0.000742929
380945:9653,05/20/24 06:39:35,245,HLT_DiPFJetAve400_v22,0.006291356,0.005936511
380947:9653,05/20/24 11:38:49,823,HLT_DiPFJetAve400_v22,0.016524849,0.016027646
380963:9654,05/20/24 20:42:43,922,HLT_DiPFJetAve400_v23,0.023242680,0.022167798
381022:9659,05/21/24 23:53:15,586,HLT_DiPFJetAve400_v23,0.013385465,0.012657835
381053:9661,05/22/24 09:14:55,108,HLT_DiPFJetAve400_v23,0.002115442,0.002022246
381065:9662,05/22/24 12:16:48,791,HLT_DiPFJetAve400_v23,0.021931010,0.020531690
381067:9662,05/22/24 17:33:10,313,HLT_DiPFJetAve400_v23,0.007731796,0.007428798
