#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
366727:8675,04/27/23 22:25:55,107,HLT_DiPFJetAve500_v17,0.006873637,0.006432168
366729:8675,04/28/23 00:38:32,388,HLT_DiPFJetAve500_v17,0.027721066,0.026055384
366801:8685,04/29/23 11:55:16,415,HLT_DiPFJetAve500_v17,0.025957291,0.024084570
366802:8685,04/29/23 14:38:53,22,HLT_DiPFJetAve500_v17,0.001252509,0.001146382
366804:8685,04/29/23 15:00:44,128,HLT_DiPFJetAve500_v17,0.006437924,0.006217342
366820:8686,04/29/23 18:20:26,364,HLT_DiPFJetAve500_v17,0.024663230,0.022388520
366821:8686,04/29/23 20:43:29,967,HLT_DiPFJetAve500_v17,0.059534781,0.055577359
366829:8690,04/30/23 08:56:23,215,HLT_DiPFJetAve500_v17,0.013432378,0.012171166
366832:8690,04/30/23 10:34:41,239,HLT_DiPFJetAve500_v17,0.019392170,0.017312637
366833:8690,04/30/23 12:14:16,613,HLT_DiPFJetAve500_v17,0.035136348,0.032846421
366838:8691,04/30/23 18:25:11,112,HLT_DiPFJetAve500_v17,0.007050328,0.006305427
366840:8691,04/30/23 19:16:50,179,HLT_DiPFJetAve500_v17,0.014583586,0.012283454
366841:8691,04/30/23 20:30:41,258,HLT_DiPFJetAve500_v17,0.019052884,0.017069291
366850:8692,05/01/23 01:02:36,141,HLT_DiPFJetAve500_v17,0.009899227,0.008907912
366933:8701,05/03/23 00:56:24,1170,HLT_DiPFJetAve500_v17,0.216141078,0.202223096
367062:8723,05/05/23 11:39:01,13,HLT_DiPFJetAve500_v17,0.000595198,0.000503674
367063:8723,05/05/23 11:50:58,15,HLT_DiPFJetAve500_v17,0.000758357,0.000641436
367064:8723,05/05/23 12:00:27,323,HLT_DiPFJetAve500_v17,0.019956015,0.018075548
367065:8723,05/05/23 15:09:08,262,HLT_DiPFJetAve500_v17,0.018353183,0.016595418
367070:8724,05/05/23 20:59:27,83,HLT_DiPFJetAve500_v17,0.007252603,0.007030964
367079:8725,05/06/23 03:51:51,713,HLT_DiPFJetAve500_v17,0.129355029,0.121343136
367095:8728,05/06/23 11:29:02,564,HLT_DiPFJetAve500_v17,0.058236889,0.054870930
367100:8729,05/06/23 18:09:21,346,HLT_DiPFJetAve500_v17,0.034965525,0.032897678
367102:8729,05/06/23 20:28:48,75,HLT_DiPFJetAve500_v17,0.008241769,0.007632762
367103:8729,05/06/23 21:02:02,64,HLT_DiPFJetAve500_v17,0.007069565,0.006473897
367104:8729,05/06/23 21:31:30,1082,HLT_DiPFJetAve500_v17,0.096542427,0.092561746
367111:8730,05/07/23 07:24:23,288,HLT_DiPFJetAve500_v17,0.035095038,0.032596183
367112:8730,05/07/23 09:19:36,1438,HLT_DiPFJetAve500_v17,0.128411063,0.122687440
367127:8731,05/07/23 20:42:33,333,HLT_DiPFJetAve500_v17,0.037349422,0.034859364
367128:8731,05/07/23 22:54:20,7,HLT_DiPFJetAve500_v17,0.000809759,0.000722471
367129:8731,05/07/23 23:01:54,3,HLT_DiPFJetAve500_v17,0.000341818,0.000327115
367130:8731,05/07/23 23:05:47,153,HLT_DiPFJetAve500_v17,0.016509030,0.015679068
367131:8731,05/08/23 00:12:34,149,HLT_DiPFJetAve500_v17,0.013289708,0.012700947
367133:8731,05/08/23 01:12:46,275,HLT_DiPFJetAve500_v17,0.027844670,0.026717289
367228:8736,05/08/23 21:46:35,239,HLT_DiPFJetAve500_v17,0.028187803,0.026725343
367229:8736,05/08/23 23:25:47,34,HLT_DiPFJetAve500_v17,0.003887226,0.003636376
