#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_DiPFJetAve60_HFJEC_v22,0.000035948,0.000035451
378993:9475,04/06/24 08:01:17,79,HLT_DiPFJetAve60_HFJEC_v22,0.000002479,0.000002422
379011:9475,04/06/24 11:58:18,399,HLT_DiPFJetAve60_HFJEC_v22,0.000016277,0.000014718
379012:9475,04/06/24 14:37:43,73,HLT_DiPFJetAve60_HFJEC_v22,0.000002662,0.000002626
379028:9476,04/06/24 19:56:15,534,HLT_DiPFJetAve60_HFJEC_v22,0.000024464,0.000023892
379031:9476,04/07/24 00:02:34,289,HLT_DiPFJetAve60_HFJEC_v22,0.000012227,0.000011972
379058:9479,04/07/24 09:34:30,826,HLT_DiPFJetAve60_HFJEC_v22,0.000042733,0.000041621
379075:9483,04/08/24 02:29:09,375,HLT_DiPFJetAve60_HFJEC_v22,0.000017867,0.000017454
379154:9485,04/08/24 22:13:02,1049,HLT_DiPFJetAve60_HFJEC_v22,0.000049490,0.000048300
379238:9496,04/10/24 16:44:48,286,HLT_DiPFJetAve60_HFJEC_v22,0.000012152,0.000011729
379243:9497,04/10/24 20:30:21,299,HLT_DiPFJetAve60_HFJEC_v22,0.000013482,0.000013259
379252:9499,04/11/24 01:57:11,644,HLT_DiPFJetAve60_HFJEC_v22,0.000031593,0.000030854
379253:9499,04/11/24 06:08:54,104,HLT_DiPFJetAve60_HFJEC_v22,0.000005455,0.000005381
379338:9510,04/12/24 14:27:21,170,HLT_DiPFJetAve60_HFJEC_v22,0.000008916,0.000008067
379774:9549,04/21/24 03:13:58,157,HLT_DiPFJetAve60_HFJEC_v22,0.000003527,0.000003363
379355:9512,04/13/24 03:39:10,20,HLT_DiPFJetAve60_HFJEC_v22,0.000000984,0.000000935
379416:9517,04/14/24 17:34:18,195,HLT_DiPFJetAve60_HFJEC_v22,0.000004692,0.000004408
379420:9518,04/14/24 21:02:55,516,HLT_DiPFJetAve60_HFJEC_v22,0.000012464,0.000011770
379425:9519,04/15/24 02:03:52,203,HLT_DiPFJetAve60_HFJEC_v22,0.000004328,0.000004074
379433:9520,04/15/24 05:13:11,21,HLT_DiPFJetAve60_HFJEC_v22,0.000000161,0.000000146
379442:9521,04/15/24 07:07:46,269,HLT_DiPFJetAve60_HFJEC_v22,0.000006237,0.000005870
379454:9523,04/15/24 11:25:22,498,HLT_DiPFJetAve60_HFJEC_v22,0.000012068,0.000010975
379456:9523,04/15/24 14:47:09,1199,HLT_DiPFJetAve60_HFJEC_v22,0.000023766,0.000022328
379470:9525,04/16/24 00:38:26,800,HLT_DiPFJetAve60_HFJEC_v22,0.000019792,0.000018616
379530:9530,04/17/24 01:12:13,593,HLT_DiPFJetAve60_HFJEC_v22,0.000014441,0.000013494
379618:9537,04/18/24 08:43:50,360,HLT_DiPFJetAve60_HFJEC_v22,0.000007724,0.000007439
379660:9539,04/18/24 16:49:04,1507,HLT_DiPFJetAve60_HFJEC_v22,0.000032736,0.000031557
379661:9539,04/19/24 02:37:20,406,HLT_DiPFJetAve60_HFJEC_v22,0.000006062,0.000005981
379729:9543,04/19/24 17:38:45,1465,HLT_DiPFJetAve60_HFJEC_v22,0.000031153,0.000030200
379765:9548,04/20/24 14:03:25,1695,HLT_DiPFJetAve60_HFJEC_v22,0.000037759,0.000035880
379866:9559,04/23/24 20:37:55,1347,HLT_DiPFJetAve60_HFJEC_v22,0.000031330,0.000030501
379984:9562,04/25/24 11:47:58,913,HLT_DiPFJetAve60_HFJEC_v22,0.000022682,0.000022052
380001:9564,04/25/24 20:39:17,691,HLT_DiPFJetAve60_HFJEC_v22,0.000016463,0.000015889
380005:9565,04/26/24 03:10:19,1062,HLT_DiPFJetAve60_HFJEC_v22,0.000025278,0.000024230
380007:9565,04/26/24 10:12:08,129,HLT_DiPFJetAve60_HFJEC_v22,0.000002536,0.000002411
380029:9566,04/26/24 15:02:20,55,HLT_DiPFJetAve60_HFJEC_v22,0.000000684,0.000000630
380030:9566,04/26/24 15:37:30,346,HLT_DiPFJetAve60_HFJEC_v22,0.000008878,0.000008425
380032:9566,04/26/24 19:11:02,19,HLT_DiPFJetAve60_HFJEC_v22,0.000000445,0.000000418
380033:9566,04/26/24 19:21:25,53,HLT_DiPFJetAve60_HFJEC_v22,0.000001268,0.000001210
380043:9567,04/26/24 22:44:31,900,HLT_DiPFJetAve60_HFJEC_v22,0.000021900,0.000020832
380049:9568,04/27/24 07:10:37,871,HLT_DiPFJetAve60_HFJEC_v22,0.000021525,0.000020309
380051:9568,04/27/24 12:55:48,735,HLT_DiPFJetAve60_HFJEC_v22,0.000013765,0.000013264
380052:9568,04/27/24 17:45:43,12,HLT_DiPFJetAve60_HFJEC_v22,0.000000187,0.000000175
380053:9568,04/27/24 17:57:47,128,HLT_DiPFJetAve60_HFJEC_v22,0.000001920,0.000001860
380056:9568,04/27/24 18:55:05,168,HLT_DiPFJetAve60_HFJEC_v22,0.000002263,0.000002177
380066:9569,04/27/24 22:17:19,552,HLT_DiPFJetAve60_HFJEC_v22,0.000013441,0.000012792
380074:9570,04/28/24 06:24:04,1306,HLT_DiPFJetAve60_HFJEC_v22,0.000029654,0.000028382
380115:9573,04/29/24 09:42:28,1792,HLT_DiPFJetAve60_HFJEC_v22,0.000036172,0.000034759
380195:9575,04/30/24 23:30:14,7,HLT_DiPFJetAve60_HFJEC_v22,0.000000182,0.000000168
380197:9575,05/01/24 00:09:50,357,HLT_DiPFJetAve60_HFJEC_v22,0.000009362,0.000008855
380235:9579,05/01/24 17:29:48,256,HLT_DiPFJetAve60_HFJEC_v22,0.000005826,0.000005458
380236:9579,05/01/24 19:12:09,57,HLT_DiPFJetAve60_HFJEC_v22,0.000001495,0.000001336
379613:9537,04/18/24 03:20:17,120,HLT_DiPFJetAve60_HFJEC_v23,0.000002406,0.000002273
379617:9537,04/18/24 04:23:35,664,HLT_DiPFJetAve60_HFJEC_v23,0.000017000,0.000015964
380306:9585,05/02/24 19:54:33,246,HLT_DiPFJetAve60_HFJEC_v23,0.000005640,0.000005221
380308:9585,05/02/24 21:44:38,35,HLT_DiPFJetAve60_HFJEC_v23,0.000000918,0.000000770
380309:9585,05/02/24 22:01:23,351,HLT_DiPFJetAve60_HFJEC_v23,0.000009181,0.000008541
380310:9585,05/03/24 00:19:19,1131,HLT_DiPFJetAve60_HFJEC_v23,0.000021802,0.000021067
380346:9593,05/03/24 16:31:34,566,HLT_DiPFJetAve60_HFJEC_v23,0.000014247,0.000013379
380348:9593,05/03/24 20:21:15,341,HLT_DiPFJetAve60_HFJEC_v23,0.000008077,0.000007662
380349:9593,05/03/24 22:39:04,695,HLT_DiPFJetAve60_HFJEC_v23,0.000012467,0.000012084
380360:9594,05/04/24 06:56:16,1928,HLT_DiPFJetAve60_HFJEC_v23,0.000038794,0.000037338
380377:9602,05/04/24 23:50:36,420,HLT_DiPFJetAve60_HFJEC_v23,0.000010245,0.000009687
380384:9603,05/05/24 06:57:47,751,HLT_DiPFJetAve60_HFJEC_v23,0.000018733,0.000017741
380385:9603,05/05/24 11:54:10,1247,HLT_DiPFJetAve60_HFJEC_v23,0.000022539,0.000021758
380399:9604,05/05/24 23:17:17,494,HLT_DiPFJetAve60_HFJEC_v23,0.000011865,0.000011285
380403:9604,05/06/24 03:21:24,251,HLT_DiPFJetAve60_HFJEC_v23,0.000006063,0.000005779
380444:9605,05/06/24 15:21:13,325,HLT_DiPFJetAve60_HFJEC_v23,0.000008241,0.000007663
380446:9605,05/06/24 17:33:05,1028,HLT_DiPFJetAve60_HFJEC_v23,0.000023385,0.000022398
380447:9605,05/07/24 00:20:05,810,HLT_DiPFJetAve60_HFJEC_v23,0.000011859,0.000011584
380466:9606,05/07/24 09:21:16,504,HLT_DiPFJetAve60_HFJEC_v23,0.000012448,0.000011559
380470:9606,05/07/24 13:06:34,1634,HLT_DiPFJetAve60_HFJEC_v23,0.000029854,0.000028951
380481:9608,05/08/24 05:37:58,860,HLT_DiPFJetAve60_HFJEC_v23,0.000021411,0.000020200
380513:9609,05/08/24 20:35:34,1158,HLT_DiPFJetAve60_HFJEC_v23,0.000027811,0.000026418
380517:9609,05/09/24 04:20:58,39,HLT_DiPFJetAve60_HFJEC_v23,0.000000756,0.000000716
380531:9610,05/09/24 07:02:24,1023,HLT_DiPFJetAve60_HFJEC_v23,0.000024989,0.000023529
380534:9610,05/09/24 13:56:20,746,HLT_DiPFJetAve60_HFJEC_v23,0.000012892,0.000012517
380537:9610,05/09/24 19:09:12,58,HLT_DiPFJetAve60_HFJEC_v23,0.000000816,0.000000787
380538:9610,05/09/24 19:36:56,144,HLT_DiPFJetAve60_HFJEC_v23,0.000001849,0.000001811
380564:9611,05/09/24 23:47:54,742,HLT_DiPFJetAve60_HFJEC_v23,0.000018596,0.000017564
380567:9611,05/10/24 04:54:24,1081,HLT_DiPFJetAve60_HFJEC_v23,0.000019437,0.000018885
380623:9614,05/11/24 20:40:52,388,HLT_DiPFJetAve60_HFJEC_v23,0.000009350,0.000008777
380624:9614,05/11/24 23:16:57,809,HLT_DiPFJetAve60_HFJEC_v23,0.000018801,0.000017916
380625:9614,05/12/24 04:34:00,7,HLT_DiPFJetAve60_HFJEC_v23,0.000000131,0.000000122
380626:9614,05/12/24 04:39:38,14,HLT_DiPFJetAve60_HFJEC_v23,0.000000260,0.000000241
380627:9614,05/12/24 04:48:42,808,HLT_DiPFJetAve60_HFJEC_v23,0.000012449,0.000012164
380647:9618,05/12/24 22:28:59,375,HLT_DiPFJetAve60_HFJEC_v23,0.000009344,0.000008481
380649:9618,05/13/24 01:56:15,401,HLT_DiPFJetAve60_HFJEC_v23,0.000009624,0.000009080
380933:9651,05/19/24 16:19:32,773,HLT_DiPFJetAve60_HFJEC_v23,0.000011443,0.000011310
380945:9653,05/20/24 06:39:35,245,HLT_DiPFJetAve60_HFJEC_v23,0.000005735,0.000005412
380947:9653,05/20/24 11:38:49,823,HLT_DiPFJetAve60_HFJEC_v23,0.000015065,0.000014611
380963:9654,05/20/24 20:42:43,922,HLT_DiPFJetAve60_HFJEC_v24,0.000021189,0.000020209
