#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_DiPFJetAve60_HFJEC_v22,0.000036714,0.000036207
378993:9475,04/06/24 08:01:17,79,HLT_DiPFJetAve60_HFJEC_v22,0.000002596,0.000002536
379006:9475,04/06/24 10:52:20,23,HLT_DiPFJetAve60_HFJEC_v22,0.000001169,0.000001145
379011:9475,04/06/24 11:58:18,399,HLT_DiPFJetAve60_HFJEC_v22,0.000017053,0.000015419
379012:9475,04/06/24 14:37:43,73,HLT_DiPFJetAve60_HFJEC_v22,0.000002788,0.000002749
379028:9476,04/06/24 19:56:15,534,HLT_DiPFJetAve60_HFJEC_v22,0.000025643,0.000025045
379031:9476,04/07/24 00:02:34,289,HLT_DiPFJetAve60_HFJEC_v22,0.000012808,0.000012541
379058:9479,04/07/24 09:34:30,826,HLT_DiPFJetAve60_HFJEC_v22,0.000043795,0.000042655
379075:9483,04/08/24 02:29:09,375,HLT_DiPFJetAve60_HFJEC_v22,0.000018327,0.000017903
379154:9485,04/08/24 22:13:02,1049,HLT_DiPFJetAve60_HFJEC_v22,0.000050799,0.000049555
379238:9496,04/10/24 16:44:24,286,HLT_DiPFJetAve60_HFJEC_v22,0.000012274,0.000011848
379243:9497,04/10/24 20:30:21,297,HLT_DiPFJetAve60_HFJEC_v22,0.000013637,0.000013411
379252:9499,04/11/24 01:57:11,644,HLT_DiPFJetAve60_HFJEC_v22,0.000031946,0.000031199
379253:9499,04/11/24 06:08:54,104,HLT_DiPFJetAve60_HFJEC_v22,0.000005514,0.000005438
379338:9510,04/12/24 14:27:21,170,HLT_DiPFJetAve60_HFJEC_v22,0.000009012,0.000008154
379355:9512,04/13/24 03:39:10,20,HLT_DiPFJetAve60_HFJEC_v22,0.000000997,0.000000947
379416:9517,04/14/24 17:34:19,195,HLT_DiPFJetAve60_HFJEC_v22,0.000004768,0.000004479
379420:9518,04/14/24 21:02:55,516,HLT_DiPFJetAve60_HFJEC_v22,0.000012664,0.000011955
379425:9519,04/15/24 02:03:52,203,HLT_DiPFJetAve60_HFJEC_v22,0.000004400,0.000004141
379433:9520,04/15/24 05:13:11,21,HLT_DiPFJetAve60_HFJEC_v22,0.000000164,0.000000149
379442:9521,04/15/24 07:07:46,269,HLT_DiPFJetAve60_HFJEC_v22,0.000006334,0.000005962
379454:9523,04/15/24 11:25:22,498,HLT_DiPFJetAve60_HFJEC_v22,0.000012256,0.000011143
379456:9523,04/15/24 14:47:09,1199,HLT_DiPFJetAve60_HFJEC_v22,0.000024151,0.000022691
379470:9525,04/16/24 00:38:26,800,HLT_DiPFJetAve60_HFJEC_v22,0.000020089,0.000018894
379530:9530,04/17/24 01:12:13,593,HLT_DiPFJetAve60_HFJEC_v22,0.000015080,0.000014089
379618:9537,04/18/24 08:43:50,360,HLT_DiPFJetAve60_HFJEC_v22,0.000008065,0.000007769
379660:9539,04/18/24 16:49:04,1507,HLT_DiPFJetAve60_HFJEC_v22,0.000034185,0.000032953
379661:9539,04/19/24 02:37:20,406,HLT_DiPFJetAve60_HFJEC_v22,0.000006330,0.000006245
379729:9543,04/19/24 17:38:45,1465,HLT_DiPFJetAve60_HFJEC_v22,0.000032532,0.000031536
379765:9548,04/20/24 14:03:25,1695,HLT_DiPFJetAve60_HFJEC_v22,0.000039430,0.000037468
379774:9549,04/21/24 03:13:58,156,HLT_DiPFJetAve60_HFJEC_v22,0.000003656,0.000003485
379866:9559,04/23/24 20:37:55,1337,HLT_DiPFJetAve60_HFJEC_v22,0.000032726,0.000031860
