#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_PFJet320_v27,0.000008031,0.000007920
378993:9475,04/06/24 08:01:17,79,HLT_PFJet320_v27,0.000002515,0.000002456
379011:9475,04/06/24 11:58:18,399,HLT_PFJet320_v27,0.000016520,0.000014937
379012:9475,04/06/24 14:37:43,73,HLT_PFJet320_v27,0.000002700,0.000002664
379028:9476,04/06/24 19:56:15,534,HLT_PFJet320_v27,0.000024842,0.000024262
379031:9476,04/07/24 00:02:34,289,HLT_PFJet320_v27,0.000012408,0.000012149
379058:9479,04/07/24 09:34:30,826,HLT_PFJet320_v27,0.000318881,0.000310580
379075:9483,04/08/24 02:29:09,375,HLT_PFJet320_v27,0.000133442,0.000130355
379154:9485,04/08/24 22:13:02,1049,HLT_PFJet320_v27,0.000369882,0.000360824
379238:9496,04/10/24 16:44:24,286,HLT_PFJet320_v27,0.000554992,0.000535753
379243:9497,04/10/24 20:30:21,297,HLT_PFJet320_v27,0.000616650,0.000606446
379252:9499,04/11/24 01:57:11,644,HLT_PFJet320_v27,0.001444540,0.001410774
379253:9499,04/11/24 06:08:54,104,HLT_PFJet320_v27,0.000249327,0.000245919
379338:9510,04/12/24 14:27:21,170,HLT_PFJet320_v27,0.000407507,0.000368726
379355:9512,04/13/24 03:39:10,20,HLT_PFJet320_v27,0.000095538,0.000090809
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_PFJet320_v27,11,15,5913,0.004257776,0.004124573
#
#Sum delivered  : 0.004257776
#Sum recorded : 0.004124573
#Check JSON:
#(run,ls) in json but not in results: [(378993, 200), (379243, 336), (379243, 337)]
