#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
366727:8675,04/27/23 22:25:55,107,HLT_PFJet400_v23,0.000440667,0.000412333
366729:8675,04/28/23 00:38:32,388,HLT_PFJet400_v23,0.001772824,0.001666229
366801:8685,04/29/23 11:55:15,415,HLT_PFJet400_v23,0.001613337,0.001496742
366802:8685,04/29/23 14:38:53,22,HLT_PFJet400_v23,0.000077244,0.000070458
366804:8685,04/29/23 15:00:43,128,HLT_PFJet400_v23,0.000397959,0.000383603
366820:8686,04/29/23 18:20:25,364,HLT_PFJet400_v23,0.001551787,0.001408202
366821:8686,04/29/23 20:43:28,967,HLT_PFJet400_v23,0.003702966,0.003455602
366829:8690,04/30/23 08:56:23,215,HLT_PFJet400_v23,0.000830330,0.000752342
366832:8690,04/30/23 10:34:41,239,HLT_PFJet400_v23,0.001209528,0.001079834
366833:8690,04/30/23 12:14:15,613,HLT_PFJet400_v23,0.002202312,0.002055666
366838:8691,04/30/23 18:25:11,112,HLT_PFJet400_v23,0.000443426,0.000396472
366840:8691,04/30/23 19:16:50,179,HLT_PFJet400_v23,0.000921469,0.000776140
366841:8691,04/30/23 20:30:41,258,HLT_PFJet400_v23,0.001202606,0.001076523
366850:8692,05/01/23 01:02:36,141,HLT_PFJet400_v23,0.000624206,0.000561690
366933:8701,05/03/23 00:56:24,1170,HLT_PFJet400_v23,0.013702381,0.012819346
367062:8723,05/05/23 11:39:00,13,HLT_PFJet400_v23,0.000037081,0.000031380
367063:8723,05/05/23 11:50:57,15,HLT_PFJet400_v23,0.000047608,0.000040291
367064:8723,05/05/23 12:00:27,323,HLT_PFJet400_v23,0.001264145,0.001145018
367065:8723,05/05/23 15:09:07,262,HLT_PFJet400_v23,0.001161739,0.001049733
367070:8724,05/05/23 20:59:27,83,HLT_PFJet400_v23,0.000458750,0.000444662
367079:8725,05/06/23 03:51:50,713,HLT_PFJet400_v23,0.008206475,0.007695425
367095:8728,05/06/23 11:29:01,564,HLT_PFJet400_v23,0.007491742,0.007061519
367100:8729,05/06/23 18:09:21,346,HLT_PFJet400_v23,0.004469497,0.004198941
367102:8729,05/06/23 20:28:47,75,HLT_PFJet400_v23,0.001053379,0.000975078
367103:8729,05/06/23 21:02:02,64,HLT_PFJet400_v23,0.000903266,0.000827118
367104:8729,05/06/23 21:31:29,1082,HLT_PFJet400_v23,0.012262236,0.011754599
367111:8730,05/07/23 07:24:23,288,HLT_PFJet400_v23,0.003589170,0.003324838
367112:8730,05/07/23 09:19:35,1438,HLT_PFJet400_v23,0.016380453,0.015648691
367127:8731,05/07/23 20:42:33,333,HLT_PFJet400_v23,0.006392095,0.005951087
367128:8731,05/07/23 22:54:19,7,HLT_PFJet400_v23,0.000155612,0.000138866
367129:8731,05/07/23 23:01:53,3,HLT_PFJet400_v23,0.000065500,0.000062682
367130:8731,05/07/23 23:05:47,153,HLT_PFJet400_v23,0.002770862,0.002621220
