#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_PFJet450_v28,0.000031455,0.000031020
378993:9475,04/06/24 08:01:17,79,HLT_PFJet450_v28,0.000009607,0.000009384
379011:9475,04/06/24 11:58:18,399,HLT_PFJet450_v28,0.000063075,0.000057031
379012:9475,04/06/24 14:37:43,73,HLT_PFJet450_v28,0.000010317,0.000010176
379028:9476,04/06/24 19:56:15,534,HLT_PFJet450_v28,0.000094798,0.000092583
379031:9476,04/07/24 00:02:34,289,HLT_PFJet450_v28,0.000047379,0.000046390
379058:9479,04/07/24 09:34:30,826,HLT_PFJet450_v28,0.001244613,0.001212220
379075:9483,04/08/24 02:29:09,375,HLT_PFJet450_v28,0.000520375,0.000508339
379154:9485,04/08/24 22:13:02,1049,HLT_PFJet450_v28,0.001441400,0.001406738
379238:9496,04/10/24 16:44:48,286,HLT_PFJet450_v28,0.002198000,0.002121513
379243:9497,04/10/24 20:30:21,299,HLT_PFJet450_v28,0.002438536,0.002398211
379252:9499,04/11/24 01:57:11,644,HLT_PFJet450_v28,0.005714340,0.005580786
379253:9499,04/11/24 06:08:54,104,HLT_PFJet450_v28,0.000986687,0.000973199
379338:9510,04/12/24 14:27:21,170,HLT_PFJet450_v28,0.001612611,0.001459146
379774:9549,04/21/24 03:13:58,157,HLT_PFJet450_v28,0.006513014,0.006209329
379355:9512,04/13/24 03:39:10,20,HLT_PFJet450_v28,0.000377107,0.000358442
379416:9517,04/14/24 17:34:18,195,HLT_PFJet450_v28,0.005278000,0.004958147
379420:9518,04/14/24 21:02:55,516,HLT_PFJet450_v28,0.014019888,0.013239419
379425:9519,04/15/24 02:03:52,203,HLT_PFJet450_v28,0.004868752,0.004582820
379433:9520,04/15/24 05:13:11,21,HLT_PFJet450_v28,0.000180745,0.000164676
379442:9521,04/15/24 07:07:46,269,HLT_PFJet450_v28,0.007015549,0.006603353
379454:9523,04/15/24 11:25:22,498,HLT_PFJet450_v28,0.013574992,0.012345190
379456:9523,04/15/24 14:47:09,1199,HLT_PFJet450_v28,0.026733471,0.025116255
379470:9525,04/16/24 00:38:26,800,HLT_PFJet450_v28,0.022264056,0.020940433
379530:9530,04/17/24 01:12:13,593,HLT_PFJet450_v28,0.023992588,0.022419364
379618:9537,04/18/24 08:43:50,360,HLT_PFJet450_v28,0.012831801,0.012359542
379660:9539,04/18/24 16:49:04,1507,HLT_PFJet450_v28,0.054550497,0.052586091
379661:9539,04/19/24 02:37:20,406,HLT_PFJet450_v28,0.010101268,0.009965979
379729:9543,04/19/24 17:38:45,1465,HLT_PFJet450_v28,0.057520760,0.055759618
379765:9548,04/20/24 14:03:25,1695,HLT_PFJet450_v28,0.069717617,0.066248403
379866:9559,04/23/24 20:37:55,1347,HLT_PFJet450_v28,0.035289627,0.034355862
379984:9562,04/25/24 11:47:58,913,HLT_PFJet450_v28,0.029937106,0.029106012
380001:9564,04/25/24 20:39:17,691,HLT_PFJet450_v28,0.030026197,0.028978810
380005:9565,04/26/24 03:10:19,1062,HLT_PFJet450_v28,0.046104127,0.044192048
380007:9565,04/26/24 10:12:08,129,HLT_PFJet450_v28,0.004625744,0.004397361
380029:9566,04/26/24 15:02:20,55,HLT_PFJet450_v28,0.001408507,0.001298429
380030:9566,04/26/24 15:37:30,346,HLT_PFJet450_v28,0.018290424,0.017356054
380032:9566,04/26/24 19:11:02,19,HLT_PFJet450_v28,0.000915839,0.000861459
380033:9566,04/26/24 19:21:25,53,HLT_PFJet450_v28,0.002613083,0.002493538
380043:9567,04/26/24 22:44:31,900,HLT_PFJet450_v28,0.045116090,0.042916353
380049:9568,04/27/24 07:10:37,871,HLT_PFJet450_v28,0.044344506,0.041838367
380051:9568,04/27/24 12:55:48,735,HLT_PFJet450_v28,0.028357669,0.027326461
380052:9568,04/27/24 17:45:43,12,HLT_PFJet450_v28,0.000384538,0.000359527
380053:9568,04/27/24 17:57:47,128,HLT_PFJet450_v28,0.003955749,0.003832297
380056:9568,04/27/24 18:55:05,168,HLT_PFJet450_v28,0.004662556,0.004484279
380066:9569,04/27/24 22:17:19,552,HLT_PFJet450_v28,0.027691148,0.026354033
380074:9570,04/28/24 06:24:04,1306,HLT_PFJet450_v28,0.061090381,0.058470932
380115:9573,04/29/24 09:42:28,1792,HLT_PFJet450_v28,0.079356133,0.076257630
380195:9575,04/30/24 23:30:14,7,HLT_PFJet450_v28,0.000400378,0.000367906
380197:9575,05/01/24 00:09:50,357,HLT_PFJet450_v28,0.020538661,0.019426586
380235:9579,05/01/24 17:29:48,256,HLT_PFJet450_v28,0.012781486,0.011975117
380236:9579,05/01/24 19:12:09,57,HLT_PFJet450_v28,0.003280096,0.002930874
379613:9537,04/18/24 03:20:17,120,HLT_PFJet450_v29,0.003998093,0.003776924
379617:9537,04/18/24 04:23:35,664,HLT_PFJet450_v29,0.028243785,0.026521666
380306:9585,05/02/24 19:54:33,246,HLT_PFJet450_v29,0.012374545,0.011454678
380308:9585,05/02/24 21:44:38,35,HLT_PFJet450_v29,0.002013215,0.001689070
380309:9585,05/02/24 22:01:23,351,HLT_PFJet450_v29,0.020140896,0.018738390
380310:9585,05/03/24 00:19:19,1131,HLT_PFJet450_v29,0.047831057,0.046217393
380346:9593,05/03/24 16:31:34,566,HLT_PFJet450_v29,0.030294087,0.028449414
380348:9593,05/03/24 20:21:15,341,HLT_PFJet450_v29,0.017173915,0.016291629
380349:9593,05/03/24 22:39:04,695,HLT_PFJet450_v29,0.026510026,0.025694798
380360:9594,05/04/24 06:56:16,1928,HLT_PFJet450_v29,0.085108923,0.081915899
380377:9602,05/04/24 23:50:36,420,HLT_PFJet450_v29,0.022476891,0.021252744
380384:9603,05/05/24 06:57:47,751,HLT_PFJet450_v29,0.041096908,0.038921798
380385:9603,05/05/24 11:54:10,1247,HLT_PFJet450_v29,0.049447624,0.047735004
380399:9604,05/05/24 23:17:17,494,HLT_PFJet450_v29,0.026030624,0.024758343
380403:9604,05/06/24 03:21:24,251,HLT_PFJet450_v29,0.013302312,0.012679219
380444:9605,05/06/24 15:21:13,325,HLT_PFJet450_v29,0.018079291,0.016811570
380446:9605,05/06/24 17:33:05,1028,HLT_PFJet450_v29,0.051304263,0.049138116
380447:9605,05/07/24 00:20:05,810,HLT_PFJet450_v29,0.026017165,0.025414546
380466:9606,05/07/24 09:21:16,504,HLT_PFJet450_v29,0.027309152,0.025357983
380470:9606,05/07/24 13:06:34,1634,HLT_PFJet450_v29,0.065495278,0.063515825
380481:9608,05/08/24 05:37:58,860,HLT_PFJet450_v29,0.046973754,0.044315834
380513:9609,05/08/24 20:35:34,1158,HLT_PFJet450_v29,0.061013090,0.057957411
380517:9609,05/09/24 04:20:58,39,HLT_PFJet450_v29,0.001659020,0.001570545
380531:9610,05/09/24 07:02:24,1023,HLT_PFJet450_v29,0.054822194,0.051620375
380534:9610,05/09/24 13:56:20,746,HLT_PFJet450_v29,0.028283786,0.027461785
380537:9610,05/09/24 19:09:12,58,HLT_PFJet450_v29,0.001790145,0.001726029
380538:9610,05/09/24 19:36:56,144,HLT_PFJet450_v29,0.004055594,0.003972417
380564:9611,05/09/24 23:47:54,742,HLT_PFJet450_v29,0.040797310,0.038533064
380567:9611,05/10/24 04:54:24,1081,HLT_PFJet450_v29,0.042641776,0.041430662
380623:9614,05/11/24 20:40:52,388,HLT_PFJet450_v29,0.020511675,0.019254838
380624:9614,05/11/24 23:16:57,809,HLT_PFJet450_v29,0.041246399,0.039305522
380625:9614,05/12/24 04:34:00,7,HLT_PFJet450_v29,0.000287687,0.000267687
380626:9614,05/12/24 04:39:38,14,HLT_PFJet450_v29,0.000569703,0.000527867
380627:9614,05/12/24 04:48:42,808,HLT_PFJet450_v29,0.027311997,0.026686258
380647:9618,05/12/24 22:28:59,375,HLT_PFJet450_v29,0.020498892,0.018606130
