#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
367619:8782,05/17/23 08:19:47,577,HLT_PFJet60_v24,0.000002947,0.000002842
367615:8782,05/17/23 02:49:11,432,HLT_PFJet60_v24,0.000002673,0.000002534
367554:8775,05/16/23 02:39:53,312,HLT_PFJet60_v24,0.000002021,0.000001913
367553:8775,05/15/23 22:27:38,644,HLT_PFJet60_v24,0.000004278,0.000004056
367552:8775,05/15/23 22:21:36,11,HLT_PFJet60_v24,0.000000018,0.000000014
367516:8773,05/15/23 09:48:44,1236,HLT_PFJet60_v24,0.000006782,0.000006410
367515:8773,05/15/23 05:38:07,625,HLT_PFJet60_v24,0.000003916,0.000003633
367477:8771,05/14/23 14:23:22,1289,HLT_PFJet60_v24,0.000006346,0.000006101
367475:8771,05/14/23 10:33:10,579,HLT_PFJet60_v24,0.000003738,0.000003426
367416:8754,05/13/23 03:40:55,55,HLT_PFJet60_v24,0.000000193,0.000000184
367415:8754,05/13/23 02:52:02,97,HLT_PFJet60_v24,0.000000355,0.000000344
367413:8754,05/12/23 18:13:16,1294,HLT_PFJet60_v24,0.000006701,0.000006324
367337:8746,05/11/23 12:49:42,1046,HLT_PFJet60_v24,0.000004665,0.000004491
367336:8746,05/11/23 11:40:58,169,HLT_PFJet60_v24,0.000001038,0.000000988
367315:8741,05/10/23 21:11:42,893,HLT_PFJet60_v24,0.000004040,0.000003867
367314:8741,05/10/23 20:55:00,20,HLT_PFJet60_v24,0.000000107,0.000000098
367312:8741,05/10/23 19:23:55,216,HLT_PFJet60_v24,0.000000711,0.000000666
367271:8739,05/10/23 12:08:10,135,HLT_PFJet60_v24,0.000000478,0.000000458
367270:8739,05/10/23 05:48:56,961,HLT_PFJet60_v24,0.000004502,0.000004268
367269:8739,05/10/23 05:33:29,33,HLT_PFJet60_v24,0.000000176,0.000000148
367264:8738,05/09/23 19:31:14,847,HLT_PFJet60_v24,0.000003588,0.000003421
367263:8738,05/09/23 19:23:59,12,HLT_PFJet60_v24,0.000000063,0.000000053
367262:8738,05/09/23 17:32:02,262,HLT_PFJet60_v24,0.000001400,0.000001305
367260:8738,05/09/23 16:06:48,187,HLT_PFJet60_v24,0.000000818,0.000000777
367234:8736,05/09/23 06:33:08,501,HLT_PFJet60_v24,0.000002036,0.000001965
367232:8736,05/08/23 23:59:29,996,HLT_PFJet60_v24,0.000005058,0.000004842
367231:8736,05/08/23 23:48:31,22,HLT_PFJet60_v24,0.000000118,0.000000108
367229:8736,05/08/23 23:25:47,34,HLT_PFJet60_v24,0.000000182,0.000000170
367133:8731,05/08/23 01:12:46,275,HLT_PFJet60_v24,0.000001304,0.000001251
367131:8731,05/08/23 00:12:34,149,HLT_PFJet60_v24,0.000000621,0.000000594
