#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
366727:8675,04/27/23 22:25:55,107,HLT_PFJet80_v23,0.000000404,0.000000378
366729:8675,04/28/23 00:38:32,388,HLT_PFJet80_v23,0.000001631,0.000001533
366801:8685,04/29/23 11:55:16,415,HLT_PFJet80_v23,0.000001527,0.000001417
366802:8685,04/29/23 14:38:53,22,HLT_PFJet80_v23,0.000000074,0.000000067
366804:8685,04/29/23 15:00:44,128,HLT_PFJet80_v23,0.000000379,0.000000366
366820:8686,04/29/23 18:20:26,364,HLT_PFJet80_v23,0.000001451,0.000001317
366821:8686,04/29/23 20:43:29,967,HLT_PFJet80_v23,0.000003502,0.000003269
366829:8690,04/30/23 08:56:23,215,HLT_PFJet80_v23,0.000000790,0.000000716
366832:8690,04/30/23 10:34:41,239,HLT_PFJet80_v23,0.000001141,0.000001018
366833:8690,04/30/23 12:14:16,613,HLT_PFJet80_v23,0.000002067,0.000001932
366838:8691,04/30/23 18:25:11,112,HLT_PFJet80_v23,0.000000415,0.000000371
366840:8691,04/30/23 19:16:50,179,HLT_PFJet80_v23,0.000000858,0.000000723
366841:8691,04/30/23 20:30:41,258,HLT_PFJet80_v23,0.000001121,0.000001004
366850:8692,05/01/23 01:02:36,141,HLT_PFJet80_v23,0.000000582,0.000000524
366933:8701,05/03/23 00:56:24,1170,HLT_PFJet80_v23,0.000012714,0.000011895
367062:8723,05/05/23 11:39:01,13,HLT_PFJet80_v23,0.000000035,0.000000030
367063:8723,05/05/23 11:50:58,15,HLT_PFJet80_v23,0.000000045,0.000000038
367064:8723,05/05/23 12:00:27,323,HLT_PFJet80_v23,0.000001174,0.000001063
367065:8723,05/05/23 15:09:08,262,HLT_PFJet80_v23,0.000001080,0.000000976
367070:8724,05/05/23 20:59:27,83,HLT_PFJet80_v23,0.000000427,0.000000414
367079:8725,05/06/23 03:51:51,713,HLT_PFJet80_v23,0.000007609,0.000007138
367095:8728,05/06/23 11:29:02,564,HLT_PFJet80_v23,0.000006906,0.000006510
367100:8729,05/06/23 18:09:21,346,HLT_PFJet80_v23,0.000004114,0.000003870
367102:8729,05/06/23 20:28:48,75,HLT_PFJet80_v23,0.000000970,0.000000898
367103:8729,05/06/23 21:02:02,64,HLT_PFJet80_v23,0.000000832,0.000000762
367104:8729,05/06/23 21:31:30,1082,HLT_PFJet80_v23,0.000011358,0.000010890
367111:8730,05/07/23 07:24:23,288,HLT_PFJet80_v23,0.000003307,0.000003063
