#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
366727:8675,04/27/23 22:25:55,107,HLT_PFJetFwd140_v21,0.000026037,0.000024364
366729:8675,04/28/23 00:38:32,388,HLT_PFJetFwd140_v21,0.000105004,0.000098695
366801:8685,04/29/23 11:55:16,415,HLT_PFJetFwd140_v21,0.000098323,0.000091229
366802:8685,04/29/23 14:38:53,22,HLT_PFJetFwd140_v21,0.000004744,0.000004342
366804:8685,04/29/23 15:00:44,128,HLT_PFJetFwd140_v21,0.000024386,0.000023551
366820:8686,04/29/23 18:20:26,364,HLT_PFJetFwd140_v21,0.000093421,0.000084805
366821:8686,04/29/23 20:43:29,967,HLT_PFJetFwd140_v21,0.000225511,0.000210520
366829:8690,04/30/23 08:56:23,215,HLT_PFJetFwd140_v21,0.000050880,0.000046103
366832:8690,04/30/23 10:34:41,239,HLT_PFJetFwd140_v21,0.000073455,0.000065578
366833:8690,04/30/23 12:14:16,613,HLT_PFJetFwd140_v21,0.000133092,0.000124418
366838:8691,04/30/23 18:25:11,112,HLT_PFJetFwd140_v21,0.000026706,0.000023884
366840:8691,04/30/23 19:16:50,179,HLT_PFJetFwd140_v21,0.000055241,0.000046528
366841:8691,04/30/23 20:30:41,258,HLT_PFJetFwd140_v21,0.000072170,0.000064656
366850:8692,05/01/23 01:02:36,141,HLT_PFJetFwd140_v21,0.000037497,0.000033742
366933:8701,05/03/23 00:56:24,1170,HLT_PFJetFwd140_v21,0.000818716,0.000765997
367062:8723,05/05/23 11:39:01,13,HLT_PFJetFwd140_v21,0.000002255,0.000001908
367063:8723,05/05/23 11:50:58,15,HLT_PFJetFwd140_v21,0.000002873,0.000002430
367064:8723,05/05/23 12:00:27,323,HLT_PFJetFwd140_v21,0.000075591,0.000068468
367065:8723,05/05/23 15:09:08,262,HLT_PFJetFwd140_v21,0.000069520,0.000062861
367070:8724,05/05/23 20:59:27,83,HLT_PFJetFwd140_v21,0.000027472,0.000026632
367079:8725,05/06/23 03:51:51,713,HLT_PFJetFwd140_v21,0.000489981,0.000459633
367095:8728,05/06/23 11:29:02,564,HLT_PFJetFwd140_v21,0.000444701,0.000419175
367100:8729,05/06/23 18:09:21,346,HLT_PFJetFwd140_v21,0.000264890,0.000249225
367102:8729,05/06/23 20:28:48,75,HLT_PFJetFwd140_v21,0.000062438,0.000057824
367103:8729,05/06/23 21:02:02,64,HLT_PFJetFwd140_v21,0.000053557,0.000049045
367104:8729,05/06/23 21:31:30,1082,HLT_PFJetFwd140_v21,0.000731382,0.000701225
367111:8730,05/07/23 07:24:23,288,HLT_PFJetFwd140_v21,0.000212922,0.000197244
367112:8730,05/07/23 09:19:36,1438,HLT_PFJetFwd140_v21,0.000975727,0.000932220
367127:8731,05/07/23 20:42:33,333,HLT_PFJetFwd140_v21,0.000378113,0.000352034
367128:8731,05/07/23 22:54:20,7,HLT_PFJetFwd140_v21,0.000009202,0.000008210
367129:8731,05/07/23 23:01:54,3,HLT_PFJetFwd140_v21,0.000003884,0.000003717
367130:8731,05/07/23 23:05:47,153,HLT_PFJetFwd140_v21,0.000164275,0.000155428
367131:8731,05/08/23 00:12:34,149,HLT_PFJetFwd140_v21,0.000151019,0.000144329
367133:8731,05/08/23 01:12:46,275,HLT_PFJetFwd140_v21,0.000316417,0.000303606
367228:8736,05/08/23 21:46:35,239,HLT_PFJetFwd140_v21,0.000220567,0.000207376
367229:8736,05/08/23 23:25:47,34,HLT_PFJetFwd140_v21,0.000044173,0.000041322
367230:8736,05/08/23 23:44:57,1,HLT_PFJetFwd140_v21,0.000001239,0.000001111
367231:8736,05/08/23 23:48:31,22,HLT_PFJetFwd140_v21,0.000028550,0.000026168
367232:8736,05/08/23 23:59:29,996,HLT_PFJetFwd140_v21,0.001227383,0.001174974
367234:8736,05/09/23 06:33:08,501,HLT_PFJetFwd140_v21,0.000494288,0.000476949
367260:8738,05/09/23 16:06:48,187,HLT_PFJetFwd140_v21,0.000198136,0.000188213
367262:8738,05/09/23 17:32:02,262,HLT_PFJetFwd140_v21,0.000341268,0.000318033
367263:8738,05/09/23 19:23:59,12,HLT_PFJetFwd140_v21,0.000015415,0.000012994
367264:8738,05/09/23 19:31:14,847,HLT_PFJetFwd140_v21,0.000872208,0.000831623
367267:8739,05/10/23 03:37:29,278,HLT_PFJetFwd140_v21,0.000250852,0.000234529
367269:8739,05/10/23 05:33:29,33,HLT_PFJetFwd140_v21,0.000042901,0.000036197
367270:8739,05/10/23 05:48:56,961,HLT_PFJetFwd140_v21,0.001093667,0.001036903
367271:8739,05/10/23 12:08:10,135,HLT_PFJetFwd140_v21,0.000115954,0.000111264
