#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378981:9473,04/05/24 16:26:33,779,HLT_PFJetFwd200_v25,0.000005020,0.000004807
378985:9474,04/06/24 00:24:34,768,HLT_PFJetFwd200_v25,0.000005711,0.000005632
378993:9475,04/06/24 08:01:17,79,HLT_PFJetFwd200_v25,0.000001789,0.000001747
378994:9475,04/06/24 08:35:14,27,HLT_PFJetFwd200_v25,0.000000809,0.000000778
378995:9475,04/06/24 08:48:26,25,HLT_PFJetFwd200_v25,0.000000866,0.000000829
378996:9475,04/06/24 09:00:58,23,HLT_PFJetFwd200_v25,0.000000840,0.000000813
378997:9475,04/06/24 09:12:52,22,HLT_PFJetFwd200_v25,0.000000792,0.000000775
378998:9475,04/06/24 09:24:32,22,HLT_PFJetFwd200_v25,0.000000864,0.000000827
378999:9475,04/06/24 09:36:18,24,HLT_PFJetFwd200_v25,0.000000930,0.000000880
379000:9475,04/06/24 09:48:29,23,HLT_PFJetFwd200_v25,0.000000877,0.000000853
379001:9475,04/06/24 10:00:48,23,HLT_PFJetFwd200_v25,0.000000863,0.000000807
379002:9475,04/06/24 10:12:36,2,HLT_PFJetFwd200_v25,0.000000074,0.000000006
379003:9475,04/06/24 10:15:00,27,HLT_PFJetFwd200_v25,0.000000992,0.000000914
379004:9475,04/06/24 10:28:03,25,HLT_PFJetFwd200_v25,0.000000904,0.000000859
379005:9475,04/06/24 10:40:36,23,HLT_PFJetFwd200_v25,0.000000818,0.000000778
379006:9475,04/06/24 10:52:20,24,HLT_PFJetFwd200_v25,0.000000840,0.000000789
379007:9475,04/06/24 11:04:31,23,HLT_PFJetFwd200_v25,0.000000791,0.000000758
379008:9475,04/06/24 11:16:37,23,HLT_PFJetFwd200_v25,0.000000781,0.000000753
379009:9475,04/06/24 11:28:47,22,HLT_PFJetFwd200_v25,0.000000735,0.000000716
379010:9475,04/06/24 11:40:32,23,HLT_PFJetFwd200_v25,0.000000758,0.000000722
379011:9475,04/06/24 11:58:18,399,HLT_PFJetFwd200_v25,0.000011748,0.000010622
379012:9475,04/06/24 14:37:43,73,HLT_PFJetFwd200_v25,0.000001920,0.000001894
379028:9476,04/06/24 19:56:15,534,HLT_PFJetFwd200_v25,0.000017665,0.000017253
379029:9476,04/06/24 23:25:47,67,HLT_PFJetFwd200_v25,0.000002247,0.000001175
379030:9476,04/06/24 23:55:39,6,HLT_PFJetFwd200_v25,0.000000197,0
379031:9476,04/07/24 00:02:34,289,HLT_PFJetFwd200_v25,0.000008823,0.000008639
379058:9479,04/07/24 09:34:30,826,HLT_PFJetFwd200_v25,0.000226760,0.000220857
379075:9483,04/08/24 02:29:09,375,HLT_PFJetFwd200_v25,0.000094892,0.000092697
379154:9485,04/08/24 22:13:02,1049,HLT_PFJetFwd200_v25,0.000263027,0.000256586
379238:9496,04/10/24 16:44:24,286,HLT_PFJetFwd200_v25,0.000394661,0.000380980
379243:9497,04/10/24 20:30:21,297,HLT_PFJetFwd200_v25,0.000438507,0.000431250
379252:9499,04/11/24 01:57:11,644,HLT_PFJetFwd200_v25,0.001027228,0.001003217
379253:9499,04/11/24 06:08:54,104,HLT_PFJetFwd200_v25,0.000177299,0.000174875
379338:9510,04/12/24 14:27:21,170,HLT_PFJetFwd200_v25,0.000289783,0.000262205
379349:9512,04/12/24 21:25:43,311,HLT_PFJetFwd200_v25,0.000974662,0.000948038
379350:9512,04/12/24 23:29:01,228,HLT_PFJetFwd200_v25,0.000824887,0.000806797
379355:9512,04/13/24 03:39:10,20,HLT_PFJetFwd200_v25,0.000067938,0.000064575
379415:9517,04/14/24 17:21:35,28,HLT_PFJetFwd200_v25,0.000049201,0.000029766
379416:9517,04/14/24 17:34:19,225,HLT_PFJetFwd200_v25,0.001092645,0.000991569
379420:9518,04/14/24 21:02:55,517,HLT_PFJetFwd200_v25,0.002537823,0.002395150
379425:9519,04/15/24 02:03:52,203,HLT_PFJetFwd200_v25,0.000879897,0.000828183
379433:9520,04/15/24 05:13:11,21,HLT_PFJetFwd200_v25,0.000032814,0.000029886
379442:9521,04/15/24 07:07:46,269,HLT_PFJetFwd200_v25,0.001266644,0.001192181
379454:9523,04/15/24 11:25:22,508,HLT_PFJetFwd200_v25,0.002503818,0.002271522
379456:9523,04/15/24 14:47:09,1199,HLT_PFJetFwd200_v25,0.004829645,0.004537607
379470:9525,04/16/24 00:38:26,800,HLT_PFJetFwd200_v25,0.004017445,0.003778282
379530:9530,04/17/24 01:12:13,593,HLT_PFJetFwd200_v25,0.004454041,0.004161277
379618:9537,04/18/24 08:43:50,360,HLT_PFJetFwd200_v25,0.002382147,0.002294473
379660:9539,04/18/24 16:49:04,1507,HLT_PFJetFwd200_v25,0.010126979,0.009762255
379661:9539,04/19/24 02:37:20,406,HLT_PFJetFwd200_v25,0.001875240,0.001850124
379729:9543,04/19/24 17:38:45,1466,HLT_PFJetFwd200_v25,0.010686673,0.010359523
379765:9548,04/20/24 14:03:25,1696,HLT_PFJetFwd200_v25,0.012951558,0.012307166
379766:9548,04/21/24 01:05:48,3,HLT_PFJetFwd200_v25,0.000015970,0
379774:9549,04/21/24 03:13:58,156,HLT_PFJetFwd200_v25,0.001200142,0.001143985
379866:9559,04/23/24 20:37:55,1337,HLT_PFJetFwd200_v25,0.006553176,0.006379719
379984:9562,04/25/24 11:47:58,913,HLT_PFJetFwd200_v25,0.005557609,0.005403207
380001:9564,04/25/24 20:39:17,692,HLT_PFJetFwd200_v25,0.005582379,0.005387751
380005:9565,04/26/24 03:10:19,1069,HLT_PFJetFwd200_v25,0.008617994,0.008226728
380006:9565,04/26/24 10:09:58,2,HLT_PFJetFwd200_v25,0.000013809,0.000000135
380007:9565,04/26/24 10:12:08,129,HLT_PFJetFwd200_v25,0.000858742,0.000816346
380029:9566,04/26/24 15:02:20,82,HLT_PFJetFwd200_v25,0.000473007,0.000351311
380030:9566,04/26/24 15:37:30,346,HLT_PFJetFwd200_v25,0.003395507,0.003222088
380032:9566,04/26/24 18:13:32,167,HLT_PFJetFwd200_v25,0.001558014,0.001468182
380033:9566,04/26/24 19:21:25,53,HLT_PFJetFwd200_v25,0.000485103,0.000462912
380043:9567,04/26/24 22:44:31,900,HLT_PFJetFwd200_v25,0.008375496,0.007967113
380049:9568,04/27/24 07:10:37,871,HLT_PFJetFwd200_v25,0.008232248,0.007766538
380050:9568,04/27/24 12:52:39,4,HLT_PFJetFwd200_v25,0.000034420,0.000000904
380051:9568,04/27/24 12:55:48,735,HLT_PFJetFwd200_v25,0.005264431,0.005072992
380052:9568,04/27/24 17:45:43,22,HLT_PFJetFwd200_v25,0.000130785,0.000066752
380053:9568,04/27/24 17:57:47,128,HLT_PFJetFwd200_v25,0.000734361,0.000711441
380056:9568,04/27/24 18:55:05,168,HLT_PFJetFwd200_v25,0.000865525,0.000832396
380066:9569,04/27/24 22:17:19,552,HLT_PFJetFwd200_v25,0.005140654,0.004890582
380074:9570,04/28/24 06:24:04,1307,HLT_PFJetFwd200_v25,0.011349607,0.010863022
380115:9573,04/29/24 09:42:28,1792,HLT_PFJetFwd200_v25,0.014731924,0.014156870
380195:9575,04/30/24 22:56:49,170,HLT_PFJetFwd200_v25,0.001590577,0.000952474
380196:9575,05/01/24 00:05:16,6,HLT_PFJetFwd200_v25,0.000064296,0.000047658
380197:9575,05/01/24 00:09:50,357,HLT_PFJetFwd200_v25,0.003812879,0.003606434
380235:9579,05/01/24 17:29:48,257,HLT_PFJetFwd200_v25,0.002383361,0.002224233
380236:9579,05/01/24 19:12:09,78,HLT_PFJetFwd200_v25,0.000831740,0.000679979
