#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
366727:8675,04/27/23 22:25:55,107,HLT_PFJetFwd320_v22,0.001762669,0.001649331
366729:8675,04/28/23 00:38:32,388,HLT_PFJetFwd320_v22,0.007091295,0.006664917
366801:8685,04/29/23 11:55:15,415,HLT_PFJetFwd320_v22,0.006453347,0.005986970
366802:8685,04/29/23 14:38:53,22,HLT_PFJetFwd320_v22,0.000308977,0.000281833
366804:8685,04/29/23 15:00:43,128,HLT_PFJetFwd320_v22,0.001591836,0.001534411
366820:8686,04/29/23 18:20:25,364,HLT_PFJetFwd320_v22,0.006207150,0.005632809
366821:8686,04/29/23 20:43:28,967,HLT_PFJetFwd320_v22,0.014811865,0.013822410
366829:8690,04/30/23 08:56:23,215,HLT_PFJetFwd320_v22,0.003321320,0.003009368
366832:8690,04/30/23 10:34:41,239,HLT_PFJetFwd320_v22,0.004838110,0.004319337
366833:8690,04/30/23 12:14:15,613,HLT_PFJetFwd320_v22,0.008809248,0.008222664
366838:8691,04/30/23 18:25:11,112,HLT_PFJetFwd320_v22,0.001773703,0.001585887
366840:8691,04/30/23 19:16:50,179,HLT_PFJetFwd320_v22,0.003685878,0.003104559
366841:8691,04/30/23 20:30:41,258,HLT_PFJetFwd320_v22,0.004810424,0.004306094
366850:8692,05/01/23 01:02:36,141,HLT_PFJetFwd320_v22,0.002496825,0.002246761
366933:8701,05/03/23 00:56:24,1170,HLT_PFJetFwd320_v22,0.054809525,0.051277386
367062:8723,05/05/23 11:39:00,13,HLT_PFJetFwd320_v22,0.000148323,0.000125519
367063:8723,05/05/23 11:50:57,15,HLT_PFJetFwd320_v22,0.000190430,0.000161165
367064:8723,05/05/23 12:00:27,323,HLT_PFJetFwd320_v22,0.005056578,0.004580071
367065:8723,05/05/23 15:09:07,262,HLT_PFJetFwd320_v22,0.004646956,0.004198930
367070:8724,05/05/23 20:59:27,83,HLT_PFJetFwd320_v22,0.001835000,0.001778648
367079:8725,05/06/23 03:51:50,713,HLT_PFJetFwd320_v22,0.032825899,0.030781701
367095:8728,05/06/23 11:29:01,564,HLT_PFJetFwd320_v22,0.029966970,0.028246077
367100:8729,05/06/23 18:09:21,346,HLT_PFJetFwd320_v22,0.017877989,0.016795764
367102:8729,05/06/23 20:28:47,75,HLT_PFJetFwd320_v22,0.004213515,0.003900311
367103:8729,05/06/23 21:02:02,64,HLT_PFJetFwd320_v22,0.003613064,0.003308470
367104:8729,05/06/23 21:31:29,1082,HLT_PFJetFwd320_v22,0.049048943,0.047018397
367111:8730,05/07/23 07:24:23,288,HLT_PFJetFwd320_v22,0.014356679,0.013299350
367112:8730,05/07/23 09:19:35,1438,HLT_PFJetFwd320_v22,0.065521813,0.062594764
367127:8731,05/07/23 20:42:33,333,HLT_PFJetFwd320_v22,0.025568381,0.023804347
367128:8731,05/07/23 22:54:19,7,HLT_PFJetFwd320_v22,0.000622448,0.000555465
367129:8731,05/07/23 23:01:53,3,HLT_PFJetFwd320_v22,0.000261999,0.000250727
367130:8731,05/07/23 23:05:47,153,HLT_PFJetFwd320_v22,0.011083450,0.010484879
367131:8731,05/08/23 00:12:33,149,HLT_PFJetFwd320_v22,0.010173263,0.009722183
367133:8731,05/08/23 01:12:45,275,HLT_PFJetFwd320_v22,0.021363832,0.020499540
367228:8736,05/08/23 21:46:35,239,HLT_PFJetFwd320_v22,0.014868655,0.013979130
367229:8736,05/08/23 23:25:47,34,HLT_PFJetFwd320_v22,0.002996906,0.002803599
367230:8736,05/08/23 23:44:56,1,HLT_PFJetFwd320_v22,0.000087120,0.000078178
367231:8736,05/08/23 23:48:31,22,HLT_PFJetFwd320_v22,0.001940335,0.001778702
367232:8736,05/08/23 23:59:29,996,HLT_PFJetFwd320_v22,0.083119570,0.079568669
367234:8736,05/09/23 06:33:07,501,HLT_PFJetFwd320_v22,0.033190862,0.032026330
367260:8738,05/09/23 16:06:48,187,HLT_PFJetFwd320_v22,0.013385714,0.012714030
367262:8738,05/09/23 17:32:02,262,HLT_PFJetFwd320_v22,0.023109862,0.021536167
367263:8738,05/09/23 19:23:59,12,HLT_PFJetFwd320_v22,0.001042609,0.000879392
