#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378981:9473,04/05/24 16:26:33,99,HLT_PFJetFwd320_v26,0.000005261,0.000005209
378985:9474,04/06/24 00:24:34,768,HLT_PFJetFwd320_v26,0.000062909,0.000062039
378993:9475,04/06/24 08:01:17,79,HLT_PFJetFwd320_v26,0.000019214,0.000018767
379006:9475,04/06/24 10:52:20,23,HLT_PFJetFwd320_v26,0.000008636,0.000008461
379011:9475,04/06/24 11:58:18,399,HLT_PFJetFwd320_v26,0.000126149,0.000114061
379012:9475,04/06/24 14:37:43,73,HLT_PFJetFwd320_v26,0.000020633,0.000020351
379028:9476,04/06/24 19:56:15,534,HLT_PFJetFwd320_v26,0.000189597,0.000185167
379031:9476,04/07/24 00:02:34,289,HLT_PFJetFwd320_v26,0.000094758,0.000092781
379058:9479,04/07/24 09:34:30,826,HLT_PFJetFwd320_v26,0.002489226,0.002424441
379075:9483,04/08/24 02:29:09,375,HLT_PFJetFwd320_v26,0.001040751,0.001016678
379154:9485,04/08/24 22:13:02,1049,HLT_PFJetFwd320_v26,0.002882801,0.002813475
379238:9496,04/10/24 16:44:48,286,HLT_PFJetFwd320_v26,0.004396001,0.004243027
379243:9497,04/10/24 20:30:21,299,HLT_PFJetFwd320_v26,0.004877073,0.004796422
379252:9499,04/11/24 01:57:11,644,HLT_PFJetFwd320_v26,0.011428681,0.011161572
379253:9499,04/11/24 06:08:54,104,HLT_PFJetFwd320_v26,0.001973373,0.001946397
379338:9510,04/12/24 14:27:21,170,HLT_PFJetFwd320_v26,0.003225221,0.002918292
379774:9549,04/21/24 03:13:58,157,HLT_PFJetFwd320_v26,0.013026028,0.012418657
379355:9512,04/13/24 03:39:10,20,HLT_PFJetFwd320_v26,0.000754215,0.000716883
379416:9517,04/14/24 17:34:18,195,HLT_PFJetFwd320_v26,0.010556000,0.009916294
379420:9518,04/14/24 21:02:55,516,HLT_PFJetFwd320_v26,0.028039776,0.026478838
379425:9519,04/15/24 02:03:52,203,HLT_PFJetFwd320_v26,0.009737503,0.009165640
379433:9520,04/15/24 05:13:11,21,HLT_PFJetFwd320_v26,0.000361490,0.000329352
379442:9521,04/15/24 07:07:46,269,HLT_PFJetFwd320_v26,0.014031098,0.013206706
379454:9523,04/15/24 11:25:22,498,HLT_PFJetFwd320_v26,0.027149985,0.024690380
379456:9523,04/15/24 14:47:09,1199,HLT_PFJetFwd320_v26,0.053466942,0.050232509
379470:9525,04/16/24 00:38:26,800,HLT_PFJetFwd320_v26,0.044528113,0.041880865
379530:9530,04/17/24 01:12:13,593,HLT_PFJetFwd320_v26,0.047985175,0.044838728
379618:9537,04/18/24 08:43:50,360,HLT_PFJetFwd320_v26,0.025663602,0.024719084
379660:9539,04/18/24 16:49:04,1507,HLT_PFJetFwd320_v26,0.109100994,0.105172183
379661:9539,04/19/24 02:37:20,406,HLT_PFJetFwd320_v26,0.020202535,0.019931959
379729:9543,04/19/24 17:38:45,1465,HLT_PFJetFwd320_v26,0.115041521,0.111519235
379765:9548,04/20/24 14:03:25,1695,HLT_PFJetFwd320_v26,0.139435233,0.132496807
379866:9559,04/23/24 20:37:55,1347,HLT_PFJetFwd320_v26,0.070579253,0.068711725
379984:9562,04/25/24 11:47:58,913,HLT_PFJetFwd320_v26,0.059874212,0.058212025
380001:9564,04/25/24 20:39:17,691,HLT_PFJetFwd320_v26,0.060052394,0.057957621
380005:9565,04/26/24 03:10:19,1062,HLT_PFJetFwd320_v26,0.092208255,0.088384096
380007:9565,04/26/24 10:12:08,129,HLT_PFJetFwd320_v26,0.009251488,0.008794722
380029:9566,04/26/24 15:02:20,55,HLT_PFJetFwd320_v26,0.002817014,0.002596859
380030:9566,04/26/24 15:37:30,346,HLT_PFJetFwd320_v26,0.036580848,0.034712109
380032:9566,04/26/24 19:11:02,19,HLT_PFJetFwd320_v26,0.001831678,0.001722917
