#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_PFJetFwd60_v26,0.000017974,0.000017726
378993:9475,04/06/24 08:01:17,79,HLT_PFJetFwd60_v26,0.000001240,0.000001211
379011:9475,04/06/24 11:58:18,399,HLT_PFJetFwd60_v26,0.000008139,0.000007359
379012:9475,04/06/24 14:37:43,73,HLT_PFJetFwd60_v26,0.000001331,0.000001313
379028:9476,04/06/24 19:56:15,534,HLT_PFJetFwd60_v26,0.000012232,0.000011946
379031:9476,04/07/24 00:02:34,289,HLT_PFJetFwd60_v26,0.000006113,0.000005986
379058:9479,04/07/24 09:34:30,826,HLT_PFJetFwd60_v26,0.000021367,0.000020811
379075:9483,04/08/24 02:29:09,375,HLT_PFJetFwd60_v26,0.000008933,0.000008727
379154:9485,04/08/24 22:13:02,1049,HLT_PFJetFwd60_v26,0.000024745,0.000024150
379238:9496,04/10/24 16:44:48,286,HLT_PFJetFwd60_v26,0.000006076,0.000005865
379243:9497,04/10/24 20:30:21,299,HLT_PFJetFwd60_v26,0.000006741,0.000006629
379252:9499,04/11/24 01:57:11,644,HLT_PFJetFwd60_v26,0.000015796,0.000015427
379253:9499,04/11/24 06:08:54,104,HLT_PFJetFwd60_v26,0.000002728,0.000002690
379338:9510,04/12/24 14:27:21,170,HLT_PFJetFwd60_v26,0.000004458,0.000004034
379774:9549,04/21/24 03:13:58,157,HLT_PFJetFwd60_v26,0.000001764,0.000001681
379355:9512,04/13/24 03:39:10,20,HLT_PFJetFwd60_v26,0.000000492,0.000000467
379416:9517,04/14/24 17:34:18,195,HLT_PFJetFwd60_v26,0.000002346,0.000002204
379420:9518,04/14/24 21:02:55,516,HLT_PFJetFwd60_v26,0.000006232,0.000005885
379425:9519,04/15/24 02:03:52,203,HLT_PFJetFwd60_v26,0.000002164,0.000002037
379433:9520,04/15/24 05:13:11,21,HLT_PFJetFwd60_v26,0.000000080,0.000000073
379442:9521,04/15/24 07:07:46,269,HLT_PFJetFwd60_v26,0.000003118,0.000002935
379454:9523,04/15/24 11:25:22,498,HLT_PFJetFwd60_v26,0.000006034,0.000005487
379456:9523,04/15/24 14:47:09,1199,HLT_PFJetFwd60_v26,0.000011883,0.000011164
379470:9525,04/16/24 00:38:26,800,HLT_PFJetFwd60_v26,0.000009896,0.000009308
379530:9530,04/17/24 01:12:13,593,HLT_PFJetFwd60_v26,0.000007221,0.000006747
379618:9537,04/18/24 08:43:50,360,HLT_PFJetFwd60_v26,0.000003862,0.000003720
379660:9539,04/18/24 16:49:04,1507,HLT_PFJetFwd60_v26,0.000016368,0.000015779
379661:9539,04/19/24 02:37:20,406,HLT_PFJetFwd60_v26,0.000003031,0.000002990
379729:9543,04/19/24 17:38:45,1465,HLT_PFJetFwd60_v26,0.000015577,0.000015100
379765:9548,04/20/24 14:03:25,1695,HLT_PFJetFwd60_v26,0.000018880,0.000017940
379866:9559,04/23/24 20:37:55,1347,HLT_PFJetFwd60_v26,0.000015665,0.000015251
379984:9562,04/25/24 11:47:58,913,HLT_PFJetFwd60_v26,0.000011341,0.000011026
380001:9564,04/25/24 20:39:17,691,HLT_PFJetFwd60_v26,0.000008231,0.000007944
380005:9565,04/26/24 03:10:19,1062,HLT_PFJetFwd60_v26,0.000012639,0.000012115
380007:9565,04/26/24 10:12:08,129,HLT_PFJetFwd60_v26,0.000001268,0.000001205
380029:9566,04/26/24 15:02:20,55,HLT_PFJetFwd60_v26,0.000000342,0.000000315
380030:9566,04/26/24 15:37:30,346,HLT_PFJetFwd60_v26,0.000004439,0.000004212
380032:9566,04/26/24 19:11:02,19,HLT_PFJetFwd60_v26,0.000000222,0.000000209
380033:9566,04/26/24 19:21:25,53,HLT_PFJetFwd60_v26,0.000000634,0.000000605
380043:9567,04/26/24 22:44:31,900,HLT_PFJetFwd60_v26,0.000010950,0.000010416
380049:9568,04/27/24 07:10:37,871,HLT_PFJetFwd60_v26,0.000010763,0.000010154
380051:9568,04/27/24 12:55:48,735,HLT_PFJetFwd60_v26,0.000006883,0.000006632
380052:9568,04/27/24 17:45:43,12,HLT_PFJetFwd60_v26,0.000000093,0.000000087
380053:9568,04/27/24 17:57:47,128,HLT_PFJetFwd60_v26,0.000000960,0.000000930
380056:9568,04/27/24 18:55:05,168,HLT_PFJetFwd60_v26,0.000001132,0.000001088
380066:9569,04/27/24 22:17:19,552,HLT_PFJetFwd60_v26,0.000006721,0.000006396
380074:9570,04/28/24 06:24:04,1306,HLT_PFJetFwd60_v26,0.000014827,0.000014191
380115:9573,04/29/24 09:42:28,1792,HLT_PFJetFwd60_v26,0.000018086,0.000017380
380195:9575,04/30/24 23:30:14,7,HLT_PFJetFwd60_v26,0.000000091,0.000000084
380197:9575,05/01/24 00:09:50,357,HLT_PFJetFwd60_v26,0.000004681,0.000004427
380235:9579,05/01/24 17:29:48,256,HLT_PFJetFwd60_v26,0.000002913,0.000002729
380236:9579,05/01/24 19:12:09,57,HLT_PFJetFwd60_v26,0.000000748,0.000000668
379613:9537,04/18/24 03:20:17,120,HLT_PFJetFwd60_v27,0.000001203,0.000001137
379617:9537,04/18/24 04:23:35,664,HLT_PFJetFwd60_v27,0.000008500,0.000007982
380306:9585,05/02/24 19:54:33,246,HLT_PFJetFwd60_v27,0.000002820,0.000002611
380308:9585,05/02/24 21:44:38,35,HLT_PFJetFwd60_v27,0.000000459,0.000000385
380309:9585,05/02/24 22:01:23,351,HLT_PFJetFwd60_v27,0.000004590,0.000004271
380310:9585,05/03/24 00:19:19,1131,HLT_PFJetFwd60_v27,0.000010901,0.000010533
380346:9593,05/03/24 16:31:34,566,HLT_PFJetFwd60_v27,0.000007123,0.000006690
380348:9593,05/03/24 20:21:15,341,HLT_PFJetFwd60_v27,0.000004038,0.000003831
380349:9593,05/03/24 22:39:04,695,HLT_PFJetFwd60_v27,0.000006234,0.000006042
380360:9594,05/04/24 06:56:16,1928,HLT_PFJetFwd60_v27,0.000019397,0.000018669
380377:9602,05/04/24 23:50:36,420,HLT_PFJetFwd60_v27,0.000005123,0.000004844
380384:9603,05/05/24 06:57:47,751,HLT_PFJetFwd60_v27,0.000009366,0.000008871
380385:9603,05/05/24 11:54:10,1247,HLT_PFJetFwd60_v27,0.000011269,0.000010879
380399:9604,05/05/24 23:17:17,494,HLT_PFJetFwd60_v27,0.000005933,0.000005643
380403:9604,05/06/24 03:21:24,251,HLT_PFJetFwd60_v27,0.000003032,0.000002890
380444:9605,05/06/24 15:21:13,325,HLT_PFJetFwd60_v27,0.000004120,0.000003831
380446:9605,05/06/24 17:33:05,1028,HLT_PFJetFwd60_v27,0.000011693,0.000011199
380447:9605,05/07/24 00:20:05,810,HLT_PFJetFwd60_v27,0.000005930,0.000005792
380466:9606,05/07/24 09:21:16,504,HLT_PFJetFwd60_v27,0.000006224,0.000005779
380470:9606,05/07/24 13:06:34,1634,HLT_PFJetFwd60_v27,0.000014927,0.000014476
380481:9608,05/08/24 05:37:58,860,HLT_PFJetFwd60_v27,0.000010706,0.000010100
380513:9609,05/08/24 20:35:34,1158,HLT_PFJetFwd60_v27,0.000013905,0.000013209
380517:9609,05/09/24 04:20:58,39,HLT_PFJetFwd60_v27,0.000000378,0.000000358
380531:9610,05/09/24 07:02:24,1023,HLT_PFJetFwd60_v27,0.000012494,0.000011765
380534:9610,05/09/24 13:56:20,746,HLT_PFJetFwd60_v27,0.000006446,0.000006259
380537:9610,05/09/24 19:09:12,58,HLT_PFJetFwd60_v27,0.000000408,0.000000393
380538:9610,05/09/24 19:36:56,144,HLT_PFJetFwd60_v27,0.000000924,0.000000905
380564:9611,05/09/24 23:47:54,742,HLT_PFJetFwd60_v27,0.000009298,0.000008782
380567:9611,05/10/24 04:54:24,1081,HLT_PFJetFwd60_v27,0.000009718,0.000009442
380623:9614,05/11/24 20:40:52,388,HLT_PFJetFwd60_v27,0.000004675,0.000004388
380624:9614,05/11/24 23:16:57,809,HLT_PFJetFwd60_v27,0.000009400,0.000008958
380625:9614,05/12/24 04:34:00,7,HLT_PFJetFwd60_v27,0.000000066,0.000000061
380626:9614,05/12/24 04:39:38,14,HLT_PFJetFwd60_v27,0.000000130,0.000000120
380627:9614,05/12/24 04:48:42,808,HLT_PFJetFwd60_v27,0.000006225,0.000006082
380647:9618,05/12/24 22:28:59,375,HLT_PFJetFwd60_v27,0.000004672,0.000004240
380649:9618,05/13/24 01:56:15,401,HLT_PFJetFwd60_v27,0.000004812,0.000004540
380933:9651,05/19/24 16:19:32,773,HLT_PFJetFwd60_v27,0.000005721,0.000005655
380945:9653,05/20/24 06:39:35,245,HLT_PFJetFwd60_v27,0.000002868,0.000002706
380947:9653,05/20/24 11:38:49,823,HLT_PFJetFwd60_v27,0.000007532,0.000007306
381113:9664,05/23/24 18:23:22,234,HLT_PFJetFwd60_v28,0.000002633,0.000002488
380963:9654,05/20/24 20:42:43,922,HLT_PFJetFwd60_v28,0.000010594,0.000010104
381022:9659,05/21/24 23:53:15,586,HLT_PFJetFwd60_v28,0.000007339,0.000006940
381053:9661,05/22/24 09:14:55,108,HLT_PFJetFwd60_v28,0.000000964,0.000000922
381065:9662,05/22/24 12:16:48,791,HLT_PFJetFwd60_v28,0.000009996,0.000009359
381067:9662,05/22/24 17:33:10,313,HLT_PFJetFwd60_v28,0.000003524,0.000003386
381069:9662,05/22/24 20:20:02,307,HLT_PFJetFwd60_v28,0.000002808,0.000002666
381070:9662,05/22/24 22:21:18,425,HLT_PFJetFwd60_v28,0.000003300,0.000003228
381075:9663,05/23/24 03:44:42,426,HLT_PFJetFwd60_v28,0.000005243,0.000004942
381078:9663,05/23/24 06:53:58,334,HLT_PFJetFwd60_v28,0.000004110,0.000003840
381079:9663,05/23/24 09:06:56,396,HLT_PFJetFwd60_v28,0.000003961,0.000003775
381080:9663,05/23/24 11:44:26,336,HLT_PFJetFwd60_v28,0.000002803,0.000002687
381114:9664,05/23/24 20:11:10,458,HLT_PFJetFwd60_v28,0.000005998,0.000005609
381115:9664,05/23/24 23:12:32,1294,HLT_PFJetFwd60_v28,0.000011622,0.000011254
381147:9666,05/24/24 11:18:29,186,HLT_PFJetFwd60_v28,0.000002147,0.000002011
381148:9666,05/24/24 12:38:03,264,HLT_PFJetFwd60_v28,0.000003538,0.000003308
381149:9666,05/24/24 14:31:15,133,HLT_PFJetFwd60_v28,0.000001779,0.000001658
381150:9666,05/24/24 15:25:36,41,HLT_PFJetFwd60_v28,0.000000533,0.000000499
381151:9666,05/24/24 15:45:18,851,HLT_PFJetFwd60_v28,0.000008696,0.000008287
381152:9666,05/24/24 21:19:14,193,HLT_PFJetFwd60_v28,0.000001501,0.000001455
381164:9667,05/25/24 00:51:30,1151,HLT_PFJetFwd60_v28,0.000014785,0.000013825
381190:9670,05/25/24 13:16:44,1098,HLT_PFJetFwd60_v28,0.000014054,0.000013155
381191:9670,05/25/24 20:25:58,1121,HLT_PFJetFwd60_v28,0.000009561,0.000009272
381199:9672,05/26/24 09:25:18,150,HLT_PFJetFwd60_v28,0.000001617,0.000001501
381212:9674,05/27/24 04:02:15,372,HLT_PFJetFwd60_v28,0.000004762,0.000004465
381286:9677,05/27/24 16:09:15,711,HLT_PFJetFwd60_v28,0.000009285,0.000008582
381309:9680,05/28/24 06:47:14,425,HLT_PFJetFwd60_v28,0.000005479,0.000005150
381358:9683,05/28/24 18:58:02,3,HLT_PFJetFwd60_v28,0.000000018,0.000000013
381364:9684,05/28/24 21:34:05,427,HLT_PFJetFwd60_v28,0.000005359,0.000004961
381365:9684,05/29/24 00:22:44,595,HLT_PFJetFwd60_v28,0.000007750,0.000007252
381371:9686,05/29/24 06:46:06,194,HLT_PFJetFwd60_v28,0.000002253,0.000002132
381379:9687,05/29/24 10:50:00,833,HLT_PFJetFwd60_v28,0.000010703,0.000009979
381380:9687,05/29/24 16:17:34,1354,HLT_PFJetFwd60_v28,0.000011709,0.000011340
381384:9691,05/30/24 05:24:04,3482,HLT_PFJetFwd60_v28,0.000029834,0.000028596
381417:9694,05/31/24 13:50:23,1788,HLT_PFJetFwd60_v28,0.000020316,0.000019243
381443:9696,06/01/24 12:16:15,1517,HLT_PFJetFwd60_v28,0.000017683,0.000016723
381477:9700,06/02/24 11:50:04,278,HLT_PFJetFwd60_v28,0.000003329,0.000003135
381479:9700,06/02/24 13:58:03,434,HLT_PFJetFwd60_v28,0.000005826,0.000005468
381480:9700,06/02/24 16:48:38,1268,HLT_PFJetFwd60_v28,0.000011944,0.000011493
381484:9701,06/03/24 03:15:04,820,HLT_PFJetFwd60_v28,0.000010660,0.000009968
381499:9705,06/03/24 16:18:24,195,HLT_PFJetFwd60_v28,0.000002241,0.000002091
381500:9705,06/03/24 17:37:39,92,HLT_PFJetFwd60_v28,0.000001237,0.000001125
381515:9707,06/03/24 22:01:00,514,HLT_PFJetFwd60_v28,0.000006618,0.000006096
381516:9707,06/04/24 01:22:53,1672,HLT_PFJetFwd60_v28,0.000016647,0.000015840
381543:9708,06/04/24 14:37:55,512,HLT_PFJetFwd60_v28,0.000006714,0.000006304
381544:9708,06/04/24 18:12:43,1970,HLT_PFJetFwd60_v28,0.000018192,0.000017511
382229:9806,06/20/24 09:39:20,313,HLT_PFJetFwd60_v29,0.000004295,0.000004052
382250:9808,06/20/24 16:24:45,890,HLT_PFJetFwd60_v29,0.000009010,0.000008606
382255:9810,06/21/24 04:47:31,97,HLT_PFJetFwd60_v29,0.000000879,0.000000807
382256:9810,06/21/24 05:26:51,67,HLT_PFJetFwd60_v29,0.000000888,0.000000788
382257:9810,06/21/24 06:11:04,70,HLT_PFJetFwd60_v29,0.000000928,0.000000827
382258:9810,06/21/24 06:41:16,1147,HLT_PFJetFwd60_v29,0.000014248,0.000013662
382262:9810,06/21/24 14:31:56,253,HLT_PFJetFwd60_v29,0.000002266,0.000002185
382298:9812,06/21/24 19:39:36,53,HLT_PFJetFwd60_v29,0.000000422,0.000000407
382299:9812,06/21/24 20:38:11,808,HLT_PFJetFwd60_v29,0.000010990,0.000010153
382300:9812,06/22/24 01:55:26,1186,HLT_PFJetFwd60_v29,0.000010936,0.000010594
382313:9813,06/22/24 11:50:52,389,HLT_PFJetFwd60_v29,0.000004980,0.000004742
382314:9813,06/22/24 14:26:01,295,HLT_PFJetFwd60_v29,0.000004039,0.000003829
382328:9816,06/22/24 22:38:19,90,HLT_PFJetFwd60_v29,0.000000970,0.000000885
382329:9816,06/22/24 23:16:38,150,HLT_PFJetFwd60_v29,0.000002053,0.000001931
382343:9819,06/23/24 13:01:16,2208,HLT_PFJetFwd60_v29,0.000028131,0.000026513
382344:9819,06/24/24 03:22:08,355,HLT_PFJetFwd60_v29,0.000003682,0.000003554
382504:9832,06/27/24 14:22:09,349,HLT_PFJetFwd60_v29,0.000004336,0.000004105
382568:9838,06/28/24 23:55:16,406,HLT_PFJetFwd60_v29,0.000005136,0.000004839
382580:9840,06/29/24 07:43:50,1711,HLT_PFJetFwd60_v29,0.000020396,0.000019439
382594:9842,06/30/24 02:29:05,1406,HLT_PFJetFwd60_v29,0.000017692,0.000016843
382595:9842,06/30/24 11:37:12,854,HLT_PFJetFwd60_v29,0.000007313,0.000007088
382617:9843,06/30/24 19:33:03,701,HLT_PFJetFwd60_v29,0.000008703,0.000008305
