#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
355443:7966,07/11/22 18:25:07,240,HLT_PFJetFwd80_v18,0.000000435,0.000000417
355444:7966,07/11/22 19:59:14,153,HLT_PFJetFwd80_v18,0.000000277,0.000000266
355445:7966,07/11/22 21:00:53,242,HLT_PFJetFwd80_v18,0.000000338,0.000000327
355558:7969,07/13/22 00:56:21,288,HLT_PFJetFwd80_v18,0.000002649,0.000002501
355559:7969,07/13/22 02:50:34,162,HLT_PFJetFwd80_v18,0.000001532,0.000001460
355679:7978,07/14/22 16:58:45,59,HLT_PFJetFwd80_v18,0.000000249,0.000000240
355680:7978,07/14/22 17:24:25,1651,HLT_PFJetFwd80_v18,0.000010785,0.000010371
355768:8007,07/18/22 03:28:57,45,HLT_PFJetFwd80_v18,0.000000289,0.000000261
355769:8007,07/18/22 03:48:39,541,HLT_PFJetFwd80_v18,0.000003636,0.000003438
355862:8016,07/19/22 18:12:03,13,HLT_PFJetFwd80_v19,0.000000172,0.000000136
355863:8016,07/19/22 18:19:43,14,HLT_PFJetFwd80_v19,0.000000182,0.000000160
355870:8017,07/19/22 23:02:43,37,HLT_PFJetFwd80_v19,0.000000392,0.000000339
355871:8017,07/19/22 23:17:54,5,HLT_PFJetFwd80_v19,0.000000036,0.000000032
355872:8017,07/19/22 23:24:45,1197,HLT_PFJetFwd80_v19,0.000016853,0.000015080
355892:8018,07/20/22 10:25:02,184,HLT_PFJetFwd80_v19,0.000002440,0.000002334
355942:8023,07/21/22 06:46:45,187,HLT_PFJetFwd80_v19,0.000000314,0.000000296
355912:8019,07/20/22 14:18:53,158,HLT_PFJetFwd80_v19,0.000002167,0.000001948
355913:8019,07/20/22 15:22:09,106,HLT_PFJetFwd80_v19,0.000001368,0.000001264
355921:8020,07/20/22 18:50:02,405,HLT_PFJetFwd80_v19,0.000005323,0.000004936
355933:8022,07/21/22 02:06:05,374,HLT_PFJetFwd80_v19,0.000000155,0.000000154
355988:8027,07/21/22 23:03:32,44,HLT_PFJetFwd80_v19,0.000000743,0.000000602
355989:8027,07/21/22 23:23:47,24,HLT_PFJetFwd80_v19,0.000000493,0.000000274
355998:8027,07/22/22 01:35:51,35,HLT_PFJetFwd80_v19,0.000000666,0.000000573
355999:8027,07/22/22 01:51:17,9,HLT_PFJetFwd80_v19,0.000000168,0.000000140
356004:8027,07/22/22 04:04:14,19,HLT_PFJetFwd80_v19,0.000000306,0.000000294
356005:8027,07/22/22 04:14:46,187,HLT_PFJetFwd80_v19,0.000002734,0.000002633
356043:8030,07/22/22 18:00:07,65,HLT_PFJetFwd80_v19,0.000001478,0.000001209
356071:8033,07/23/22 12:43:15,155,HLT_PFJetFwd80_v19,0.000003774,0.000003311
356074:8033,07/23/22 15:21:04,26,HLT_PFJetFwd80_v19,0.000000688,0.000000650
356075:8033,07/23/22 15:57:05,125,HLT_PFJetFwd80_v19,0.000003278,0.000003013
356076:8033,07/23/22 16:56:57,152,HLT_PFJetFwd80_v19,0.000004039,0.000003712
356077:8033,07/23/22 17:58:32,472,HLT_PFJetFwd80_v19,0.000011242,0.000010776
356135:8043,07/25/22 11:06:59,26,HLT_PFJetFwd80_v19,0.000000624,0.000000568
356309:8057,07/27/22 17:56:02,124,HLT_PFJetFwd80_v19,0.000002552,0.000002370
356316:8058,07/27/22 21:40:02,141,HLT_PFJetFwd80_v19,0.000002052,0.000002011
356322:8059,07/28/22 01:35:06,19,HLT_PFJetFwd80_v19,0.000000493,0.000000447
356323:8059,07/28/22 01:45:01,649,HLT_PFJetFwd80_v19,0.000016415,0.000015603
356371:8062,07/28/22 16:46:34,16,HLT_PFJetFwd80_v19,0.000000399,0.000000336
356375:8063,07/28/22 19:04:41,68,HLT_PFJetFwd80_v19,0.000001909,0.000001415
356378:8063,07/28/22 20:10:25,295,HLT_PFJetFwd80_v19,0.000009359,0.000009001
356381:8063,07/28/22 22:10:47,1193,HLT_PFJetFwd80_v19,0.000028866,0.000028433
356383:8063,07/29/22 06:04:41,33,HLT_PFJetFwd80_v19,0.000000629,0.000000621
356385:8063,07/29/22 06:26:25,30,HLT_PFJetFwd80_v19,0.000000574,0.000000534
356386:8063,07/29/22 06:41:02,122,HLT_PFJetFwd80_v19,0.000001910,0.000001884
356426:8067,07/29/22 13:50:08,22,HLT_PFJetFwd80_v19,0.000000674,0.000000556
356428:8067,07/29/22 14:11:32,300,HLT_PFJetFwd80_v19,0.000010337,0.000009918
356433:8067,07/29/22 17:20:28,310,HLT_PFJetFwd80_v19,0.000010750,0.000010350
356434:8067,07/29/22 19:22:54,13,HLT_PFJetFwd80_v19,0.000000422,0.000000372
356435:8067,07/29/22 19:31:01,4,HLT_PFJetFwd80_v19,0.000000129,0.000000095
356446:8068,07/29/22 22:05:30,614,HLT_PFJetFwd80_v19,0.000020755,0.000020088
356523:8076,07/31/22 18:51:42,866,HLT_PFJetFwd80_v19,0.000035506,0.000034837
356531:8076,08/01/22 02:10:15,56,HLT_PFJetFwd80_v19,0.000001974,0.000001942
356563:8078,08/01/22 14:49:18,294,HLT_PFJetFwd80_v19,0.000011459,0.000011229
356568:8079,08/01/22 18:52:46,23,HLT_PFJetFwd80_v19,0.000000804,0.000000693
356569:8079,08/01/22 19:05:00,250,HLT_PFJetFwd80_v19,0.000010146,0.000009808
356570:8079,08/01/22 20:47:20,98,HLT_PFJetFwd80_v19,0.000004225,0.000004133
356576:8081,08/02/22 05:11:08,183,HLT_PFJetFwd80_v19,0.000005882,0.000005630
356578:8081,08/02/22 06:39:29,865,HLT_PFJetFwd80_v19,0.000034066,0.000033449
356580:8081,08/02/22 12:21:24,50,HLT_PFJetFwd80_v19,0.000001705,0.000001675
356582:8081,08/02/22 13:25:57,98,HLT_PFJetFwd80_v19,0.000003117,0.000003088
356614:8083,08/02/22 18:26:15,50,HLT_PFJetFwd80_v19,0.000002007,0.000001707
356615:8083,08/02/22 18:53:13,1297,HLT_PFJetFwd80_v19,0.000050997,0.000050002
356619:8083,08/03/22 03:31:02,173,HLT_PFJetFwd80_v19,0.000005251,0.000005194
356810:8094,08/05/22 02:20:11,120,HLT_PFJetFwd80_v19,0.000005652,0.000005512
356811:8094,08/05/22 03:13:06,44,HLT_PFJetFwd80_v19,0.000002894,0.000002787
356812:8094,08/05/22 03:35:55,107,HLT_PFJetFwd80_v19,0.000006711,0.000006497
356813:8094,08/05/22 04:22:46,54,HLT_PFJetFwd80_v19,0.000003251,0.000003147
356814:8094,08/05/22 04:48:52,669,HLT_PFJetFwd80_v19,0.000034451,0.000033790
356815:8094,08/05/22 09:13:01,98,HLT_PFJetFwd80_v19,0.000004230,0.000004141
356824:8094,08/05/22 10:39:04,66,HLT_PFJetFwd80_v19,0.000002255,0.000002052
356908:8098,08/06/22 01:30:07,26,HLT_PFJetFwd80_v19,0.000001655,0.000001544
356919:8099,08/06/22 03:56:45,88,HLT_PFJetFwd80_v19,0.000004758,0.000004584
356937:8100,08/06/22 14:02:16,119,HLT_PFJetFwd80_v19,0.000006417,0.000006130
356946:8102,08/06/22 19:52:44,129,HLT_PFJetFwd80_v19,0.000008367,0.000007466
356947:8102,08/06/22 20:46:12,350,HLT_PFJetFwd80_v19,0.000020520,0.000019611
356948:8102,08/06/22 23:03:58,88,HLT_PFJetFwd80_v19,0.000004667,0.000004317
356949:8102,08/06/22 23:40:25,94,HLT_PFJetFwd80_v19,0.000004765,0.000004628
356951:8102,08/07/22 00:29:25,274,HLT_PFJetFwd80_v19,0.000012984,0.000012713
356954:8102,08/07/22 02:28:59,364,HLT_PFJetFwd80_v19,0.000015201,0.000014711
356955:8102,08/07/22 04:51:58,380,HLT_PFJetFwd80_v19,0.000013974,0.000013704
356956:8102,08/07/22 07:20:44,109,HLT_PFJetFwd80_v19,0.000003266,0.000003239
356968:8103,08/07/22 11:00:07,172,HLT_PFJetFwd80_v19,0.000010623,0.000010210
356969:8103,08/07/22 12:14:36,236,HLT_PFJetFwd80_v19,0.000015089,0.000014340
356970:8103,08/07/22 13:48:42,366,HLT_PFJetFwd80_v19,0.000021081,0.000020543
356998:8106,08/08/22 06:36:19,5,HLT_PFJetFwd80_v19,0.000000359,0.000000339
356999:8106,08/08/22 06:44:07,58,HLT_PFJetFwd80_v19,0.000004049,0.000003630
357000:8106,08/08/22 07:08:08,50,HLT_PFJetFwd80_v19,0.000002596,0.000002363
357001:8106,08/08/22 07:29:31,183,HLT_PFJetFwd80_v19,0.000011383,0.000011012
