#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_PFJetFwd80_v25,0.000000047,0.000000046
378993:9475,04/06/24 08:01:17,79,HLT_PFJetFwd80_v25,0.000000015,0.000000014
379011:9475,04/06/24 11:58:18,399,HLT_PFJetFwd80_v25,0.000000097,0.000000088
379012:9475,04/06/24 14:37:43,73,HLT_PFJetFwd80_v25,0.000000016,0.000000016
379028:9476,04/06/24 19:56:15,534,HLT_PFJetFwd80_v25,0.000000146,0.000000142
379031:9476,04/07/24 00:02:34,289,HLT_PFJetFwd80_v25,0.000000073,0.000000071
379058:9479,04/07/24 09:34:30,826,HLT_PFJetFwd80_v25,0.000001869,0.000001820
379075:9483,04/08/24 02:29:09,375,HLT_PFJetFwd80_v25,0.000000782,0.000000764
379154:9485,04/08/24 22:13:02,1049,HLT_PFJetFwd80_v25,0.000002168,0.000002115
379238:9496,04/10/24 16:44:24,286,HLT_PFJetFwd80_v25,0.000003253,0.000003140
379243:9497,04/10/24 20:30:21,297,HLT_PFJetFwd80_v25,0.000003614,0.000003554
379252:9499,04/11/24 01:57:11,644,HLT_PFJetFwd80_v25,0.000008466,0.000008268
379253:9499,04/11/24 06:08:54,104,HLT_PFJetFwd80_v25,0.000001461,0.000001441
379338:9510,04/12/24 14:27:21,170,HLT_PFJetFwd80_v25,0.000002388,0.000002161
379355:9512,04/13/24 03:39:10,20,HLT_PFJetFwd80_v25,0.000000560,0.000000532
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_PFJetFwd80_v25,11,15,5913,0.000024954,0.000024173
#
#Sum delivered  : 0.000024954
#Sum recorded : 0.000024173
#Check JSON:
#(run,ls) in json but not in results: [(378993, 200), (379243, 336), (379243, 337)]
