#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
367619:8782,05/17/23 08:19:47,577,HLT_ZeroBias_Alignment_v2,0.000000071,0.000000068
367615:8782,05/17/23 02:49:11,432,HLT_ZeroBias_Alignment_v2,0.000000064,0.000000061
367554:8775,05/16/23 02:39:53,312,HLT_ZeroBias_Alignment_v2,0.000000049,0.000000046
367553:8775,05/15/23 22:27:38,644,HLT_ZeroBias_Alignment_v2,0.000000103,0.000000098
367552:8775,05/15/23 22:21:36,11,HLT_ZeroBias_Alignment_v2,0,0
367516:8773,05/15/23 09:48:44,1236,HLT_ZeroBias_Alignment_v2,0.000000163,0.000000154
367515:8773,05/15/23 05:38:07,625,HLT_ZeroBias_Alignment_v2,0.000000094,0.000000088
367477:8771,05/14/23 14:23:22,1289,HLT_ZeroBias_Alignment_v2,0.000000153,0.000000147
367475:8771,05/14/23 10:33:10,579,HLT_ZeroBias_Alignment_v2,0.000000090,0.000000083
367416:8754,05/13/23 03:40:55,55,HLT_ZeroBias_Alignment_v2,0.000000005,0.000000004
367415:8754,05/13/23 02:52:02,97,HLT_ZeroBias_Alignment_v2,0.000000009,0.000000008
367413:8754,05/12/23 18:13:16,1294,HLT_ZeroBias_Alignment_v2,0.000000161,0.000000152
367337:8746,05/11/23 12:49:42,1046,HLT_ZeroBias_Alignment_v2,0.000000112,0.000000108
367336:8746,05/11/23 11:40:58,169,HLT_ZeroBias_Alignment_v2,0.000000025,0.000000024
367315:8741,05/10/23 21:11:42,893,HLT_ZeroBias_Alignment_v2,0.000000122,0.000000116
367314:8741,05/10/23 20:55:00,20,HLT_ZeroBias_Alignment_v2,0.000000003,0.000000003
367312:8741,05/10/23 19:23:55,216,HLT_ZeroBias_Alignment_v2,0.000000021,0.000000020
367271:8739,05/10/23 12:08:10,135,HLT_ZeroBias_Alignment_v2,0.000000015,0.000000014
367270:8739,05/10/23 05:48:56,961,HLT_ZeroBias_Alignment_v2,0.000000142,0.000000135
367269:8739,05/10/23 05:33:29,33,HLT_ZeroBias_Alignment_v2,0.000000006,0.000000005
367264:8738,05/09/23 19:31:14,847,HLT_ZeroBias_Alignment_v2,0.000000113,0.000000108
367263:8738,05/09/23 19:23:59,12,HLT_ZeroBias_Alignment_v2,0.000000002,0.000000002
367262:8738,05/09/23 17:32:02,262,HLT_ZeroBias_Alignment_v2,0.000000044,0.000000041
367260:8738,05/09/23 16:06:48,187,HLT_ZeroBias_Alignment_v2,0.000000026,0.000000024
367234:8736,05/09/23 06:33:08,501,HLT_ZeroBias_Alignment_v2,0.000000064,0.000000062
367232:8736,05/08/23 23:59:29,996,HLT_ZeroBias_Alignment_v2,0.000000159,0.000000153
367231:8736,05/08/23 23:48:31,22,HLT_ZeroBias_Alignment_v2,0.000000004,0.000000003
367229:8736,05/08/23 23:25:47,34,HLT_ZeroBias_Alignment_v2,0.000000006,0.000000005
367133:8731,05/08/23 01:12:46,275,HLT_ZeroBias_Alignment_v2,0.000000041,0.000000039
367131:8731,05/08/23 00:12:34,149,HLT_ZeroBias_Alignment_v2,0.000000020,0.000000019
367130:8731,05/07/23 23:05:47,153,HLT_ZeroBias_Alignment_v2,0.000000021,0.000000020
367128:8731,05/07/23 22:54:20,7,HLT_ZeroBias_Alignment_v2,0.000000001,0.000000001
367112:8730,05/07/23 09:19:36,1438,HLT_ZeroBias_Alignment_v2,0.000000198,0.000000190
367104:8729,05/06/23 21:31:30,1082,HLT_ZeroBias_Alignment_v2,0.000000149,0.000000142
367103:8729,05/06/23 21:02:02,64,HLT_ZeroBias_Alignment_v2,0.000000011,0.000000010
367102:8729,05/06/23 20:28:48,75,HLT_ZeroBias_Alignment_v2,0.000000013,0.000000012
367100:8729,05/06/23 18:09:21,346,HLT_ZeroBias_Alignment_v2,0.000000054,0.000000051
367095:8728,05/06/23 11:29:02,564,HLT_ZeroBias_Alignment_v2,0.000000090,0.000000085
367070:8724,05/05/23 20:59:27,83,HLT_ZeroBias_Alignment_v2,0.000000007,0.000000006
367065:8723,05/05/23 15:09:08,262,HLT_ZeroBias_Alignment_v2,0.000000057,0.000000051
367064:8723,05/05/23 11:58:54,327,HLT_ZeroBias_Alignment_v2,0.000000045,0.000000041
367063:8723,05/05/23 11:50:58,15,HLT_ZeroBias_Alignment_v2,0.000000002,0.000000001
366933:8701,05/03/23 00:56:24,1170,HLT_ZeroBias_Alignment_v2,0.000000194,0.000000181
366841:8691,04/30/23 20:30:41,258,HLT_ZeroBias_Alignment_v2,0.000000043,0.000000039
366840:8691,04/30/23 19:16:27,180,HLT_ZeroBias_Alignment_v2,0.000000033,0.000000028
