#Data tag : online , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,HLT_ZeroBias_Alignment_v5,0.000000120,0.000000118
378993:9475,04/06/24 08:01:17,79,HLT_ZeroBias_Alignment_v5,0.000000008,0.000000008
379006:9475,04/06/24 10:52:20,23,HLT_ZeroBias_Alignment_v5,0.000000004,0.000000004
379011:9475,04/06/24 11:58:18,399,HLT_ZeroBias_Alignment_v5,0.000000054,0.000000049
379012:9475,04/06/24 14:37:43,73,HLT_ZeroBias_Alignment_v5,0.000000009,0.000000009
379028:9476,04/06/24 19:56:15,534,HLT_ZeroBias_Alignment_v5,0.000000082,0.000000080
379031:9476,04/07/24 00:02:34,289,HLT_ZeroBias_Alignment_v5,0.000000041,0.000000040
379058:9479,04/07/24 09:34:30,826,HLT_ZeroBias_Alignment_v5,0.000000142,0.000000139
379075:9483,04/08/24 02:29:09,375,HLT_ZeroBias_Alignment_v5,0.000000060,0.000000058
379154:9485,04/08/24 22:13:02,1049,HLT_ZeroBias_Alignment_v5,0.000000165,0.000000161
379238:9496,04/10/24 16:44:48,286,HLT_ZeroBias_Alignment_v5,0.000000041,0.000000039
379243:9497,04/10/24 20:30:21,299,HLT_ZeroBias_Alignment_v5,0.000000045,0.000000044
379252:9499,04/11/24 01:57:11,644,HLT_ZeroBias_Alignment_v5,0.000000105,0.000000103
379253:9499,04/11/24 06:08:54,104,HLT_ZeroBias_Alignment_v5,0.000000018,0.000000018
379338:9510,04/12/24 14:27:21,170,HLT_ZeroBias_Alignment_v5,0.000000030,0.000000027
379774:9549,04/21/24 03:13:58,157,HLT_ZeroBias_Alignment_v5,0.000000024,0.000000022
379355:9512,04/13/24 03:39:10,20,HLT_ZeroBias_Alignment_v5,0.000000003,0.000000003
379416:9517,04/14/24 17:34:18,195,HLT_ZeroBias_Alignment_v5,0.000000031,0.000000029
379420:9518,04/14/24 21:02:55,516,HLT_ZeroBias_Alignment_v5,0.000000083,0.000000078
379425:9519,04/15/24 02:03:52,203,HLT_ZeroBias_Alignment_v5,0.000000029,0.000000027
379433:9520,04/15/24 05:13:11,21,HLT_ZeroBias_Alignment_v5,0.000000001,0
379442:9521,04/15/24 07:07:46,269,HLT_ZeroBias_Alignment_v5,0.000000042,0.000000039
379454:9523,04/15/24 11:25:22,498,HLT_ZeroBias_Alignment_v5,0.000000080,0.000000073
379456:9523,04/15/24 14:47:09,1199,HLT_ZeroBias_Alignment_v5,0.000000158,0.000000149
379470:9525,04/16/24 00:38:26,800,HLT_ZeroBias_Alignment_v5,0.000000132,0.000000124
379530:9530,04/17/24 01:12:13,593,HLT_ZeroBias_Alignment_v5,0.000000096,0.000000090
