#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
378985:9474,04/06/24 00:24:34,768,768,0.000256997,0.000253446^M
378993:9475,04/06/24 08:01:17,80,79,0.000082038,0.000078608^M
379011:9475,04/06/24 11:58:18,399,399,0.000528650,0.000478000^M
379012:9475,04/06/24 14:37:43,73,73,0.000086414,0.000085233^M
379028:9476,04/06/24 19:56:15,534,534,0.000794943,0.000776391^M
379031:9476,04/07/24 00:02:34,289,289,0.000397055,0.000388769^M
379058:9479,04/07/24 09:34:30,826,826,0.010204197,0.009938545^M
379075:9483,04/08/24 02:29:09,375,375,0.004270156,0.004171347^M
379154:9485,04/08/24 22:13:02,1049,1049,0.011836209,0.011546364^M
379238:9496,04/10/24 16:44:24,286,286,0.017759758,0.017144085^M
379243:9497,04/10/24 20:30:21,297,297,0.019732809,0.019406267^M
379252:9499,04/11/24 01:57:11,644,644,0.046225276,0.045144755^M
379253:9499,04/11/24 06:08:54,104,104,0.007978453,0.007869393^M
379338:9510,04/12/24 14:27:21,170,170,0.013040238,0.011799243^M
379355:9512,04/13/24 03:39:10,20,20,0.003057203,0.002905896^M
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#11,15,5914,5913,0.136250398,0.131986342
#Check JSON:
#(run,ls) in json but not in results: [(379243, 336), (379243, 337)]
